PeakID (cmd=annotatePeaks.pl HIOE_RFX6/HIOE_RFX6_0917input_0.05peaks.txt hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr1-355	chr1	200979384	200979838	+	30.2	0.926	intron (NM_017596, intron 1 of 33)	intron (NM_017596, intron 1 of 33)	13231	NM_001252102	23046	Hs.169182	NM_017596	ENSG00000116852	KIF21B	-	kinesin family member 21B	protein-coding
chr17-226	chr17	57405883	57406337	+	30.2	0.846	Intergenic	L2a|LINE|L2	-2906	NM_001005404	388403	Hs.463613	NM_001005404	ENSG00000175155	YPEL2	FKSG4	yippee like 2	protein-coding
chr4-121	chr4	40751671	40752125	+	30.2	0.778	promoter-TSS (NM_024677)	promoter-TSS (NM_024677)	-74	NM_001330648	79730	Hs.479602	NM_024677	ENSG00000179299	NSUN7	-	NOP2/Sun RNA methyltransferase family member 7	protein-coding
chr14-126	chr14	103240901	103241355	+	30.2	0.885	Intergenic	Intergenic	-2658	NM_003300	7187	Hs.510528	NM_003300	ENSG00000131323	TRAF3	CAP-1|CAP1|CD40bp|CRAF1|IIAE5|LAP1|RNF118	TNF receptor associated factor 3	protein-coding
chr9-142	chr9	139294314	139294768	+	30.2	0.786	Intergenic	CpG	-1652	NM_003086	6621	Hs.113265	NM_003086	ENSG00000165684	SNAPC4	PTFalpha|SNAP190	small nuclear RNA activating complex polypeptide 4	protein-coding
chrUn_gl000225-4	chrUn_gl000225	85443	85897	+	30.2	0.862	NA	BSR/Beta|Satellite|Satellite	NA	NA								
chr12-167	chr12	124937347	124937801	+	30.2	0.786	intron (NM_001206654, intron 8 of 47)	intron (NM_001206654, intron 8 of 47)	114584	NM_006312	9612	Hs.137510	NM_006312	ENSG00000196498	NCOR2	CTG26|N-CoR2|SMAP270|SMRT|SMRTE|SMRTE-tau|TNRC14|TRAC|TRAC-1|TRAC1	nuclear receptor corepressor 2	protein-coding
chr6-168	chr6	41680744	41681198	+	30.2	0.846	intron (NM_001167827, intron 1 of 8)	intron (NM_001167827, intron 1 of 8)	20377	NR_162107	113218489		NR_162107		MIR10398	-	microRNA 10398	ncRNA
chr10-155	chr10	127311277	127311731	+	30.2	0.815	intron (NM_001318133, intron 3 of 3)	HERVL-int|LTR|ERVL	48564	NR_023362	100169752	Hs.652647	NR_023362	ENSG00000237675	TEX36-AS1	-	TEX36 antisense RNA 1	ncRNA
chr4-123	chr4	129312406	129312860	+	30.2	0.923	Intergenic	Intergenic	-36538	NR_125882	100507487	Hs.549644	NR_125882	ENSG00000251432	LINC02615	-	long intergenic non-protein coding RNA 2615	ncRNA
chr1-392	chr1	19923004	19923458	+	30.2	0.750	promoter-TSS (NR_135054)	promoter-TSS (NR_135054)	95	NR_135054	105378614	Hs.430098	NR_135054	ENSG00000235185	LOC105378614	-	uncharacterized LOC105378614	ncRNA
chr3-198	chr3	35425566	35426020	+	30.2	0.815	intron (NR_110817, intron 1 of 3)	intron (NR_110817, intron 1 of 3)	9722	NR_110817	101928135	Hs.550715	NR_110817		LOC101928135	-	uncharacterized LOC101928135	ncRNA
chr11-226	chr11	36300323	36300777	+	30.2	0.815	intron (NM_001101653, intron 1 of 4)	LTR87|LTR|ERVL?	10424	NM_014186	29099	Hs.99443	NM_014186	ENSG00000110442	COMMD9	C11orf55|HSPC166|LINC00610	COMM domain containing 9	protein-coding
chr16-164	chr16	22284431	22284885	+	30.2	0.821	intron (NM_013302, intron 15 of 17)	MER66B|LTR|ERV1	-24038	NM_001258035	55718	Hs.460298	NM_018119	ENSG00000058600	POLR3E	RPC5|SIN	RNA polymerase III subunit E	protein-coding
chr5-128	chr5	154237158	154237612	+	30.2	0.750	promoter-TSS (NM_001301074)	promoter-TSS (NM_001301074)	-424	NM_001301083	9337	Hs.26703	NM_004779	ENSG00000155508	CNOT8	CAF1|CALIF|Caf1b|POP2|hCAF1	CCR4-NOT transcription complex subunit 8	protein-coding
chr16-168	chr16	88840297	88840751	+	30.2	0.852	intron (NM_001142864, intron 1 of 50)	intron (NM_001142864, intron 1 of 50)	11104	NM_001142864	9780	Hs.377001	NM_001142864	ENSG00000103335	PIEZO1	DHS|FAM38A|LMPH3|LMPHM6|Mib	piezo type mechanosensitive ion channel component 1	protein-coding
chr19-204	chr19	55670432	55670886	+	30.2	0.867	exon (NM_001256714, exon 12 of 12)	exon (NM_001256714, exon 12 of 12)	-1559	NM_000363	7137	Hs.709179	NM_000363	ENSG00000129991	TNNI3	CMD1FF|CMD2A|CMH7|RCM1|TNNC1|cTnI	troponin I3, cardiac type	protein-coding
chr18-39	chr18	56452041	56452495	+	30.2	0.800	Intergenic	Intergenic	-28844	NR_146904	105372147	Hs.210837	NR_146904	ENSG00000267593	LINC01926	-	long intergenic non-protein coding RNA 1926	ncRNA
chr1-351	chr1	151812121	151812575	+	30.2	0.750	intron (NM_001136003, intron 1 of 1)	CpG	685	NM_001136003	100191040	Hs.694717	NM_001136003	ENSG00000225556	C2CD4D	FAM148D	C2 calcium dependent domain containing 4D	protein-coding
chr1-391	chr1	159892270	159892724	+	30.2	0.778	intron (NM_003564, intron 1 of 4)	intron (NM_003564, intron 1 of 4)	1027	NM_001277224	8407	Hs.517168	NM_003564	ENSG00000158710	TAGLN2	HA1756	transgelin 2	protein-coding
chr6-167	chr6	37018753	37019207	+	30.2	0.741	Intergenic	Intergenic	45549	NM_173558	221472	Hs.509664	NM_173558	ENSG00000146192	FGD2	ZFYVE4	FYVE, RhoGEF and PH domain containing 2	protein-coding
chr6-162	chr6	165722888	165723342	+	30.2	0.889	promoter-TSS (NM_144980)	promoter-TSS (NM_144980)	-21	NM_144980	168090	Hs.144734	NM_144980	ENSG00000112539	C6orf118	bA85G2.1|dJ416F21.2	chromosome 6 open reading frame 118	protein-coding
chr12-169	chr12	115007831	115008285	+	30.2	0.800	Intergenic	L2c|LINE|L2	113922	NM_016569	6926	Hs.744016	NM_005996	ENSG00000135111	TBX3	TBX3-ISO|UMS|XHL	T-box transcription factor 3	protein-coding
chr19-207	chr19	47353808	47354262	+	30.2	0.903	promoter-TSS (NM_004069)	promoter-TSS (NM_004069)	68	NM_001301081	1175	Hs.119591	NM_004069	ENSG00000042753	AP2S1	AP17|CLAPS2|FBH3|FBHOk|HHC3	adaptor related protein complex 2 subunit sigma 1	protein-coding
chr19-191	chr19	898646	899100	+	30.2	0.897	intron (NM_138774, intron 7 of 7)	intron (NM_138774, intron 7 of 7)	5389	NR_104084	101954275		NR_104084	ENSG00000201654	RNU6-7	U6-7	RNA, U6 small nuclear 7	snRNA
chr11-217	chr11	2223204	2223658	+	30.2	0.667	Intergenic	Intergenic	29138	NR_039834	100616126		NR_039834	ENSG00000265258	MIR4686	-	microRNA 4686	ncRNA
chr4-110	chr4	186638203	186638657	+	30.2	0.839	intron (NM_001145672, intron 1 of 20)	intron (NM_001145672, intron 1 of 20)	58578	NM_001145673	8470	Hs.481342	NM_003603	ENSG00000154556	SORBS2	ARGBP2|PRO0618	sorbin and SH3 domain containing 2	protein-coding
chr8-114	chr8	80386362	80386816	+	30.2	0.889	Intergenic	MLT1A1|LTR|ERVL-MaLR	-136763	NM_001199214	11075	Hs.521651	NM_007029	ENSG00000104435	STMN2	SCG10|SCGN10	stathmin 2	protein-coding
chrY-14	chrY	8405276	8405730	+	30.2	0.885	Intergenic	HERVE_a-int|LTR|ERV1	-100832	NR_138045	100873963	Hs.161182	NR_138045		LINC00279	NCRNA00279	long intergenic non-protein coding RNA 279	ncRNA
chr17-205	chr17	37804581	37805035	+	30.2	0.857	intron (NM_001165937, intron 1 of 14)	MIR3|SINE|MIR	11411	NM_006804	10948	Hs.728838	NM_006804	ENSG00000131748	STARD3	CAB1|MLN64|es64	StAR related lipid transfer domain containing 3	protein-coding
chr1-344	chr1	39608221	39608675	+	30.2	0.862	intron (NM_012090, intron 1 of 92)	intron (NM_012090, intron 1 of 92)	58609	NM_012090	23499	Hs.472475	NM_012090	ENSG00000127603	MACF1	ABP620|ACF7|LIS9|MACF|OFC4	microtubule actin crosslinking factor 1	protein-coding
chr7-184	chr7	4228750	4229204	+	30.2	0.852	intron (NM_152744, intron 35 of 44)	intron (NM_152744, intron 35 of 44)	-54508	NR_158215	105375131		NR_158215		LOC105375131	-	uncharacterized LOC105375131	ncRNA
chr8-103	chr8	76319528	76319982	+	30.2	0.871	promoter-TSS (NM_001330561)	promoter-TSS (NM_001330561)	-129	NM_001330561	3174	Hs.241529	NM_004133	ENSG00000164749	HNF4G	NR2A2|NR2A3	hepatocyte nuclear factor 4 gamma	protein-coding
chr12-149	chr12	114200226	114200680	+	30.2	0.875	intron (NR_110025, intron 1 of 1)	intron (NR_110025, intron 1 of 1)	11035	NR_110025	100506465	Hs.211461	NR_110025	ENSG00000249550	LINC01234	LCAL84|onco-lncRNA-32	long intergenic non-protein coding RNA 1234	ncRNA
chr4-125	chr4	55198736	55199190	+	30.2	0.769	promoter-TSS (NR_147160)	promoter-TSS (NR_147160)	-96	NR_147160	105377656	Hs.157697	NR_147160		LINC02283	-	long intergenic non-protein coding RNA 2283	ncRNA
chr14-105	chr14	75643415	75643869	+	30.2	0.871	promoter-TSS (NM_006827)	promoter-TSS (NM_006827)	-327	NM_006827	10972	Hs.74137	NM_006827	ENSG00000170348	TMED10	P24(DELTA)|S31I125|S31III125|TMP21|Tmp-21-I|p23|p24d1	transmembrane p24 trafficking protein 10	protein-coding
chr14-112	chr14	91287320	91287774	+	30.2	0.828	Intergenic	Intergenic	-4773	NM_001010854	145567	Hs.655697	NM_001010854	ENSG00000165914	TTC7B	TTC7L1|c14_5685	tetratricopeptide repeat domain 7B	protein-coding
chr11-210	chr11	68164111	68164565	+	30.2	0.857	intron (NM_002335, intron 7 of 22)	intron (NM_002335, intron 7 of 22)	-63882	NM_001352352	55291	Hs.503022	NM_018312	ENSG00000110075	PPP6R3	C11orf23|PP6R3|SAP190|SAPL|SAPLa|SAPS3	protein phosphatase 6 regulatory subunit 3	protein-coding
chr16-163	chr16	29822999	29823453	+	30.2	0.690	promoter-TSS (NM_145239)	promoter-TSS (NM_145239)	-288	NM_001256443	112476	Hs.655071	NM_145239	ENSG00000167371	PRRT2	BFIC2|BFIS2|DSPB3|DYT10|EKD1|FICCA|ICCA|IFITMD1|PKC	proline rich transmembrane protein 2	protein-coding
chr16-169	chr16	55404944	55405398	+	30.2	0.889	Intergenic	Intergenic	46700	NM_024335	79190	Hs.369907	NM_024335	ENSG00000159387	IRX6	IRX-3|IRX7|IRXB3	iroquois homeobox 6	protein-coding
chr21-35	chr21	34091474	34091928	+	30.2	0.793	intron (NM_203446, intron 2 of 32)	MER119|DNA|hAT-Charlie	8531	NM_001160306	8867	Hs.473632	NM_003895	ENSG00000159082	SYNJ1	EIEE53|INPP5G|PARK20	synaptojanin 1	protein-coding
chr21-38	chr21	40310233	40310687	+	30.2	0.885	promoter-TSS (NR_120405)	promoter-TSS (NR_120405)	-107	NR_120405	400867	Hs.689509	NR_120405		LOC400867	-	uncharacterized LOC400867	ncRNA
chr8-116	chr8	25194024	25194478	+	30.2	0.929	intron (NM_024940, intron 22 of 51)	intron (NM_024940, intron 22 of 51)	-8667	NR_106936	102465527		NR_106936	ENSG00000274988	MIR6876	hsa-mir-6876	microRNA 6876	ncRNA
chr14-130	chr14	32798272	32798726	+	30.2	0.885	promoter-TSS (NM_004274)	promoter-TSS (NM_004274)	-5	NM_004274	9472	Hs.509083	NM_004274	ENSG00000151320	AKAP6	ADAP100|ADAP6|AKAP100|PRKA6|mAKAP	A-kinase anchoring protein 6	protein-coding
chr14-123	chr14	105948224	105948678	+	30.2	0.714	Intergenic	Intergenic	-4772	NM_001311	1396	Hs.70327	NM_001311	ENSG00000213145	CRIP1	CRHP|CRIP|CRP-1|CRP1	cysteine rich protein 1	protein-coding
chr3-205	chr3	48983464	48983918	+	30.2	0.885	intron (NM_001349216, intron 4 of 16)	intron (NM_001349216, intron 4 of 16)	-26873	NR_161301	646450	Hs.720727	NM_001123040	ENSG00000221883	ARIH2OS	C3orf71	ariadne RBR E3 ubiquitin protein ligase 2 opposite strand	ncRNA
chr7-193	chr7	101210503	101210957	+	30.2	0.885	non-coding (NR_103747, exon 2 of 2)	non-coding (NR_103747, exon 2 of 2)	1556	NR_103748	100506527	Hs.535863	NR_103747	ENSG00000233123	LINC01007	-	long intergenic non-protein coding RNA 1007	ncRNA
chr3-208	chr3	134125305	134125759	+	30.2	0.808	Intergenic	CpG	-31137	NR_039951	100616281		NR_039951	ENSG00000284561	MIR4788	-	microRNA 4788	ncRNA
chr7-187	chr7	150097783	150098237	+	30.2	0.885	Intergenic	Intergenic	-4830	NR_027237	728743	Hs.650365	NM_001080852		LOC728743	-	zinc finger protein pseudogene	pseudo
chr4-124	chr4	36266835	36267289	+	30.2	0.815	intron (NR_122080, intron 2 of 2)	LTR16B2|LTR|ERVL	8922	NR_122080	439933	Hs.591071	NR_122079	ENSG00000247193	LOC439933	-	uncharacterized LOC439933	ncRNA
chr5-139	chr5	138739603	138740057	+	30.2	0.852	promoter-TSS (NM_194296)	promoter-TSS (NM_194296)	-54	NM_194296	202051	Hs.373612	NM_194296	ENSG00000170469	SPATA24	CCDC161|T6441	spermatogenesis associated 24	protein-coding
chr10-149	chr10	73137044	73137498	+	30.2	0.857	Intergenic	CpG	-19406	NM_022124	64072	Hs.656032	NM_022124	ENSG00000107736	CDH23	CDHR23|PITA5|USH1D	cadherin related 23	protein-coding
chr17-206	chr17	40169218	40169672	+	30.2	0.750	promoter-TSS (NM_001144766)	promoter-TSS (NM_001144766)	12	NM_003315	7266	Hs.500156	NM_003315	ENSG00000168259	DNAJC7	DJ11|DJC7|TPR2|TTC2	DnaJ heat shock protein family (Hsp40) member C7	protein-coding
chr1-384	chr1	26947742	26948196	+	30.2	0.852	Intergenic	CpG	66936	NR_031740	100302190		NR_031740	ENSG00000238705	MIR1976	hsa-mir-1976	microRNA 1976	ncRNA
chr12-173	chr12	57472387	57472841	+	30.2	0.808	promoter-TSS (NM_015257)	promoter-TSS (NM_015257)	-40	NM_001130963	23306	Hs.591040	NM_015257	ENSG00000166881	NEMP1	TMEM194|TMEM194A	nuclear envelope integral membrane protein 1	protein-coding
chr3-216	chr3	184292361	184292815	+	30.2	0.889	intron (NM_004443, intron 3 of 15)	intron (NM_004443, intron 3 of 15)	13015	NM_004443	2049	Hs.2913	NM_004443	ENSG00000182580	EPHB3	EK2|ETK2|HEK2|TYRO6	EPH receptor B3	protein-coding
chr14-124	chr14	96572382	96572836	+	30.2	0.846	Intergenic	Intergenic	66910	NM_001289139	56967	Hs.6434	NM_020215	ENSG00000227051	C14orf132	C14orf88	chromosome 14 open reading frame 132	protein-coding
chr11-201	chr11	64902413	64902867	+	30.2	0.862	promoter-TSS (NM_032431)	promoter-TSS (NM_032431)	-650	NM_172230	84447	Hs.75859	NM_032431	ENSG00000162298	SYVN1	DER3|HRD1	synoviolin 1	protein-coding
chr15-95	chr15	40074807	40075261	+	30.2	0.857	promoter-TSS (NR_135665)	promoter-TSS (NR_135665)	8	NM_152597	161835	Hs.129598	NM_152597	ENSG00000150667	FSIP1	HSD10	fibrous sheath interacting protein 1	protein-coding
chr4-111	chr4	522502	522956	+	30.2	0.800	intron (NR_144327, intron 10 of 12)	intron (NR_144327, intron 10 of 12)	29730	NM_001127178	54872	Hs.7099	NM_017733	ENSG00000174227	PIGG	GPI7|LAS21|MRT53|PRO4405|RLGS1930	phosphatidylinositol glycan anchor biosynthesis class G	protein-coding
chr6-156	chr6	149443995	149444449	+	30.2	0.852	Intergenic	Tigger1|DNA|TcMar-Tigger	-90425	NR_134599	105378047	Hs.659484	NR_134599		LOC105378047	-	uncharacterized LOC105378047	ncRNA
chr6-172	chr6	80246967	80247421	+	30.2	0.714	promoter-TSS (NM_181714)	promoter-TSS (NM_181714)	-47	NM_001122769	167691	Hs.21945	NM_181714	ENSG00000135338	LCA5	C6orf152	lebercilin LCA5	protein-coding
chr6-151	chr6	27263745	27264199	+	30.2	0.800	Intergenic	Intergenic	16039	NM_033482	94026	Hs.729955	NM_033482	ENSG00000158553	POM121L2	POM121-L|POM121L	POM121 transmembrane nucleoporin like 2	protein-coding
chr1-353	chr1	46649230	46649684	+	30.2	0.871	intron (NM_005727, intron 3 of 8)	intron (NM_005727, intron 3 of 8)	-7297	NM_001328655	110117498	Hs.655387	NM_001328655	ENSG00000250719	P3R3URF	-	PIK3R3 upstream reading frame	protein-coding
chr11-211	chr11	12340854	12341308	+	30.2	0.889	intron (NM_032867, intron 3 of 8)	intron (NM_032867, intron 3 of 8)	32634	NM_032867	84953	Hs.60371	NM_032867	ENSG00000133816	MICALCL	Ebitein1	MICAL C-terminal like	protein-coding
chr1-363	chr1	205287649	205288103	+	30.2	0.852	intron (NM_030952, intron 1 of 6)	intron (NM_030952, intron 1 of 6)	2997	NM_030952	81788	Hs.497512	NM_030952	ENSG00000163545	NUAK2	SNARK	NUAK family kinase 2	protein-coding
chr5-131	chr5	107144345	107144799	+	30.2	0.852	Intergenic	Intergenic	-137934	NM_001962	1946	Hs.288741	NM_001962	ENSG00000184349	EFNA5	AF1|EFL5|EPLG7|GLC1M|LERK7|RAGS	ephrin A5	protein-coding
chr14-116	chr14	54447952	54448406	+	30.2	0.857	Intergenic	AluJr|SINE|Alu	-24570	NM_130850	652	Hs.68879	NM_001202	ENSG00000125378	BMP4	BMP2B|BMP2B1|MCOPS6|OFC11|ZYME	bone morphogenetic protein 4	protein-coding
chr2-231	chr2	97405721	97406175	+	30.2	0.897	promoter-TSS (NM_001142292)	promoter-TSS (NM_001142292)	-119	NM_001322351	81562	Hs.655743	NM_030805	ENSG00000114988	LMAN2L	MRT52|VIPL	lectin, mannose binding 2 like	protein-coding
chr1-409	chr1	30397102	30397556	+	29.0	0.786	Intergenic	Intergenic	113130	NR_110790	101929406	Hs.639413	NR_110790	ENSG00000233399	LINC01648	-	long intergenic non-protein coding RNA 1648	ncRNA
chr8-124	chr8	91022092	91022546	+	29.0	0.889	intron (NM_001330575, intron 3 of 11)	intron (NM_001330575, intron 3 of 11)	8614	NM_001359	1666	Hs.492212	NM_001359	ENSG00000104325	DECR1	DECR|NADPH|SDR18C1	2,4-dienoyl-CoA reductase 1	protein-coding
chr20-105	chr20	42365397	42365851	+	29.0	0.923	Intergenic	MER66B|LTR|ERV1	-9982	NM_176791	149699	Hs.447626	NM_176791	ENSG00000124196	GTSF1L	C20orf65|FAM112A|dJ1028D15.4	gametocyte specific factor 1 like	protein-coding
chr1-397	chr1	180600891	180601345	+	29.0	0.923	promoter-TSS (NM_004736)	promoter-TSS (NM_004736)	-40	NR_137330	9213	Hs.227656	NM_004736	ENSG00000143324	XPR1	IBGC6|SLC53A1|SYG1|X3	xenotropic and polytropic retrovirus receptor 1	protein-coding
chr11-243	chr11	66104079	66104533	+	29.0	0.815	promoter-TSS (NM_001363559)	promoter-TSS (NM_001363559)	-61	NM_001363559	9610	Hs.1030	NM_004292	ENSG00000174791	RIN1	-	Ras and Rab interactor 1	protein-coding
chr10-157	chr10	119167228	119167682	+	29.0	0.806	Intergenic	AluSx|SINE|Alu	-32504	NM_173791	118987	Hs.501149	NM_173791	ENSG00000165650	PDZD8	PDZK8	PDZ domain containing 8	protein-coding
chr13-73	chr13	28023247	28023701	+	29.0	0.923	intron (NM_001166263, intron 1 of 5)	intron (NM_001166263, intron 1 of 5)	852	NM_001166262	219402	Hs.534582	NM_152912	ENSG00000122033	MTIF3	IF3mt	mitochondrial translational initiation factor 3	protein-coding
chr1-357	chr1	212458495	212458949	+	29.0	0.897	promoter-TSS (NM_006243)	promoter-TSS (NM_006243)	-30	NM_006243	5525	Hs.744012	NM_006243	ENSG00000066027	PPP2R5A	B56A|B56alpha|PR61A	protein phosphatase 2 regulatory subunit B'alpha	protein-coding
chr15-104	chr15	50502765	50503219	+	29.0	0.880	intron (NM_001159629, intron 3 of 8)	L1PB1|LINE|L1	28599	NM_003645	11001	Hs.11729	NM_003645	ENSG00000140284	SLC27A2	ACSVL1|FACVL1|FATP2|HsT17226|VLACS|VLCS|hFACVL1	solute carrier family 27 member 2	protein-coding
chr16-170	chr16	19180131	19180585	+	29.0	0.880	intron (NM_016524, intron 1 of 7)	intron (NM_016524, intron 1 of 7)	796	NM_016524	51760	Hs.258326	NM_016524	ENSG00000103528	SYT17	sytXVII	synaptotagmin 17	protein-coding
chr1-354	chr1	36817213	36817667	+	29.0	0.778	intron (NM_001282546, intron 6 of 10)	intron (NM_001282546, intron 6 of 10)	-27685	NM_018166	55194	Hs.87016	NM_018166	ENSG00000142694	EVA1B	C1orf78|FAM176B	eva-1 homolog B	protein-coding
chr2-258	chr2	23292780	23293234	+	29.0	0.889	Intergenic	Intergenic	-315043	NM_052920	114818	Hs.130593	NM_025067	ENSG00000119771	KLHL29	KBTBD9	kelch like family member 29	protein-coding
chr19-234	chr19	42681314	42681768	+	29.0	0.808	Intergenic	Intergenic	40288	NR_073046	162989	Hs.515432	NM_133328	ENSG00000160570	DEDD2	FLAME-3|FLAME3	death effector domain containing 2	protein-coding
chr12-176	chr12	130941379	130941833	+	29.0	0.815	intron (NM_015347, intron 4 of 19)	intron (NM_015347, intron 4 of 19)	119174	NM_004764	9271	Hs.405659	NM_004764	ENSG00000125207	PIWIL1	CT80.1|HIWI|MIWI|PIWI	piwi like RNA-mediated gene silencing 1	protein-coding
chr12-189	chr12	12695168	12695622	+	29.0	0.923	intron (NM_030640, intron 1 of 6)	L1MB7|LINE|L1	20402	NM_030640	80824	Hs.536535	NM_030640	ENSG00000111266	DUSP16	MKP-7|MKP7	dual specificity phosphatase 16	protein-coding
chr9-156	chr9	33908094	33908548	+	29.0	0.840	intron (NM_017811, intron 3 of 4)	MLT1K|LTR|ERVL-MaLR	26041	NM_001282530	55833	Hs.493739	NM_018449	ENSG00000137073	UBAP2	UBAP-2	ubiquitin associated protein 2	protein-coding
chr4-130	chr4	37650824	37651278	+	29.0	0.846	exon (NM_001085399, exon 2 of 7)	exon (NM_001085399, exon 2 of 7)	36947	NM_001085399	768211	Hs.283378	NM_001085399	ENSG00000181826	RELL1	-	RELT like 1	protein-coding
chr7-200	chr7	1139085	1139539	+	29.0	0.808	intron (NM_001350968, intron 2 of 5)	intron (NM_001350968, intron 2 of 5)	11563	NM_001098201	2852	Hs.20961	NM_001505	ENSG00000164850	GPER1	CEPR|CMKRL2|DRY12|FEG-1|GPCR-Br|GPER|GPR30|LERGU|LERGU2|LyGPR|mER	G protein-coupled estrogen receptor 1	protein-coding
chr6-166	chr6	42419418	42419872	+	29.0	0.846	intron (NM_001297573, intron 1 of 17)	CpG	144	NM_001297573	55809	Hs.485392	NM_018415	ENSG00000124496	TRERF1	BCAR2|HSA277276|RAPA|TREP132|TReP-132|dJ139D8.5	transcriptional regulating factor 1	protein-coding
chr19-213	chr19	39657632	39658086	+	29.0	0.767	intron (NM_001014832, intron 1 of 8)	intron (NM_001014832, intron 1 of 8)	-29745	NM_001001414	342897	Hs.726934	NM_001001414	ENSG00000188505	NCCRP1	FBXO50|NCCRP-1	non-specific cytotoxic cell receptor protein 1 homolog (zebrafish)	protein-coding
chr8-131	chr8	67940577	67941031	+	29.0	0.880	promoter-TSS (NM_001364910)	promoter-TSS (NM_001364910)	-15	NM_001364911	286187	Hs.583933	NM_001013626	ENSG00000178125	PPP1R42	LRRC67|TLLR|TLRR|dtr	protein phosphatase 1 regulatory subunit 42	protein-coding
chr1-404	chr1	236030022	236030476	+	29.0	0.800	promoter-TSS (NM_000081)	promoter-TSS (NM_000081)	-22	NM_000081	1130	Hs.532411	NM_000081	ENSG00000143669	LYST	CHS|CHS1	lysosomal trafficking regulator	protein-coding
chr17-241	chr17	71756219	71756673	+	29.0	0.815	intron (NR_027146, intron 3 of 3)	intron (NR_027146, intron 3 of 3)	22453	NM_001278587	100134391	Hs.694655	NM_001278587		LOC100134391	-	uncharacterized LOC100134391	protein-coding
chr17-236	chr17	41322024	41322478	+	29.0	0.846	promoter-TSS (NM_001291572)	promoter-TSS (NM_001291572)	169	NR_110868	101929767	Hs.640892	NR_110868		LOC101929767	-	uncharacterized LOC101929767	ncRNA
chr2-260	chr2	110962316	110962770	+	29.0	0.778	promoter-TSS (NM_001128178)	promoter-TSS (NM_001128178)	47	NM_207181	4867	Hs.280388	NM_000272	ENSG00000144061	NPHP1	JBTS4|NPH1|SLSN1	nephrocystin 1	protein-coding
chr17-221	chr17	78075851	78076305	+	29.0	0.786	non-coding (NR_134848, exon 2 of 2)	non-coding (NR_134848, exon 2 of 2)	698	NR_134848	2548	Hs.1437	NM_000152	ENSG00000171298	GAA	LYAG	glucosidase alpha, acid	protein-coding
chr19-209	chr19	11376799	11377253	+	29.0	0.889	Intergenic	L2c|LINE|L2	-3826	NM_001367830	57572	Hs.591002	NM_020812	ENSG00000130158	DOCK6	AOS2|ZIR1	dedicator of cytokinesis 6	protein-coding
chr14-128	chr14	23775870	23776324	+	29.0	0.852	promoter-TSS (NM_001199839)	promoter-TSS (NM_001199839)	28	NM_001199839	599	Hs.410026	NM_004050	ENSG00000129473	BCL2L2	BCL-W|BCL2-L-2|BCLW|PPP1R51	BCL2 like 2	protein-coding
chr9-146	chr9	27338175	27338629	+	29.0	0.923	intron (NM_024761, intron 3 of 3)	intron (NM_024761, intron 3 of 3)	-41254	NM_020641	54586	Hs.163070	NM_020641	ENSG00000120160	EQTN	AFAF|C9orf11|SPACA8	equatorin	protein-coding
chr10-160	chr10	97453701	97454155	+	29.0	0.885	promoter-TSS (NM_001143973)	promoter-TSS (NM_001143973)	-28	NM_001143973	26123	Hs.438991	NM_015631	ENSG00000119977	TCTN3	C10orf61|JBTS18|OFD4|TECT3	tectonic family member 3	protein-coding
chr9-152	chr9	132881490	132881944	+	29.0	0.800	intron (NM_001136557, intron 16 of 19)	intron (NM_001136557, intron 16 of 19)	24781	NR_135124	401554	Hs.522437	NR_135124	ENSG00000196979	GPRACR	LncGPR107	GPR107 adjacent cis regulating lncRNA	ncRNA
chr3-240	chr3	127084238	127084692	+	29.0	0.929	intron (NR_110147, intron 1 of 4)	MLT1L|LTR|ERVL-MaLR	25048	NR_110147	101927123	Hs.526761	NR_110147	ENSG00000244215	LINC02016	-	long intergenic non-protein coding RNA 2016	ncRNA
chr13-70	chr13	52733487	52733941	+	29.0	0.923	promoter-TSS (NM_002498)	promoter-TSS (NM_002498)	18	NM_002498	4752	Hs.409989	NM_002498	ENSG00000136098	NEK3	HSPK36	NIMA related kinase 3	protein-coding
chr17-200	chr17	1933808	1934262	+	29.0	0.767	intron (NR_144476, intron 1 of 12)	intron (NR_144476, intron 1 of 12)	629	NR_144476	1801	Hs.513856	NM_001383	ENSG00000108963	DPH1	DEDSSH|DPH2L|DPH2L1|OVCA1	diphthamide biosynthesis 1	protein-coding
chr11-219	chr11	130033641	130034095	+	29.0	0.815	intron (NM_021978, intron 1 of 18)	intron (NM_021978, intron 1 of 18)	4191	NM_021978	6768	Hs.504315	NM_021978	ENSG00000149418	ST14	ARCI11|HAI|MT-SP1|MTSP1|PRSS14|SNC19|TADG15|TMPRSS14	suppression of tumorigenicity 14	protein-coding
chr17-210	chr17	21906094	21906548	+	29.0	0.633	intron (NR_027084, intron 1 of 1)	SST1|Satellite|centr	2259	NR_027084	284124	Hs.310247	NR_027084	ENSG00000276399	FLJ36000	-	uncharacterized FLJ36000	ncRNA
