PeakID (cmd=annotatePeaks.pl HIOE_NEUROD1/HIOE_NEUROD1_0917input_0.05peaks.txt hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr6-43	chr6	114176097	114176425	+	12.7	0.857	Intergenic	Intergenic	-2263	NM_002356	4082	Hs.519909	NM_002356	ENSG00000277443	MARCKS	80K-L|MACS|PKCSL|PRKCSL	myristoylated alanine rich protein kinase C substrate	protein-coding
chr6-46	chr6	88632751	88633079	+	12.7	0.759	Intergenic	Intergenic	-124644	NM_030960	81833	Hs.161241	NM_030960	ENSG00000118434	SPACA1	SAMP32	sperm acrosome associated 1	protein-coding
chr19-33	chr19	49898733	49899061	+	12.7	0.710	intron (NM_144688, intron 4 of 19)	intron (NM_144688, intron 4 of 19)	7391	NM_144688	147872	Hs.662085	NM_144688	ENSG00000161609	CCDC155	KASH5	coiled-coil domain containing 155	protein-coding
chr1-112	chr1	227957673	227958001	+	12.7	0.588	intron (NR_136655, intron 5 of 5)	intron (NR_136655, intron 5 of 5)	34441	NM_001323934	116841	Hs.325081	NM_053052	ENSG00000143740	SNAP47	C1orf142|ESFI5812|HEL-S-290|HEL170|SNAP-47|SVAP1	synaptosome associated protein 47	protein-coding
chr3-38	chr3	52335014	52335342	+	12.7	0.700	Intergenic	Intergenic	-6854	NR_029677	406925		NR_029677	ENSG00000207926	MIR135A1	MIRN135-1|MIRN135A1|mir-135a-1	microRNA 135a-1	ncRNA
chr6-39	chr6	170534568	170534896	+	12.7	0.800	Intergenic	Intergenic	36925	NR_002787	154449	Hs.447751	NR_002787	ENSG00000230960	LOC154449	-	uncharacterized LOC154449	ncRNA
chr17-83	chr17	49029425	49029753	+	12.7	0.758	Intergenic	Intergenic	-84250	NM_001243877	10140	Hs.703321	NM_005749	ENSG00000141232	TOB1	APRO5|APRO6|PIG49|TOB|TROB|TROB1	transducer of ERBB2, 1	protein-coding
chr16-76	chr16	84008734	84009062	+	12.7	0.767	intron (NM_001329748, intron 2 of 11)	G-rich|Low_complexity|Low_complexity	6645	NM_001329749	54550	Hs.140950	NM_019065	ENSG00000103154	NECAB2	EFCBP2|stip-2	N-terminal EF-hand calcium binding protein 2	protein-coding
chr11-47	chr11	69262768	69263096	+	12.7	0.710	Intergenic	AluJr|SINE|Alu	22509	NM_001319657	102724265	Hs.448669	NM_001319657		LOC102724265	-	uncharacterized LOC102724265	protein-coding
chr12-21	chr12	105478295	105478623	+	12.7	0.767	promoter-TSS (NM_001034173)	promoter-TSS (NM_001034173)	-223	NR_027752	160428	Hs.42572	NM_001034173	ENSG00000136010	ALDH1L2	mtFDH	aldehyde dehydrogenase 1 family member L2	protein-coding
chr16-79	chr16	85707645	85707973	+	12.7	0.893	3' UTR (NM_001134473, exon 15 of 15)	3' UTR (NM_001134473, exon 15 of 15)	14751	NM_016095	51659	Hs.433180	NM_016095	ENSG00000131153	GINS2	HSPC037|PSF2|Pfs2	GINS complex subunit 2	protein-coding
chr16-63	chr16	27185292	27185620	+	12.7	0.848	Intergenic	Intergenic	-29391	NM_024773	79831	Hs.145717	NM_024773	ENSG00000155666	KDM8	JMJD5	lysine demethylase 8	protein-coding
chr9-49	chr9	79071003	79071331	+	12.7	0.724	intron (NM_001097634, intron 1 of 2)	LTR50|LTR|ERVL	-2901	NM_001097633	2650	Hs.521568	NM_001490	ENSG00000187210	GCNT1	C2GNT|C2GNT-L|C2GNT1|G6NT|NACGT2|NAGCT2	glucosaminyl (N-acetyl) transferase 1	protein-coding
chr4-39	chr4	153934751	153935079	+	12.7	0.793	Intergenic	MLT1G1|LTR|ERVL-MaLR	70780	NM_033393	85462	Hs.132629	NM_033393	ENSG00000137460	FHDC1	-	FH2 domain containing 1	protein-coding
chr12-19	chr12	132380553	132380881	+	12.7	0.771	intron (NM_003565, intron 3 of 27)	CpG	1550	NM_003565	8408	Hs.47061	NM_003565	ENSG00000177169	ULK1	ATG1|ATG1A|UNC51|Unc51.1|hATG1	unc-51 like autophagy activating kinase 1	protein-coding
chr22-31	chr22	28065252	28065580	+	12.7	0.767	Intergenic	MIRb|SINE|MIR	132328	NM_002430	4330	Hs.268515	NM_002430	ENSG00000169184	MN1	MGCR|MGCR1|MGCR1-PEN|dJ353E16.2	MN1 proto-oncogene, transcriptional regulator	protein-coding
chr6-44	chr6	80094472	80094800	+	12.7	0.667	Intergenic	MER68|LTR|ERVL	-71535	NR_130915	80078		NR_130915	ENSG00000286042	LCAL1	onco-lncRNA-27	lung cancer associated lncRNA 1	ncRNA
chr10-65	chr10	73474978	73475306	+	12.7	0.774	3' UTR (NM_001164375, exon 2 of 2)	3' UTR (NM_001164375, exon 2 of 2)	4393	NM_001164375	414152	Hs.568788	NM_001164375	ENSG00000214688	C10orf105	-	chromosome 10 open reading frame 105	protein-coding
chr2-99	chr2	90475523	90475851	+	12.7	0.759	Intergenic	(GCTG)n|Simple_repeat|Simple_repeat	1363803	NR_039635	100616399		NR_039635	ENSG00000265510	MIR4436A	mir-4436a	microRNA 4436a	ncRNA
chr7-43	chr7	97880883	97881211	+	12.7	0.767	intron (NM_015395, intron 1 of 25)	intron (NM_015395, intron 1 of 25)	497	NM_015395	25851	Hs.592281	NM_015395	ENSG00000205356	TECPR1	-	tectonin beta-propeller repeat containing 1	protein-coding
chr19-40	chr19	11376452	11376780	+	12.7	0.781	Intergenic	Intergenic	-3416	NM_020812	57572	Hs.591002	NM_020812	ENSG00000130158	DOCK6	AOS2|ZIR1	dedicator of cytokinesis 6	protein-coding
chr17-87	chr17	79399906	79400234	+	12.7	0.862	intron (NM_001291324, intron 1 of 27)	intron (NM_001291324, intron 1 of 27)	18144	NR_036152	100422944		NR_036152	ENSG00000266189	MIR3186	mir-3186	microRNA 3186	ncRNA
chr11-44	chr11	2675215	2675543	+	12.7	0.645	non-coding (NR_002728, exon 1 of 1)	non-coding (NR_002728, exon 1 of 1)	45849	NR_002728	10984	Hs.604823	NR_002728	ENSG00000269821	KCNQ1OT1	KCNQ1-AS2|KCNQ10T1|Kncq1|KvDMR1|KvLQT1-AS|LIT1|NCRNA00012	KCNQ1 opposite strand/antisense transcript 1	ncRNA
chr19-46	chr19	3557030	3557358	+	12.7	0.625	exon (NM_001287529, exon 1 of 10)	exon (NM_001287529, exon 1 of 10)	388	NM_001287529	126321	Hs.656901	NM_021731	ENSG00000161091	MFSD12	C19orf28|PP3501	major facilitator superfamily domain containing 12	protein-coding
chr3-43	chr3	48408617	48408945	+	12.7	0.700	Intergenic	Intergenic	-4928	NM_207102	285231	Hs.288793	NM_207102	ENSG00000164049	FBXW12	FBW12|FBXO12|FBXO35	F-box and WD repeat domain containing 12	protein-coding
chr2-80	chr2	182545514	182545842	+	12.7	0.719	promoter-TSS (NR_146176)	promoter-TSS (NR_146176)	-286	NR_146175	4760	Hs.574626	NM_002500	ENSG00000162992	NEUROD1	BETA2|BHF-1|MODY6|NEUROD|bHLHa3	neuronal differentiation 1	protein-coding
chr11-52	chr11	63686670	63686998	+	12.7	0.833	Intergenic	Intergenic	-2198	NM_001363648	283248	Hs.98788	NM_173587	ENSG00000167771	RCOR2	-	REST corepressor 2	protein-coding
chr22-26	chr22	47091974	47092302	+	12.7	0.742	intron (NM_022766, intron 8 of 12)	intron (NM_022766, intron 8 of 12)	42011	NM_022766	64781	Hs.200668	NM_022766	ENSG00000100422	CERK	LK4|dA59H18.2|dA59H18.3|hCERK	ceramide kinase	protein-coding
chr6-42	chr6	168516771	168517099	+	12.7	0.667	Intergenic	Intergenic	-34698	NR_110312	79981	Hs.266746	NM_024919	ENSG00000153303	FRMD1	bA164L23.1	FERM domain containing 1	protein-coding
chr10-59	chr10	95455455	95455783	+	12.7	0.800	intron (NM_001347714, intron 4 of 13)	MER58A|DNA|hAT-Charlie	6710	NM_001347715	118924	Hs.586650	NM_145246	ENSG00000148690	FRA10AC1	C10orf4|F26C11.1-like|FRA10A	FRA10A associated CGG repeat 1	protein-coding
chr1-130	chr1	38519805	38520133	+	12.7	0.677	Intergenic	Intergenic	-7504	NM_002699	5453	Hs.1837	NM_002699	ENSG00000185668	POU3F1	OCT6|OTF6|SCIP	POU class 3 homeobox 1	protein-coding
chr22-24	chr22	22994158	22994486	+	12.7	0.688	Intergenic	Intergenic	5540	NM_199127	91227	Hs.450000	NM_080839	ENSG00000100121	GGTLC2	GGTL4	gamma-glutamyltransferase light chain 2	protein-coding
chr7-36	chr7	1854989	1855317	+	12.7	0.667	TTS (NM_001013836)	TTS (NM_001013836)	28736	NR_039799	100616160		NR_039799	ENSG00000265089	MIR4655	-	microRNA 4655	ncRNA
chr1-90	chr1	21665079	21665407	+	12.7	0.765	intron (NM_001113348, intron 1 of 18)	intron (NM_001113348, intron 1 of 18)	6754	NM_001113348	1889	Hs.195080	NM_001397	ENSG00000117298	ECE1	ECE	endothelin converting enzyme 1	protein-coding
chr9-52	chr9	45356857	45357185	+	12.7	0.815	Intergenic	TAR1|Satellite|telo	-84864	NR_148348	107984035	Hs.649184	NR_148348		LOC107984035	-	uncharacterized LOC107984035	ncRNA
chr14-25	chr14	91841732	91842060	+	12.7	0.774	intron (NM_001080414, intron 3 of 29)	intron (NM_001080414, intron 3 of 29)	42268	NM_001080414	440193	Hs.525536	NM_001080414	ENSG00000015133	CCDC88C	DAPLE|HKRP2|HYC1|KIAA1509|SCA40	coiled-coil domain containing 88C	protein-coding
chr10-61	chr10	79092014	79092342	+	12.7	0.759	intron (NM_001322838, intron 1 of 29)	intron (NM_001322838, intron 1 of 29)	18341	NM_001322838	3778	Hs.144795	NM_002247	ENSG00000156113	KCNMA1	BKTM|CADEDS|KCa1.1|MaxiK|PNKD3|SAKCA|SLO|SLO-ALPHA|SLO1|bA205K10.1|hSlo|mSLO1	potassium calcium-activated channel subfamily M alpha 1	protein-coding
chr5-18	chr5	138854768	138855096	+	12.7	0.743	TTS (NM_001301738)	TTS (NM_001301738)	4343	NM_001365197	111064649		NM_001365197	ENSG00000283288	SMIM33	-	small integral membrane protein 33	protein-coding
chr19-36	chr19	48014926	48015254	+	12.7	0.871	intron (NM_003827, intron 1 of 10)	MIRb|SINE|MIR	3230	NM_003827	8775	Hs.126938	NM_003827	ENSG00000105402	NAPA	SNAPA	NSF attachment protein alpha	protein-coding
chr19-39	chr19	18391149	18391477	+	12.7	0.862	exon (NM_005354, exon 1 of 1)	exon (NM_005354, exon 1 of 1)	1119	NM_001286968	3727	Hs.2780	NM_005354	ENSG00000130522	JUND	AP-1	JunD proto-oncogene, AP-1 transcription factor subunit	protein-coding
chr21-34	chr21	42886701	42887029	+	12.7	0.786	Intergenic	ERVL-B4-int|LTR|ERVL	-6780	NM_005656	7113	Hs.439309	NM_005656	ENSG00000184012	TMPRSS2	PP9284|PRSS10	transmembrane serine protease 2	protein-coding
chr1-128	chr1	9069854	9070182	+	12.7	0.824	intron (NM_207420, intron 9 of 11)	MER20B|DNA|hAT-Charlie	16386	NM_207420	155184	Hs.531239	NM_207420	ENSG00000197241	SLC2A7	GLUT-7|GLUT7	solute carrier family 2 member 7	protein-coding
chr2-98	chr2	239052182	239052510	+	12.7	0.828	intron (NM_198582, intron 3 of 7)	intron (NM_198582, intron 3 of 7)	5037	NM_198582	377007	Hs.591595	NM_198582	ENSG00000168427	KLHL30	-	kelch like family member 30	protein-coding
chr1-124	chr1	112276005	112276333	+	12.7	0.667	intron (NM_198926, intron 1 of 1)	intron (NM_198926, intron 1 of 1)	5848	NM_019099	55924	Hs.193406	NM_019099	ENSG00000197852	INKA2	C1orf183|FAM212B	inka box actin regulator 2	protein-coding
chr20-24	chr20	390411	390739	+	12.7	0.903	exon (NM_031229, exon 2 of 12)	exon (NM_031229, exon 2 of 12)	1632	NR_136659	10616	Hs.29546	NM_006462	ENSG00000125826	RBCK1	C20orf18|HOIL-1|HOIL1|PBMEI|PGBM1|RBCK2|RNF54|UBCE7IP3|XAP3|XAP4|ZRANB4	RANBP2-type and C3HC4-type zinc finger containing 1	protein-coding
chr17-77	chr17	43365226	43365554	+	12.7	0.839	intron (NM_003954, intron 3 of 15)	intron (NM_003954, intron 3 of 15)	-25929	NM_152343	124783	Hs.412719	NM_152343	ENSG00000184361	SPATA32	AEP2|C17orf46|TEX34|VAD1.2	spermatogenesis associated 32	protein-coding
chr16-71	chr16	16214373	16214701	+	12.7	0.742	intron (NM_004996, intron 23 of 30)	intron (NM_004996, intron 23 of 30)	102791	NM_001171	368	Hs.442182	NM_001171	ENSG00000091262	ABCC6	ABC34|ARA|EST349056|GACI2|MLP1|MOAT-E|MOATE|MRP6|PXE|PXE1|URG7	ATP binding cassette subfamily C member 6	protein-coding
chr16-70	chr16	11239301	11239629	+	12.7	0.742	intron (NM_015226, intron 21 of 22)	MER58A|DNA|hAT-Charlie	110574	NM_003745	8651	Hs.50640	NM_003745	ENSG00000185338	SOCS1	CIS1|CISH1|JAB|SOCS-1|SSI-1|SSI1|TIP-3|TIP3	suppressor of cytokine signaling 1	protein-coding
chr22-29	chr22	31739294	31739622	+	12.7	0.800	intron (NM_032051, intron 1 of 2)	intron (NM_032051, intron 1 of 2)	2874	NM_014323	23598	Hs.731398	NM_014323	ENSG00000100105	PATZ1	MAZR|PATZ|RIAZ|ZBTB19|ZNF278|ZSG|dJ400N23	POZ/BTB and AT hook containing zinc finger 1	protein-coding
chr9-43	chr9	98793725	98794053	+	12.7	0.812	Intergenic	Intergenic	-9796	NR_024129	100188953	Hs.434310	NR_024129	ENSG00000225194	LINC00092	NCRNA00092	long intergenic non-protein coding RNA 92	ncRNA
chr10-53	chr10	100061745	100062073	+	12.7	0.735	Intergenic	Intergenic	-33958	NM_032211	84171	Hs.306814	NM_032211	ENSG00000138131	LOXL4	LOXC	lysyl oxidase like 4	protein-coding
chr1-91	chr1	206874120	206874448	+	12.7	0.867	intron (NM_032960, intron 1 of 9)	intron (NM_032960, intron 1 of 9)	16034	NM_004759	9261	Hs.643566	NM_004759	ENSG00000162889	MAPKAPK2	MAPKAP-K2|MK-2|MK2	MAPK activated protein kinase 2	protein-coding
chr16-72	chr16	81686278	81686606	+	12.7	0.719	intron (NM_030629, intron 4 of 20)	intron (NM_030629, intron 4 of 20)	-12517	NR_045112	100129617	Hs.657151	NR_045112		LOC100129617	-	uncharacterized LOC100129617	ncRNA
chr8-36	chr8	142411398	142411726	+	12.7	0.576	intron (NM_032611, intron 1 of 5)	intron (NM_032611, intron 1 of 5)	9441	NM_032611	11156	Hs.43666	NM_007079	ENSG00000184489	PTP4A3	PRL-3|PRL-R|PRL3	protein tyrosine phosphatase 4A3	protein-coding
chr19-38	chr19	51379835	51380163	+	12.7	0.750	non-coding (NR_045762, exon 3 of 5)	non-coding (NR_045762, exon 3 of 5)	3304	NR_045762	3817	Hs.515560	NM_005551	ENSG00000167751	KLK2	KLK2A2|hGK-1|hK2	kallikrein related peptidase 2	protein-coding
chr12-27	chr12	113481071	113481399	+	12.7	0.889	Intergenic	Intergenic	-14427	NM_004416	1840	Hs.372152	NM_004416	ENSG00000135144	DTX1	RNF140|hDx-1	deltex E3 ubiquitin ligase 1	protein-coding
chr1-114	chr1	229003881	229004209	+	12.7	0.767	Intergenic	Intergenic	132819	NM_021205	58480	Hs.647774	NM_021205	ENSG00000116574	RHOU	ARHU|CDC42L1|G28K|WRCH1|hG28K	ras homolog family member U	protein-coding
chr1-120	chr1	3239690	3240018	+	12.7	0.719	intron (NM_199454, intron 3 of 16)	intron (NM_199454, intron 3 of 16)	-131375	NM_014448	27237	Hs.87435	NM_014448	ENSG00000130762	ARHGEF16	GEF16|NBR	Rho guanine nucleotide exchange factor 16	protein-coding
chr19-37	chr19	51538055	51538383	+	12.7	0.742	promoter-TSS (NM_019598)	promoter-TSS (NM_019598)	39	NM_001370126	43849	Hs.411572	NM_019598	ENSG00000186474	KLK12	KLK-L5|KLKL5	kallikrein related peptidase 12	protein-coding
chr9-51	chr9	80659047	80659375	+	12.7	0.793	Intergenic	Intergenic	-12484	NM_002072	2776	Hs.269782	NM_002072	ENSG00000156052	GNAQ	CMC1|G-ALPHA-q|GAQ|SWS	G protein subunit alpha q	protein-coding
chr2-58	chr2	42273307	42273635	+	12.7	0.765	Intergenic	Intergenic	-1690	NM_138370	91461	Hs.408542	NM_138370	ENSG00000162878	PKDCC	SGK493|Vlk	protein kinase domain containing, cytoplasmic	protein-coding
chr19-35	chr19	3966038	3966366	+	12.7	0.611	intron (NM_001348, intron 2 of 8)	MIRb|SINE|MIR	-4692	NR_030367	693222		NR_030367	ENSG00000283928	MIR637	MIRN637|hsa-mir-637	microRNA 637	ncRNA
chr9-42	chr9	3879285	3879613	+	12.7	0.676	exon (NM_152629, exon 7 of 10)	exon (NM_152629, exon 7 of 10)	-19197	NR_026663	84850	Hs.676113	NM_032764	ENSG00000237009	GLIS3-AS1	C9orf70	GLIS3 antisense RNA 1	ncRNA
chr19-41	chr19	33893504	33893832	+	12.7	0.828	intron (NM_000285, intron 11 of 14)	intron (NM_000285, intron 11 of 14)	28238	NM_001252296	1054	Hs.429666	NM_001806	ENSG00000153879	CEBPG	GPE1BP|IG/EBP-1	CCAAT enhancer binding protein gamma	protein-coding
chr5-24	chr5	174305016	174305344	+	12.7	0.889	Intergenic	Intergenic	117554	NR_046113	441116	Hs.533036	NM_001004348	ENSG00000204754	LINC01951	-	long intergenic non-protein coding RNA 1951	ncRNA
chr22-27	chr22	43689774	43690102	+	12.7	0.793	intron (NM_173050, intron 3 of 21)	intron (NM_173050, intron 3 of 21)	17990	NR_134582	101927447	Hs.621227	NR_134582	ENSG00000203527	LOC101927447	-	uncharacterized LOC101927447	ncRNA
chr14-24	chr14	34500048	34500376	+	12.7	0.839	Intergenic	(CA)n|Simple_repeat|Simple_repeat	-79932	NM_001308103	112399	Hs.135507	NM_022073	ENSG00000129521	EGLN3	HIFP4H3|HIFPH3|PHD3	egl-9 family hypoxia inducible factor 3	protein-coding
chr11-45	chr11	60909061	60909389	+	12.7	0.839	intron (NM_017966, intron 1 of 4)	intron (NM_017966, intron 1 of 4)	19673	NM_017966	55048	Hs.523715	NM_017966	ENSG00000167987	VPS37C	-	VPS37C subunit of ESCRT-I	protein-coding
chr17-86	chr17	72804119	72804447	+	12.1	0.833	intron (NM_001321264, intron 8 of 9)	intron (NM_001321264, intron 8 of 9)	31645	NM_017728	54868	Hs.370262	NM_017728	ENSG00000109066	TMEM104	-	transmembrane protein 104	protein-coding
chr5-34	chr5	178798716	178799044	+	12.1	0.733	Intergenic	Intergenic	-26418	NM_014244	9509	Hs.23871	NM_014244	ENSG00000087116	ADAMTS2	ADAM-TS2|ADAMTS-2|ADAMTS-3|EDSDERMS|NPI|PC I-NP|PCI-NP|PCINP|PCPNI|PNPI	ADAM metallopeptidase with thrombospondin type 1 motif 2	protein-coding
chr16-77	chr16	85253844	85254172	+	12.1	0.889	Intergenic	Intergenic	12606	NR_162142	113219463		NR_162142		MIR12128	-	microRNA 12128	ncRNA
chr10-67	chr10	124235782	124236110	+	12.1	0.778	intron (NM_002775, intron 1 of 8)	intron (NM_002775, intron 1 of 8)	14877	NM_002775	5654	Hs.501280	NM_002775	ENSG00000166033	HTRA1	ARMD7|CADASIL2|CARASIL|HtrA|L56|ORF480|PRSS11	HtrA serine peptidase 1	protein-coding
chr4-53	chr4	166319768	166320096	+	12.1	0.793	intron (NM_001873, intron 1 of 8)	intron (NM_001873, intron 1 of 8)	12538	NR_030304	693163		NR_030304	ENSG00000207559	MIR578	MIRN578|hsa-mir-578	microRNA 578	ncRNA
chr20-30	chr20	33568688	33569016	+	12.1	0.727	exon (NM_020884, exon 9 of 45)	exon (NM_020884, exon 9 of 45)	-9327	NR_030223	574501		NR_030223	ENSG00000207635	MIR499A	MIR499|MIRN499|hsa-mir-499a|mir-499a	microRNA 499a	ncRNA
chr1-105	chr1	205298927	205299255	+	12.1	0.706	Intergenic	Intergenic	-8218	NM_030952	81788	Hs.497512	NM_030952	ENSG00000163545	NUAK2	SNARK	NUAK family kinase 2	protein-coding
chr1-98	chr1	203259515	203259843	+	12.1	0.686	Intergenic	Intergenic	2851	NR_117098	100506775	Hs.443859	NR_117097	ENSG00000231507	LINC01353	-	long intergenic non-protein coding RNA 1353	ncRNA
chr19-42	chr19	5962107	5962435	+	12.1	0.759	intron (NM_001300865, intron 1 of 15)	intron (NM_001300865, intron 1 of 15)	15880	NM_001300865	8498	Hs.531752	NM_003624	ENSG00000031823	RANBP3	-	RAN binding protein 3	protein-coding
chr8-40	chr8	120119792	120120120	+	12.1	0.719	3' UTR (NM_001324095, exon 8 of 8)	3' UTR (NM_001324095, exon 8 of 8)	-38935	NR_134297	101927513	Hs.676598	NR_134297	ENSG00000254278	LOC101927513	-	uncharacterized LOC101927513	ncRNA
chr2-102	chr2	241790590	241790918	+	12.1	0.697	Intergenic	Intergenic	-17487	NM_000030	189	Hs.144567	NM_000030	ENSG00000172482	AGXT	AGT|AGT1|AGXT1|PH1|SPAT|SPT|TLH6	alanine--glyoxylate and serine--pyruvate aminotransferase	protein-coding
chr1-122	chr1	213714896	213715224	+	12.1	0.800	Intergenic	L2b|LINE|L2	-383032	NR_046189	100861504	Hs.742586	NR_046189		LINC00538	PROX1UT|Yiya	long intergenic non-protein coding RNA 538	ncRNA
chr2-113	chr2	243153673	243154001	+	12.1	0.846	Intergenic	TAR1|Satellite|telo	123053	NR_130702	728323	Hs.380737	NR_024437		LINC01881	-	long intergenic non-protein coding RNA 1881	ncRNA
chr5-26	chr5	58474346	58474674	+	12.1	0.846	intron (NM_001364600, intron 7 of 7)	intron (NM_001364600, intron 7 of 7)	97431	NM_001197220	5144	Hs.117545	NM_006203	ENSG00000113448	PDE4D	ACRDYS2|DPDE3|HSPDE4D|PDE43|PDE4DN2|STRK1	phosphodiesterase 4D	protein-coding
chr6-49	chr6	33557930	33558258	+	12.1	0.774	intron (NR_027908, intron 1 of 1)	intron (NR_027908, intron 1 of 1)	3021	NR_027908	401253	Hs.520075	NM_207497	ENSG00000197251	LINC00336	C6orf227|NCRNA00336	long intergenic non-protein coding RNA 336	ncRNA
chr6-51	chr6	168098032	168098360	+	12.1	0.857	Intergenic	Intergenic	-13729	NR_117092	441178	Hs.628956	NM_001025489	ENSG00000203688	LINC02487	-	long intergenic non-protein coding RNA 2487	ncRNA
chr2-120	chr2	150828597	150828925	+	12.1	0.893	Intergenic	MER130|Unknown?|Unknown?	-113056	NR_145421	150596	Hs.470217	NM_153041	ENSG00000162947	LINC01931	-	long intergenic non-protein coding RNA 1931	ncRNA
chr12-30	chr12	67909724	67910052	+	12.1	0.774	Intergenic	Intergenic	-3974	NR_103861	100507175	Hs.505986	NR_103861	ENSG00000203585	LINC02408	-	long intergenic non-protein coding RNA 2408	ncRNA
chr13-10	chr13	100117666	100117994	+	12.1	0.800	Intergenic	Intergenic	33730	NR_110731	102725509	Hs.648968	NR_110731		LINC01232	TCONS_00021520	long intergenic non-protein coding RNA 1232	ncRNA
chr5-29	chr5	177769254	177769582	+	12.1	0.679	intron (NM_173465, intron 2 of 28)	intron (NM_173465, intron 2 of 28)	-109595	NR_103508	85007	Hs.248746	NM_153373	ENSG00000175309	PHYKPL	AGXT2L2|PHLU	5-phosphohydroxy-L-lysine phospho-lyase	protein-coding
chr20-23	chr20	22581548	22581876	+	12.1	0.839	intron (NR_109883, intron 1 of 2)	intron (NR_109883, intron 1 of 2)	6443	NR_109883	101929685	Hs.563018	NR_109883	ENSG00000237396	LNCNEF	LINC01384|lncRNA-NEF	lncRNA neighboring enhancer of FOXA2	ncRNA
chr1-118	chr1	15505551	15505879	+	12.1	0.645	intron (NM_018022, intron 1 of 2)	L1ME2|LINE|L1	-7595	NM_001278501	727684	Hs.667584	NM_001278501		C1orf195	-	chromosome 1 open reading frame 195	protein-coding
chr16-88	chr16	11886524	11886852	+	12.1	0.793	intron (NM_014153, intron 1 of 22)	intron (NM_014153, intron 1 of 22)	4426	NM_014153	29066	Hs.371856	NM_014153	ENSG00000122299	ZC3H7A	HSPC055|ZC3H7|ZC3HDC7	zinc finger CCCH-type containing 7A	protein-coding
chr10-62	chr10	71199036	71199364	+	12.1	0.676	Intergenic	Intergenic	-12021	NM_012339	23555	Hs.499941	NM_012339	ENSG00000099282	TSPAN15	2700063A19Rik|NET-7|NET7|TM4SF15	tetraspanin 15	protein-coding
chr22-32	chr22	46503258	46503586	+	12.1	0.808	intron (NR_027033, intron 4 of 5)	intron (NR_027033, intron 4 of 5)	-5207	NR_029478	406883		NR_029478	ENSG00000283990	MIRLET7A3	LET7A3|MIRNLET7A3|let-7a-3	microRNA let-7a-3	ncRNA
chr8-35	chr8	11315219	11315547	+	12.1	0.800	intron (NM_053279, intron 1 of 2)	L2c|LINE|L2	8879	NM_053279	83648	Hs.124299	NM_053279	ENSG00000154319	FAM167A	C8orf13|D8S265|DIORA-1	family with sequence similarity 167 member A	protein-coding
chr8-43	chr8	73614915	73615243	+	12.1	0.759	intron (NM_004770, intron 2 of 2)	intron (NM_004770, intron 2 of 2)	-29201	NR_110656	101926908	Hs.680588	NR_110656	ENSG00000253726	LOC101926908	-	uncharacterized LOC101926908	ncRNA
chr1-143	chr1	54822060	54822388	+	12.1	0.857	intron (NM_001009955, intron 4 of 16)	CpG	49843	NM_018070	23648	Hs.476706	NM_018070	ENSG00000157216	SSBP3	CSDP|SSDP|SSDP1	single stranded DNA binding protein 3	protein-coding
chr5-25	chr5	111055551	111055879	+	12.1	0.828	intron (NR_040093, intron 2 of 6)	7SK|RNA|RNA	36233	NM_001142483	9315	Hs.36053	NM_004772	ENSG00000134986	NREP	C5orf13|D4S114|P311|PRO1873|PTZ17|SEZ17	neuronal regeneration related protein	protein-coding
chr10-66	chr10	82224890	82225218	+	12.1	0.667	intron (NM_001351268, intron 2 of 9)	intron (NM_001351268, intron 2 of 9)	-2965	NM_001351272	81619	Hs.308615	NM_030927	ENSG00000108219	TSPAN14	DC-TM4F2|TM4SF14|tspan-14	tetraspanin 14	protein-coding
chr7-44	chr7	61825250	61825578	+	12.1	0.733	Intergenic	L1PA4|LINE|L1	939020	NR_003952	643955	Hs.583308	NR_003952	ENSG00000185037	ZNF733P	ZNF733	zinc finger protein 733, pseudogene	pseudo
chr20-28	chr20	37511968	37512296	+	12.1	0.759	intron (NM_001172735, intron 2 of 9)	intron (NM_001172735, intron 2 of 9)	-42928	NM_030919	81610	Hs.726442	NM_030919	ENSG00000101447	FAM83D	C20orf129|CHICA|dJ616B8.3	family with sequence similarity 83 member D	protein-coding
chr1-147	chr1	3585378	3585706	+	12.1	0.724	intron (NM_001204186, intron 1 of 10)	intron (NM_001204186, intron 1 of 10)	16413	NM_001204188	7161	Hs.192132	NM_005427	ENSG00000078900	TP73	P73	tumor protein p73	protein-coding
chr11-49	chr11	36280246	36280574	+	12.1	0.893	Intergenic	Intergenic	30564	NM_001101653	29099	Hs.99443	NM_014186	ENSG00000110442	COMMD9	C11orf55|HSPC166|LINC00610	COMM domain containing 9	protein-coding
chr11-55	chr11	1585249	1585577	+	12.1	0.774	intron (NM_004420, intron 2 of 6)	intron (NM_004420, intron 2 of 6)	8088	NM_004420	1850	Hs.41688	NM_004420	ENSG00000184545	DUSP8	C11orf81|HB5|HVH-5|HVH8	dual specificity phosphatase 8	protein-coding
chr1-132	chr1	21993453	21993781	+	12.1	0.656	intron (NM_001330383, intron 1 of 26)	intron (NM_001330383, intron 1 of 26)	2233	NM_001350528	5909	Hs.148178	NM_002885	ENSG00000076864	RAP1GAP	RAP1GA1|RAP1GAP1|RAP1GAPII|RAPGAP	RAP1 GTPase activating protein	protein-coding
