PeakID (cmd=annotatePeaks.pl HIOE_Ngn3_0.05/HIOE_Ngn3_0917input_0.05peaks.txt hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr5-373	chr5	115177561	115177745	+	4.16	0.575	promoter-TSS (NM_001002924)	promoter-TSS (NM_001002924)	10	NR_157084	1176	Hs.406191	NM_001284	ENSG00000177879	AP3S1	CLAPS3|Sigma3A	adaptor related protein complex 3 subunit sigma 1	protein-coding
chr15-470	chr15	24244073	24244257	+	4.16	0.719	intron (NR_126392, intron 3 of 5)	intron (NR_126392, intron 3 of 5)	23871	NR_126392	105370731	Hs.532639	NR_126392		PWRN4	LINC01084	Prader-Willi region non-protein coding RNA 4	ncRNA
chr10-628	chr10	112135976	112136160	+	4.16	0.568	Intergenic	Intergenic	-71390	NM_005871	10285	Hs.632093	NM_005871	ENSG00000119953	SMNDC1	SMNR|SPF30|TDRD16C	survival motor neuron domain containing 1	protein-coding
chr5-421	chr5	923430	923614	+	4.16	0.727	Intergenic	Intergenic	30523	NM_001166260	9319	Hs.436187	NM_004237	ENSG00000071539	TRIP13	16E1BP|MVA3	thyroid hormone receptor interactor 13	protein-coding
chr12-304	chr12	126620954	126621138	+	4.16	0.730	Intergenic	L1PA15|LINE|L1	40508	NR_110053	101927464	Hs.443932	NR_110053	ENSG00000284848	LINC02359	-	long intergenic non-protein coding RNA 2359	ncRNA
chr7-552	chr7	108396531	108396715	+	4.16	0.711	Intergenic	L1PA13|LINE|L1	128021	NM_001024607	154907	Hs.276325	NM_001024607		C7orf66	-	chromosome 7 open reading frame 66	protein-coding
chr2-711	chr2	961197	961381	+	4.16	0.765	intron (NM_018968, intron 1 of 16)	CT-rich|Low_complexity|Low_complexity	-14211	NR_136151	101060391	Hs.120377	NR_136151		SNTG2-AS1	-	SNTG2 antisense RNA 1	ncRNA
chr2-1231	chr2	1878449	1878633	+	4.16	0.643	intron (NM_001329845, intron 18 of 24)	intron (NM_001329845, intron 18 of 24)	-130254	NM_012293	7837	Hs.332197	NM_012293	ENSG00000130508	PXDN	ASGD7|COPOA|D2S448|D2S448E|MG50|PRG2|PXN|VPO	peroxidasin	protein-coding
chr2-928	chr2	71250922	71251106	+	4.16	0.632	promoter-TSS (NR_002185)	promoter-TSS (NR_002185)	-191	NR_002185	79315	Hs.327033	NR_002185	ENSG00000205847	OR7E91P	-	olfactory receptor family 7 subfamily E member 91 pseudogene	pseudo
chr1-1545	chr1	43721258	43721442	+	4.16	0.806	Intergenic	Intergenic	-14304	NM_144626	128218	Hs.104476	NM_144626	ENSG00000179178	TMEM125	-	transmembrane protein 125	protein-coding
chr11-836	chr11	57685267	57685451	+	4.16	0.719	Intergenic	Intergenic	-105994	NM_001005212	219956	Hs.689841	NM_001005212	ENSG00000186509	OR9Q1	-	olfactory receptor family 9 subfamily Q member 1	protein-coding
chr9-908	chr9	122632501	122632685	+	4.16	0.667	Intergenic	LTR12C|LTR|ERV1	-64745	NR_132393	106146149	Hs.638938	NR_132393	ENSG00000261432	LINC01613	n341773	long intergenic non-protein coding RNA 1613	ncRNA
chr15-404	chr15	32389305	32389489	+	4.16	0.676	intron (NM_000746, intron 2 of 9)	intron (NM_000746, intron 2 of 9)	66679	NM_000746	1139	Hs.511772	NM_000746	ENSG00000175344	CHRNA7	CHRNA7-2|NACHRA7	cholinergic receptor nicotinic alpha 7 subunit	protein-coding
chr8-495	chr8	115018258	115018442	+	4.16	0.639	Intergenic	L1PA2|LINE|L1	-569182	NM_001363185	114788	Hs.91381	NM_052900	ENSG00000164796	CSMD3	-	CUB and Sushi multiple domains 3	protein-coding
chr2-535	chr2	503757	503941	+	4.16	0.703	Intergenic	CpG	-11194	NR_146436	727944		NR_146436	ENSG00000223985	LINC01874	-	long intergenic non-protein coding RNA 1874	ncRNA
chr1-1693	chr1	209956803	209956987	+	4.16	0.774	exon (NM_152485, exon 2 of 2)	exon (NM_152485, exon 2 of 2)	1009	NM_152485	148304	Hs.497642	NM_152485	ENSG00000162757	C1orf74	URLC4	chromosome 1 open reading frame 74	protein-coding
chr11-987	chr11	99976775	99976959	+	4.16	0.800	intron (NM_014361, intron 13 of 24)	intron (NM_014361, intron 13 of 24)	549991	NM_175566	53942	Hs.656783	NM_014361	ENSG00000149972	CNTN5	HNB-2s|NB-2	contactin 5	protein-coding
chr7-635	chr7	19731833	19732017	+	4.16	0.658	Intergenic	LTR12C|LTR|ERV1	13134	NR_036101	100422967		NR_036101	ENSG00000265932	MIR3146	mir-3146	microRNA 3146	ncRNA
chr17-1034	chr17	115692	115876	+	4.16	0.697	intron (NM_001190412, intron 5 of 8)	intron (NM_001190412, intron 5 of 8)	-65526	NM_001242780	100506388	Hs.627744	NM_001242780	ENSG00000262061	LOC100506388	-	uncharacterized LOC100506388	protein-coding
chr2-757	chr2	66017172	66017356	+	4.16	0.513	Intergenic	Intergenic	-357531	NM_181784	200734	Hs.59332	NM_181784	ENSG00000198369	SPRED2	Spred-2	sprouty related EVH1 domain containing 2	protein-coding
chr16-637	chr16	72121653	72121837	+	4.16	0.706	intron (NM_001324355, intron 4 of 4)	AluY|SINE|Alu	5774	NM_017853	54957	Hs.134406	NM_017853	ENSG00000140830	TXNL4B	DLP|Dim2	thioredoxin like 4B	protein-coding
chr10-496	chr10	102672342	102672526	+	4.16	0.744	promoter-TSS (NM_018121)	promoter-TSS (NM_018121)	-286	NM_001136123	55719	Hs.447458	NM_018121	ENSG00000119906	SLF2	C10orf6|FAM178A	SMC5-SMC6 complex localization factor 2	protein-coding
chr1-1112	chr1	116710786	116710970	+	4.16	0.585	Intergenic	CpG	56502	NM_152367	126868	Hs.376194	NM_152367	ENSG00000173212	MAB21L3	C1orf161	mab-21 like 3	protein-coding
chr8-479	chr8	109848981	109849165	+	4.16	0.629	Intergenic	AluY|SINE|Alu	-49250	NR_136411	157753	Hs.99439	NM_153015	ENSG00000164841	TMEM74	NET36	transmembrane protein 74	protein-coding
chr19-1377	chr19	22800848	22801032	+	4.16	0.632	intron (NR_135233, intron 1 of 1)	CpG	5833	NR_135233	374890	Hs.380776	NR_135233	ENSG00000268038	LINC01785	-	long intergenic non-protein coding RNA 1785	ncRNA
chr18-208	chr18	77890675	77890859	+	4.16	0.697	intron (NM_014913, intron 2 of 3)	AluSz|SINE|Alu	-15040	NR_028339	100130522	Hs.352602	NM_001145731	ENSG00000267270	PARD6G-AS1	-	PARD6G antisense RNA 1	ncRNA
chr1-1623	chr1	104951030	104951214	+	4.16	0.649	Intergenic	LTR12D|LTR|ERV1	335477	NR_033990	100129138	Hs.514487	NR_033990	ENSG00000215869	LOC100129138	-	THAP domain containing 3 pseudogene	pseudo
chr6-525	chr6	36695442	36695626	+	4.16	0.650	intron (NM_001257357, intron 11 of 13)	intron (NM_001257357, intron 11 of 13)	29643	NM_001314019	57699	Hs.372129	NM_020939	ENSG00000124772	CPNE5	COPN5|CPN5	copine 5	protein-coding
chr16-1021	chr16	87344089	87344273	+	4.16	0.553	intron (NM_001195124, intron 4 of 6)	intron (NM_001195124, intron 4 of 6)	6817	NM_001195124	100506581	Hs.729380	NM_001195124	ENSG00000260456	C16orf95	-	chromosome 16 open reading frame 95	protein-coding
chr9-864	chr9	119067275	119067459	+	4.16	0.767	intron (NM_002581, intron 10 of 21)	(CA)n|Simple_repeat|Simple_repeat	95518	NR_103711	493913	Hs.728832	NR_103711	ENSG00000256040	PAPPA-AS1	DIPAS|NCRNA00156|PAPPA-AS|PAPPAAS|PAPPAS|TAF2C2|TAF4B|TAFII105	PAPPA antisense RNA 1	ncRNA
chr21-477	chr21	16698406	16698590	+	4.16	0.629	Intergenic	MER52D|LTR|ERV1	-261177	NM_003489	8204	Hs.155017	NM_003489	ENSG00000180530	NRIP1	CAKUT3|RIP140	nuclear receptor interacting protein 1	protein-coding
chr2-1226	chr2	125256910	125257094	+	4.16	0.639	intron (NM_001367498, intron 7 of 23)	intron (NM_001367498, intron 7 of 23)	474138	NM_001367498	129684	Hs.660653	NM_130773	ENSG00000155052	CNTNAP5	caspr5	contactin associated protein like 5	protein-coding
chr8-453	chr8	26499220	26499404	+	4.16	0.718	intron (NM_001386, intron 8 of 13)	intron (NM_001386, intron 8 of 13)	63391	NM_001244604	1808	Hs.593187	NM_001386	ENSG00000092964	DPYSL2	CRMP-2|CRMP2|DHPRP2|DRP-2|DRP2|N2A3|ULIP-2|ULIP2	dihydropyrimidinase like 2	protein-coding
chr2-813	chr2	92260727	92260911	+	4.16	0.676	Intergenic	CpG	131660	NR_027714	440888	Hs.730239	NM_001032412		ACTR3BP2	FKSG73	ACTR3B pseudogene 2	pseudo
chr14-413	chr14	89657592	89657776	+	4.16	0.706	intron (NM_001085471, intron 4 of 6)	intron (NM_001085471, intron 4 of 6)	225893	NM_005197	1112	Hs.434286	NM_005197	ENSG00000053254	FOXN3	C14orf116|CHES1|PRO1635	forkhead box N3	protein-coding
chr6-434	chr6	19538318	19538502	+	4.16	0.600	Intergenic	Intergenic	88358	NR_134615	105374960	Hs.519913	NR_134615		LOC105374960	-	uncharacterized LOC105374960	ncRNA
chr21-363	chr21	21104078	21104262	+	4.16	0.667	Intergenic	AluSz|SINE|Alu	167899	NR_146910	105372746	Hs.580899	NR_146910	ENSG00000233480	LINC01683	C21orf40	long intergenic non-protein coding RNA 1683	ncRNA
chr5-441	chr5	34770037	34770221	+	4.16	0.758	intron (NM_001145525, intron 5 of 19)	AluSz|SINE|Alu	-69140	NM_144725	153657	Hs.435742	NM_144725	ENSG00000205838	TTC23L	MC25-1	tetratricopeptide repeat domain 23 like	protein-coding
chr16-703	chr16	66664918	66665102	+	4.16	0.703	intron (NM_181521, intron 2 of 3)	SVA_D|Other|Other	26376	NR_037619	123920	Hs.298198	NM_144601	ENSG00000140931	CMTM3	BNAS2|CKLFSF3	CKLF like MARVEL transmembrane domain containing 3	protein-coding
chr2-729	chr2	54271157	54271341	+	4.16	0.771	intron (NM_001320587, intron 2 of 5)	intron (NM_001320587, intron 2 of 5)	-71503	NM_001320589	98	Hs.516173	NM_138448	ENSG00000170634	ACYP2	ACYM|ACYP	acylphosphatase 2	protein-coding
chr6-326	chr6	35285672	35285856	+	4.16	0.690	exon (NM_022047, exon 6 of 11)	exon (NM_022047, exon 6 of 11)	20169	NM_022047	50619	Hs.15476	NM_022047	ENSG00000023892	DEF6	IBP|SLAT|SWAP70L	DEF6 guanine nucleotide exchange factor	protein-coding
chr1-1008	chr1	215399884	215400068	+	4.16	0.688	intron (NM_014217, intron 6 of 6)	intron (NM_014217, intron 6 of 6)	143896	NM_014217	3776	Hs.497745	NM_014217	ENSG00000082482	KCNK2	K2p2.1|TPKC1|TREK|TREK-1|TREK1|hTREK-1c|hTREK-1e	potassium two pore domain channel subfamily K member 2	protein-coding
chr6-485	chr6	41300111	41300295	+	4.16	0.588	Intergenic	Intergenic	-3143	NM_004828	9436	Hs.194721	NM_004828	ENSG00000096264	NCR2	CD336|LY95|NK-p44|NKP44|dJ149M18.1	natural cytotoxicity triggering receptor 2	protein-coding
chr6-343	chr6	160559997	160560181	+	4.16	0.657	intron (NM_153187, intron 6 of 9)	intron (NM_153187, intron 6 of 9)	17226	NM_153187	6580	Hs.117367	NM_003057	ENSG00000175003	SLC22A1	HOCT1|OCT1|oct1_cds	solute carrier family 22 member 1	protein-coding
chr5-589	chr5	119967093	119967277	+	4.16	0.714	intron (NM_001308088, intron 3 of 3)	L1PB1|LINE|L1	100026	NM_001308088	51334	Hs.157461	NM_016644	ENSG00000184838	PRR16	DSC54|LARGEN	proline rich 16	protein-coding
chr10-749	chr10	31219145	31219329	+	4.16	0.656	intron (NM_001143771, intron 2 of 7)	LTR12C|LTR|ERV1	69209	NM_001143769	220929	Hs.660642	NM_182755	ENSG00000183621	ZNF438	bA330O11.1	zinc finger protein 438	protein-coding
chr7-717	chr7	106239813	106239997	+	4.16	0.667	Intergenic	LTR33|LTR|ERVL	61699	NM_175884	168455	Hs.29692	NM_175884	ENSG00000253276	CCDC71L	C7orf74	coiled-coil domain containing 71 like	protein-coding
chrUn_gl000211-3	chrUn_gl000211	46017	46201	+	4.16	0.575	Intergenic	GSATII|Satellite|centr	-2394	NR_033856	644316	Hs.632789	NR_033856		FLJ43315	-	asparagine synthetase pseudogene	pseudo
chr8-413	chr8	70957007	70957191	+	4.16	0.676	Intergenic	AluSc5|SINE|Alu	26388	NM_024504	63978	Hs.736037	NM_024504	ENSG00000147596	PRDM14	PFM11	PR/SET domain 14	protein-coding
chr4-703	chr4	99181973	99182157	+	4.16	0.703	promoter-TSS (NM_001100426)	promoter-TSS (NM_001100426)	-470	NM_021159	5910	Hs.132858	NM_021159	ENSG00000138698	RAP1GDS1	GDS1|SmgGDS	Rap1 GTPase-GDP dissociation stimulator 1	protein-coding
chr6-542	chr6	162760195	162760379	+	4.16	0.679	intron (NM_013987, intron 2 of 10)	SVA_F|Other|Other	-387877	NM_152410	135138	Hs.25791	NM_152410	ENSG00000112530	PACRG	GLUP|HAK005771|PACRG2.1|PARK2CRG	parkin coregulated	protein-coding
chr17-716	chr17	30802940	30803124	+	4.16	0.622	intron (NM_002815, intron 8 of 13)	AluSz6|SINE|Alu	-10979	NM_003885	8851	Hs.500015	NM_003885	ENSG00000176749	CDK5R1	CDK5P35|CDK5R|NCK5A|p23|p25|p35|p35nck5a	cyclin dependent kinase 5 regulatory subunit 1	protein-coding
chr7-841	chr7	158724636	158724820	+	4.16	0.742	intron (NM_001350917, intron 22 of 25)	LTR16A|LTR|ERVL	75479	NM_018051	55112	Hs.389945	NM_018051	ENSG00000126870	WDR60	FAP163|SRPS6|SRTD8	WD repeat domain 60	protein-coding
chr14-472	chr14	99309265	99309449	+	4.16	0.606	Intergenic	AluSx3|SINE|Alu	131407	NR_161368	283598	Hs.448754	NM_182560	ENSG00000176605	C14orf177	-	chromosome 14 open reading frame 177	ncRNA
chr5-608	chr5	96143014	96143198	+	4.16	0.676	intron (NM_001198541, intron 1 of 18)	CpG	542	NM_001040458	51752	Hs.666524	NM_016442	ENSG00000164307	ERAP1	A-LAP|ALAP|APPILS|ARTS-1|ARTS1|ERAAP|ERAAP1|PILS-AP|PILSAP	endoplasmic reticulum aminopeptidase 1	protein-coding
chr3-591	chr3	31223249	31223433	+	4.16	0.733	Intergenic	Intergenic	-20062	NR_130459	100423038		NR_130459	ENSG00000265376	MIR466	hsa-mir-466	microRNA 466	ncRNA
chr6-258	chr6	118972139	118972323	+	4.16	0.542	intron (NM_001178035, intron 2 of 13)	CpG	523	NM_001042475	387119	Hs.656959	NM_206921	ENSG00000111860	CEP85L	C6orf204|NY-BR-15|bA57K17.2	centrosomal protein 85 like	protein-coding
chr8-676	chr8	146100735	146100919	+	4.16	0.611	Intergenic	LTR12C|LTR|ERV1	-21886	NM_001081003	28991	Hs.493218	NM_014066	ENSG00000170619	COMMD5	HCARG|HT002	COMM domain containing 5	protein-coding
chr8-329	chr8	110552234	110552418	+	4.16	0.632	promoter-TSS (NM_004215)	promoter-TSS (NM_004215)	-76	NM_004215	9166	Hs.409368	NM_004215	ENSG00000147654	EBAG9	EB9|PDAF	estrogen receptor binding site associated antigen 9	protein-coding
chr18-279	chr18	7075458	7075642	+	4.16	0.656	intron (NM_005559, intron 3 of 62)	AluSp|SINE|Alu	42246	NM_005559	284217	Hs.270364	NM_005559	ENSG00000101680	LAMA1	LAMA|PTBHS|S-LAM-alpha	laminin subunit alpha 1	protein-coding
chr6-378	chr6	56673694	56673878	+	4.16	0.758	intron (NM_001144769, intron 4 of 96)	intron (NM_001144769, intron 4 of 96)	34677	NM_183380	667	Hs.604915	NM_001723	ENSG00000151914	DST	BP240|BPA|BPAG1|CATX-15|CATX15|D6S1101|DMH|DT|EBSB2|HSAN6|MACF2	dystonin	protein-coding
chr4-465	chr4	16085046	16085230	+	4.16	0.561	promoter-TSS (NM_001371407)	promoter-TSS (NM_001371407)	-179	NM_001371407								
chr11-946	chr11	66208140	66208324	+	4.16	0.657	Intergenic	LTR12C|LTR|ERV1	-1913	NM_170739	65003	Hs.418450	NM_016050	ENSG00000174547	MRPL11	CGI-113|L11MT|MRP-L11	mitochondrial ribosomal protein L11	protein-coding
chr20-476	chr20	18118475	18118659	+	4.16	0.694	promoter-TSS (NM_001164811)	promoter-TSS (NM_001164811)	60	NM_001164811	100303755	Hs.488051	NM_001164811	ENSG00000232838	PET117	CSRP2BP	PET117 cytochrome c oxidase chaperone	protein-coding
chr4-803	chr4	39773082	39773266	+	4.16	0.688	intron (NM_001312647, intron 4 of 6)	CpG	73418	NM_001312647	3093	Hs.50308	NM_005339	ENSG00000078140	UBE2K	E2-25K|HIP2|HYPG|LIG|UBC1	ubiquitin conjugating enzyme E2 K	protein-coding
chr18-300	chr18	3498840	3499024	+	4.16	0.657	3' UTR (NM_001003809, exon 10 of 10)	3' UTR (NM_001003809, exon 10 of 10)	32684	NR_110428	100505592	Hs.635114	NR_110428	ENSG00000266835	GAPLINC	LINC01540	gastric adenocarcinoma associated, positive CD44 regulator, long intergenic non-coding RNA	ncRNA
chr8-358	chr8	49889008	49889192	+	4.16	0.703	Intergenic	Intergenic	-55112	NM_003068	6591	Hs.360174	NM_003068	ENSG00000019549	SNAI2	SLUG|SLUGH|SLUGH1|SNAIL2|WS2D	snail family transcriptional repressor 2	protein-coding
chr6-468	chr6	160941303	160941487	+	4.16	0.727	Intergenic	LTR12E|LTR|ERV1	-9239	NR_028093	80350	Hs.654503	NM_024492	ENSG00000213071	LPAL2	APOA2|APOAL|APOARGC|apo(a)rg-C	lipoprotein(a) like 2, pseudogene	pseudo
chr7-735	chr7	3851216	3851400	+	4.16	0.710	intron (NM_152744, intron 4 of 44)	intron (NM_152744, intron 4 of 44)	-318009	NM_001079653	221935	Hs.653013	NM_152744	ENSG00000146555	SDK1	-	sidekick cell adhesion molecule 1	protein-coding
chr18-149	chr18	14460235	14460419	+	4.16	0.676	Intergenic	Intergenic	38378	NR_024076	440224	Hs.721675	NR_024076	ENSG00000265766	CXADRP3	-	CXADR pseudogene 3	pseudo
chr1-1129	chr1	118301421	118301605	+	4.16	0.722	Intergenic	Intergenic	152843	NM_017709	54855	Hs.356216	NM_017709	ENSG00000183508	TENT5C	FAM46C	terminal nucleotidyltransferase 5C	protein-coding
chr3-219	chr3	141516103	141516287	+	4.16	0.697	intron (NM_139209, intron 2 of 3)	CpG	19152	NM_139209	131890	Hs.680654	NM_139209	ENSG00000114124	GRK7	GPRK7	G protein-coupled receptor kinase 7	protein-coding
chrX-24	chrX	118622129	118622313	+	4.16	0.758	Intergenic	LTR12C|LTR|ERV1	-19138	NR_028443	100303728	Hs.714405	NR_028443	ENSG00000224281	SLC25A5-AS1	-	SLC25A5 antisense RNA 1	ncRNA
chr5-476	chr5	4637539	4637723	+	4.16	0.833	Intergenic	Intergenic	-135963	NR_104619	101929153	Hs.385526	NR_104619	ENSG00000249521	LINC02114	-	long intergenic non-protein coding RNA 2114	ncRNA
chr6-457	chr6	162975614	162975798	+	4.16	0.649	intron (NM_013987, intron 1 of 10)	intron (NM_013987, intron 1 of 10)	-172458	NM_152410	135138	Hs.25791	NM_152410	ENSG00000112530	PACRG	GLUP|HAK005771|PACRG2.1|PARK2CRG	parkin coregulated	protein-coding
chr1-981	chr1	47069963	47070147	+	4.16	0.818	promoter-TSS (NM_003684)	promoter-TSS (NM_003684)	-115	NR_024174	8569	Hs.371594	NM_003684	ENSG00000079277	MKNK1	MNK1	MAPK interacting serine/threonine kinase 1	protein-coding
chr2-1244	chr2	99758249	99758433	+	4.16	0.625	promoter-TSS (NM_001349012)	promoter-TSS (NM_001349012)	-175	NM_001349014	80705	Hs.120267	NM_025244	ENSG00000135951	TSGA10	CEP4L|CT79|SPGF26	testis specific 10	protein-coding
chr6-288	chr6	74231480	74231664	+	4.16	0.667	promoter-TSS (NM_001402)	promoter-TSS (NM_001402)	-817	NM_001402	1915	Hs.535192	NM_001402	ENSG00000156508	EEF1A1	CCS-3|CCS3|EE1A1|EEF-1|EEF1A|EF-Tu|EF1A|GRAF-1EF|HNGC:16303|LENG7|PTI1|eEF1A-1	eukaryotic translation elongation factor 1 alpha 1	protein-coding
chr15-331	chr15	29600637	29600821	+	4.16	0.657	intron (NM_015307, intron 2 of 10)	intron (NM_015307, intron 2 of 10)	-38703	NM_138704	56160	Hs.94011	NM_138704	ENSG00000185115	NSMCE3	HCA4|LICS|MAGEG1|MAGEL3|NDNL2|NSE3	NSE3 homolog, SMC5-SMC6 complex component	protein-coding
chr2-689	chr2	45014867	45015051	+	4.16	0.735	Intergenic	L2a|LINE|L2	151068	NR_147194	107985879	Hs.436392	NR_147194	ENSG00000259439	LINC01833	K21.1|RP11-89	long intergenic non-protein coding RNA 1833	ncRNA
chr6-440	chr6	153155734	153155918	+	4.16	0.605	Intergenic	LTR12C|LTR|ERV1	83894	NM_003381	7432	Hs.53973	NM_003381	ENSG00000146469	VIP	PHM27	vasoactive intestinal peptide	protein-coding
chr18-176	chr18	11344134	11344318	+	4.16	0.575	Intergenic	SVA_B|Other|Other	-110251	NR_146901	105371994	Hs.640568	NR_146901	ENSG00000267425	LINC01928	-	long intergenic non-protein coding RNA 1928	ncRNA
chr10-869	chr10	126793613	126793797	+	4.16	0.657	intron (NM_001321013, intron 1 of 9)	intron (NM_001321013, intron 1 of 9)	53641	NM_001321013	1488	Hs.501345	NM_001329	ENSG00000175029	CTBP2	-	C-terminal binding protein 2	protein-coding
chr1-1189	chr1	38209992	38210176	+	4.16	0.657	intron (NM_001099439, intron 5 of 16)	AluSx3|SINE|Alu	20708	NM_001099439	284656	Hs.129435	NM_173641	ENSG00000183317	EPHA10	-	EPH receptor A10	protein-coding
chr10-699	chr10	50233462	50233646	+	4.16	0.622	intron (NM_001031746, intron 7 of 7)	intron (NM_001031746, intron 7 of 7)	-39922	NR_036182	100422895		NR_036182	ENSG00000264800	MIR4294	-	microRNA 4294	ncRNA
chr12-249	chr12	39689939	39690123	+	4.16	0.703	intron (NM_001173465, intron 33 of 33)	AluY|SINE|Alu	146891	NM_001173463	55605	Hs.374201	NM_017641	ENSG00000139116	KIF21A	CFEOM1|FEOM1|FEOM3A	kinesin family member 21A	protein-coding
chr21-372	chr21	34481928	34482112	+	4.16	0.694	Intergenic	Intergenic	13986	NR_109961	101928107	Hs.382669	NR_109961	ENSG00000226527	LOC101928107	-	uncharacterized LOC101928107	ncRNA
chr1-1483	chr1	1671740	1671924	+	4.16	0.694	intron (NM_182838, intron 1 of 5)	AluY|SINE|Alu	5606	NM_001199787	9906	Hs.655255	NM_182838	ENSG00000215790	SLC35E2A	SLC35E2	solute carrier family 35 member E2A	protein-coding
chr12-438	chr12	83029018	83029202	+	4.16	0.615	Intergenic	L1PA4|LINE|L1	-51575	NM_152588	160335	Hs.577775	NM_152588	ENSG00000179104	TMTC2	IBDBP1	transmembrane O-mannosyltransferase targeting cadherins 2	protein-coding
chr19-1370	chr19	52992236	52992420	+	4.16	0.706	intron (NM_001366182, intron 3 of 5)	AluSz|SINE|Alu	35522	NM_001099694	147660	Hs.157287	NM_152472	ENSG00000258405	ZNF578	-	zinc finger protein 578	protein-coding
chr11-664	chr11	87065567	87065751	+	4.16	0.625	Intergenic	AluSz|SINE|Alu	316683	NR_033149	65084	Hs.188591	NM_022918	ENSG00000166575	TMEM135	PMP52	transmembrane protein 135	protein-coding
chr3-541	chr3	11554945	11555129	+	4.16	0.611	intron (NM_001349238, intron 17 of 17)	LTR12C|LTR|ERV1	55235	NM_001128221	9686	Hs.740389	NM_014667	ENSG00000144560	VGLL4	VGL-4	vestigial like family member 4	protein-coding
chr6-336	chr6	66497782	66497966	+	4.16	0.684	non-coding (NR_026540, exon 1 of 1)	non-coding (NR_026540, exon 1 of 1)	102	NR_026540	442229	Hs.390414	NR_026540		SLC25A51P1	MCART3P|bA707M13.1	SLC25A51 pseudogene 1	pseudo
chr13-167	chr13	66127557	66127741	+	4.16	0.706	Intergenic	L1PA13|LINE|L1	-312530	NR_132362	105370242	Hs.578051	NR_132362		LINC01052	-	long intergenic non-protein coding RNA 1052	ncRNA
chr8-463	chr8	124690035	124690219	+	4.16	0.758	Intergenic	Intergenic	-24086	NM_001081675	340359	Hs.450252	NM_001081675	ENSG00000175946	KLHL38	C8ORFK36	kelch like family member 38	protein-coding
chr8-403	chr8	146100230	146100414	+	4.16	0.781	Intergenic	Intergenic	-21381	NM_001081003	28991	Hs.493218	NM_014066	ENSG00000170619	COMMD5	HCARG|HT002	COMM domain containing 5	protein-coding
chr14-342	chr14	96180472	96180656	+	4.16	0.667	promoter-TSS (NM_021966)	promoter-TSS (NM_021966)	-102	NR_049726	8115	Hs.2484	NM_021966	ENSG00000100721	TCL1A	TCL1	T cell leukemia/lymphoma 1A	protein-coding
chr1-1252	chr1	95120648	95120832	+	4.16	0.676	intron (NR_160780, intron 3 of 5)	intron (NR_160780, intron 3 of 5)	90716	NR_039620	100616321		NR_039620	ENSG00000263526	MIR378G	-	microRNA 378g	ncRNA
chr21-347	chr21	46591170	46591354	+	4.16	0.676	intron (NM_001346687, intron 1 of 11)	intron (NM_001346687, intron 1 of 11)	18817	NM_001346687	104	Hs.474018	NM_001112	ENSG00000197381	ADARB1	ADAR2|DRABA2|DRADA2|RED1	adenosine deaminase RNA specific B1	protein-coding
chr2-594	chr2	76366577	76366761	+	4.16	0.619	Intergenic	L1PA7|LINE|L1	-428628	NM_003203	6936	Hs.303808	NM_003203	ENSG00000005436	GCFC2	C2orf3|DNABF|GCF|TCF9	GC-rich sequence DNA-binding factor 2	protein-coding
chr17-750	chr17	3592635	3592819	+	4.16	0.724	intron (NM_175080, intron 6 of 10)	intron (NM_175080, intron 6 of 10)	6722	NM_001204520	5026	Hs.731607	NM_002561	ENSG00000083454	P2RX5	LRH-1|P2X5|P2X5R	purinergic receptor P2X 5	protein-coding
chr1-1356	chr1	224540344	224540528	+	4.16	0.622	Intergenic	LTR12C|LTR|ERV1	-4145	NM_014184	29097	Hs.445890	NM_014184	ENSG00000143771	CNIH4	CNIH-4|CNIH2|HSPC163	cornichon family AMPA receptor auxiliary protein 4	protein-coding
chr4-515	chr4	140374992	140375176	+	4.16	0.688	promoter-TSS (NM_031296)	promoter-TSS (NM_031296)	111	NR_159964	107984036	Hs.605782	NR_159963		LOC107984036	-	uncharacterized LOC107984036	ncRNA
chr9-694	chr9	141069844	141070028	+	4.16	0.727	intron (NR_027156, intron 3 of 4)	CpG-27510	23967	NR_135133	101928932	Hs.586416	NR_135133	ENSG00000237419	LOC101928932	-	uncharacterized LOC101928932	ncRNA
chr14-545	chr14	34026996	34027180	+	4.16	0.679	intron (NM_173159, intron 4 of 11)	AluY|SINE|Alu	-151055	NR_132771	106635522		NR_132771		SNORA89	-	small nucleolar RNA, H/ACA box 89	snoRNA
chr2-942	chr2	128966727	128966911	+	4.16	0.658	Intergenic	SVA_F|Other|Other	109623	NM_004807	9394	Hs.512841	NM_004807	ENSG00000136720	HS6ST1	HH15|HS6ST	heparan sulfate 6-O-sulfotransferase 1	protein-coding
chr1-977	chr1	181870915	181871099	+	4.16	0.750	Intergenic	AluJb|SINE|Alu	159840	NM_001009992	127665	Hs.684328	NM_001009992	ENSG00000179930	ZNF648	-	zinc finger protein 648	protein-coding
chr20-586	chr20	54404299	54404483	+	4.16	0.742	Intergenic	AluSx1|SINE|Alu	176184	NM_080617	140689	Hs.126141	NM_080617	ENSG00000054803	CBLN4	CBLNL1	cerebellin 4 precursor	protein-coding
