PeakID (cmd=annotatePeaks.pl NEUROG3_peak0107_HIOE.filtered.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1-3251	chr16	4983988	4984401	+	0	NA	intron (NM_002705, intron 1 of 21)	intron (NM_002705, intron 1 of 21)	2955	NM_002705	5493	Hs.192233	NM_002705	ENSG00000118898	PPL	-	periplakin	protein-coding
1-1185	chr4	57653184	57653597	+	0	NA	Intergenic	Intergenic	34249	NR_073419	6691	Hs.98243	NM_021114	ENSG00000128040	SPINK2	HUSI-II|SPGF29	serine peptidase inhibitor, Kazal type 2	protein-coding
1-4704	chr8	41467678	41468091	+	0	NA	intron (NM_178819, intron 4 of 12)	intron (NM_178819, intron 4 of 12)	31849	NM_001363197	137964	Hs.355753	NM_178819	ENSG00000158669	GPAT4	1-AGPAT 6|AGPAT6|LPAAT-zeta|LPAATZ|TSARG7	glycerol-3-phosphate acyltransferase 4	protein-coding
1-2816	chr1	230889621	230890034	+	0	NA	intron (NM_001319676, intron 1 of 17)	intron (NM_001319676, intron 1 of 17)	6693	NM_006615	10753	Hs.498021	NM_006615	ENSG00000135773	CAPN9	GC36|nCL-4	calpain 9	protein-coding
1-3216	chr12	91135317	91135730	+	0	NA	Intergenic	Intergenic	-176277	NR_038868	439916	Hs.350600	NM_001039384	ENSG00000196243	LINC00615	C12orf37	long intergenic non-protein coding RNA 615	ncRNA
1-7726	chr4	80153652	80154065	+	0	NA	intron (NR_038342, intron 4 of 5)	intron (NR_038342, intron 4 of 5)	93357	NM_032693	84779	Hs.676048	NM_032693	ENSG00000156269	NAA11	ARD1B|ARD2|hARD2	N(alpha)-acetyltransferase 11, NatA catalytic subunit	protein-coding
1-3049	chr1	24701821	24702234	+	0	NA	intron (NM_001199013, intron 5 of 8)	intron (NM_001199013, intron 5 of 8)	-37950	NM_001322854	57185	Hs.523442	NM_020448	ENSG00000001461	NIPAL3	DJ462O23.2|NPAL3	NIPA like domain containing 3	protein-coding
1-1358	chr1	2139784	2140197	+	0	NA	promoter-TSS (NM_001146310)	promoter-TSS (NM_001146310)	-818	NM_001146310	199990	Hs.107101	NM_182533	ENSG00000162585	FAAP20	C1orf86|FP7162	FA core complex associated protein 20	protein-coding
1-7340	chr6	83902898	83903311	+	0	NA	promoter-TSS (NM_001199918)	promoter-TSS (NM_001199918)	28	NM_033411	112611	Hs.423336	NM_033411	ENSG00000013392	RWDD2A	RWDD2|dJ747H23.2	RWD domain containing 2A	protein-coding
1-7514	chr12	69356870	69357283	+	0	NA	promoter-TSS (NM_001874)	promoter-TSS (NM_001874)	-56	NM_001874	1368	Hs.654387	NM_001874	ENSG00000135678	CPM	-	carboxypeptidase M	protein-coding
1-6247	chr6	3140404	3140817	+	0	NA	intron (NR_026649, intron 6 of 7)	CpG	17168	NM_001069	7280	Hs.654543	NM_001069	ENSG00000137267	TUBB2A	CDCBM5|TUBB|TUBB2	tubulin beta 2A class IIa	protein-coding
1-1734	chr9	102614902	102615315	+	0	NA	intron (NM_173200, intron 8 of 8)	intron (NM_173200, intron 8 of 8)	30941	NM_006981	8013	Hs.279522	NM_006981	ENSG00000119508	NR4A3	CHN|CSMF|MINOR|NOR1|TEC	nuclear receptor subfamily 4 group A member 3	protein-coding
1-7440	chr9	138330554	138330967	+	0	NA	Intergenic	HERVE-int|LTR|ERV1	33335	NR_038969	100506599	Hs.561897	NR_038969	ENSG00000225361	PPP1R26-AS1	-	PPP1R26 antisense RNA 1	ncRNA
1-3456	chr8	28208677	28209090	+	0	NA	intron (NM_018660, intron 7 of 9)	intron (NM_018660, intron 7 of 9)	12719	NM_001284244	5368	Hs.88218	NM_006228	ENSG00000168081	PNOC	N/OFQ|NOP|OFQ|PPNOC|ppN/OFQ	prepronociceptin	protein-coding
1-2295	chr16	48657475	48657888	+	0	NA	Intergenic	Intergenic	-13590	NM_153029	9683	Hs.511839	NM_153029	ENSG00000102921	N4BP1	-	NEDD4 binding protein 1	protein-coding
1-121	chr8	10916811	10917224	+	0	NA	intron (NM_173683, intron 1 of 2)	CpG	7582	NR_134308	101929269	Hs.680442	NR_134308	ENSG00000254839	LOC101929269	-	uncharacterized LOC101929269	ncRNA
1-4445	chr19	11529156	11529569	+	0	NA	exon (NM_001161616, exon 2 of 19)	exon (NM_001161616, exon 2 of 19)	628	NM_001035223	57139	Hs.375142	NM_001035223	ENSG00000205517	RGL3	-	ral guanine nucleotide dissociation stimulator like 3	protein-coding
1-2969	chr15	78295922	78296335	+	0	NA	intron (NM_015079, intron 10 of 12)	intron (NM_015079, intron 10 of 12)	-9561	NR_026998	91450	Hs.406766	NR_026998		LOC91450	-	uncharacterized LOC91450	ncRNA
1-7774	chr11	16884027	16884440	+	0	NA	intron (NM_175058, intron 4 of 22)	intron (NM_175058, intron 4 of 22)	63336	NR_145810	109623465		NR_145810		SNORD147	-	small nucleolar RNA, C/D box 147	snoRNA
1-3554	chr15	59663880	59664293	+	0	NA	intron (NM_004998, intron 1 of 27)	CpG	984	NM_004998	4643	Hs.654506	NM_004998	ENSG00000157483	MYO1E	FSGS6|HuncM-IC|MYO1C	myosin IE	protein-coding
1-3178	chr10	90639864	90640277	+	0	NA	promoter-TSS (NM_020799)	promoter-TSS (NM_020799)	68	NM_020799	57559	Hs.16229	NM_020799	ENSG00000138134	STAMBPL1	ALMalpha|AMSH-FP|AMSH-LP|bA399O19.2	STAM binding protein like 1	protein-coding
1-7134	chr1	116453849	116454262	+	0	NA	Intergenic	Intergenic	-7942	NR_125969	101928995	Hs.559119	NR_125969	ENSG00000228127	LINC01649	-	long intergenic non-protein coding RNA 1649	ncRNA
1-5310	chr11	121526249	121526662	+	0	NA	Intergenic	Intergenic	203432	NM_003105	6653	Hs.368592	NM_003105	ENSG00000137642	SORL1	C11orf32|LR11|LRP9|SORLA|SorLA-1|gp250	sortilin related receptor 1	protein-coding
1-6488	chr13	80351612	80352025	+	0	NA	Intergenic	Intergenic	-26703	NR_125785	102724076	Hs.208617	NR_125785	ENSG00000229011	LINC01038	-	long intergenic non-protein coding RNA 1038	ncRNA
1-5313	chr12	12486295	12486708	+	0	NA	intron (NM_018050, intron 3 of 3)	intron (NM_018050, intron 3 of 3)	16675	NM_018050	54682	Hs.591145	NM_018050	ENSG00000111261	MANSC1	9130403P13Rik|LOH12CR3	MANSC domain containing 1	protein-coding
1-5864	chr13	28431545	28431958	+	0	NA	intron (NR_047484, intron 1 of 4)	intron (NR_047484, intron 1 of 4)	59677	NR_047484	100861550	Hs.416201	NR_047484		PLUT	HI-LNC71|PDX1-AS1|PLUTO	PDX1 associated lncRNA, upregulator of transcription	ncRNA
1-2616	chr5	115177722	115178135	+	0	NA	promoter-TSS (NR_033362)	promoter-TSS (NR_033362)	-256	NR_157087	1176	Hs.406191	NM_001284	ENSG00000177879	AP3S1	CLAPS3|Sigma3A	adaptor related protein complex 3 subunit sigma 1	protein-coding
1-2996	chr18	19765643	19766056	+	0	NA	intron (NM_005257, intron 6 of 6)	intron (NM_005257, intron 6 of 6)	16451	NM_005257	2627	Hs.514746	NM_005257	ENSG00000141448	GATA6	-	GATA binding protein 6	protein-coding
1-1723	chr7	73157230	73157643	+	0	NA	Intergenic	Intergenic	-4239	NM_148912	83451	Hs.647045	NM_148912	ENSG00000106077	ABHD11	PP1226|WBSCR21	abhydrolase domain containing 11	protein-coding
1-6355	chr9	116231370	116231783	+	0	NA	intron (NM_001282923, intron 1 of 22)	intron (NM_001282923, intron 1 of 22)	5569	NM_001282923	5998	Hs.494875	NM_017790	ENSG00000138835	RGS3	C2PA|RGP3	regulator of G protein signaling 3	protein-coding
1-5690	chr6	3884213	3884626	+	0	NA	Intergenic	Intergenic	34812	NM_012135	26240	Hs.140944	NM_012135	ENSG00000145945	FAM50B	D6S2654E|X5L	family with sequence similarity 50 member B	protein-coding
1-3857	chr11	355916	356329	+	0	NA	Intergenic	CpG	-13377	NM_178537	338707	Hs.148074	NM_178537	ENSG00000182272	B4GALNT4	-	beta-1,4-N-acetyl-galactosaminyltransferase 4	protein-coding
1-2039	chr7	112579719	112580132	+	0	NA	promoter-TSS (NM_152556)	promoter-TSS (NM_152556)	5	NM_152556	154743	Hs.489734	NM_152556	ENSG00000164603	BMT2	C7orf60|SAMTOR	base methyltransferase of 25S rRNA 2 homolog	protein-coding
1-1304	chr8	42334302	42334715	+	0	NA	intron (NM_006749, intron 1 of 10)	intron (NM_006749, intron 1 of 10)	24241	NM_001257180	6575	Hs.653173	NM_006749	ENSG00000168575	SLC20A2	GLVR-2|GLVR2|IBGC1|IBGC3|MLVAR|PIT-2|PIT2|RAM1|Ram-1	solute carrier family 20 member 2	protein-coding
1-469	chr8	53315115	53315528	+	0	NA	TTS (NM_001352879)	TTS (NM_001352879)	6995	NM_001352884	9705	Hs.655499	NM_014682	ENSG00000147488	ST18	NZF-3|NZF3|ZC2H2C3|ZC2HC10|ZNF387	ST18 C2H2C-type zinc finger transcription factor	protein-coding
1-7845	chr5	89769781	89770194	+	0	NA	promoter-TSS (NM_006467)	promoter-TSS (NM_006467)	241	NM_001370354	10622	Hs.282387	NM_006467	ENSG00000113356	POLR3G	RPC32|RPC7	RNA polymerase III subunit G	protein-coding
1-1493	chr3	196393012	196393425	+	0	NA	Intergenic	LTR33|LTR|ERVL	26653	NM_198565	375387	Hs.702186	NM_198565	ENSG00000174004	NRROS	ELLP3030|GARPL1|LRRC33|UNQ3030	negative regulator of reactive oxygen species	protein-coding
1-7409	chr8	134460806	134461219	+	0	NA	Intergenic	Intergenic	123118	NM_173344	6482	Hs.374257	NM_003033	ENSG00000008513	ST3GAL1	Gal-NAc6S|SIAT4A|SIATFL|ST3GalA|ST3GalA.1|ST3GalIA|ST3GalIA,1|ST3O	ST3 beta-galactoside alpha-2,3-sialyltransferase 1	protein-coding
1-7123	chr1	77747704	77748117	+	0	NA	promoter-TSS (NM_012093)	promoter-TSS (NM_012093)	206	NM_174858	26289	Hs.559718	NM_012093	ENSG00000154027	AK5	AK6	adenylate kinase 5	protein-coding
1-2903	chr8	144512849	144513262	+	0	NA	promoter-TSS (NM_201589)	promoter-TSS (NM_201589)	-153	NM_201589	389692		NM_201589	ENSG00000182759	MAFA	INSDM|RIPE3b1|hMafA	MAF bZIP transcription factor A	protein-coding
1-2309	chr17	55952690	55953103	+	0	NA	intron (NM_001292025, intron 3 of 10)	intron (NM_001292025, intron 3 of 10)	-25491	NM_016070	51649	Hs.5836	NM_016070	ENSG00000181610	MRPS23	CGI-138|HSPC329|MRP-S23	mitochondrial ribosomal protein S23	protein-coding
1-6774	chr4	4020926	4021339	+	0	NA	Intergenic	L1PA4|LINE|L1	-63977	NR_130740	348926	Hs.591720	NR_024253	ENSG00000251669	FAM86EP	-	family with sequence similarity 86, member A pseudogene	pseudo
1-2412	chr6	130692666	130693079	+	0	NA	intron (NM_001258276, intron 1 of 1)	intron (NM_001258276, intron 1 of 1)	5446	NM_001258277	114801	Hs.591341	NM_052913	ENSG00000164484	TMEM200A	KIAA1913|TTMA|TTMC	transmembrane protein 200A	protein-coding
1-994	chr10	47045065	47045478	+	0	NA	Intergenic	L2c|LINE|L2	-36549	NM_001278795	100996758	Hs.524719	NM_001278795	ENSG00000264717	NPY4R2	CH17-360D5.1|NPY4-R|NPY4R|PP1|PPYR1	neuropeptide Y receptor Y4-2	protein-coding
1-2174	chr1	201449387	201449800	+	0	NA	Intergenic	L3|LINE|CR1	-11277	NM_012396	23612	Hs.153944	NM_012396	ENSG00000174307	PHLDA3	TIH1	pleckstrin homology like domain family A member 3	protein-coding
1-6499	chr14	51296856	51297269	+	0	NA	intron (NM_182944, intron 2 of 29)	CpG	777	NM_016350	51199	Hs.310429	NM_016350	ENSG00000100503	NIN	SCKL7	ninein	protein-coding
1-2831	chr2	121796362	121796775	+	0	NA	Intergenic	Intergenic	246210	NM_014553	29842	Hs.156471	NM_014553	ENSG00000115112	TFCP2L1	CRTR1|LBP-9|LBP9	transcription factor CP2 like 1	protein-coding
1-3209	chr12	50677037	50677450	+	0	NA	promoter-TSS (NM_016357)	promoter-TSS (NM_016357)	60	NM_001113546	51474	Hs.525419	NM_016357	ENSG00000050405	LIMA1	EPLIN|LDLCQ8|SREBP3	LIM domain and actin binding 1	protein-coding
1-3487	chr10	125187978	125188391	+	0	NA	Intergenic	Intergenic	-237687	NM_153442	2849	Hs.12751	NM_153442	ENSG00000154478	GPR26	-	G protein-coupled receptor 26	protein-coding
1-4124	chr2	218852883	218853296	+	0	NA	intron (NR_135524, intron 3 of 3)	intron (NR_135524, intron 3 of 3)	9659	NR_135524	105373878	Hs.630709	NR_135524	ENSG00000223923	LOC105373878	-	uncharacterized LOC105373878	ncRNA
1-6388	chr10	73527004	73527417	+	0	NA	intron (NM_022153, intron 1 of 6)	intron (NM_022153, intron 1 of 6)	6067	NM_022153	64115	Hs.47382	NM_022153	ENSG00000107738	VSIR	B7-H5|B7H5|C10orf54|DD1alpha|Dies1|GI24|PD-1H|PP2135|SISP1|VISTA	V-set immunoregulatory receptor	protein-coding
1-3356	chr2	30369146	30369559	+	0	NA	promoter-TSS (NM_016061)	promoter-TSS (NM_016061)	-521	NM_001127399	51646	Hs.515890	NM_016061	ENSG00000119801	YPEL5	CGI-127	yippee like 5	protein-coding
1-6989	chr15	53841940	53842353	+	0	NA	intron (NM_182758, intron 18 of 19)	intron (NM_182758, intron 18 of 19)	-8846	NR_102335	256764	Hs.122125	NM_182758	ENSG00000166415	WDR72	AI2A3	WD repeat domain 72	protein-coding
1-5856	chr12	109702006	109702419	+	0	NA	intron (NM_001093, intron 50 of 52)	intron (NM_001093, intron 50 of 52)	44877	NM_213596	121643	Hs.528316	NM_213596	ENSG00000139445	FOXN4	-	forkhead box N4	protein-coding
1-6783	chr4	87374905	87375318	+	0	NA	promoter-TSS (NM_002753)	promoter-TSS (NM_002753)	-763	NM_002753	5602	Hs.13438	NM_002753	ENSG00000109339	MAPK10	JNK3|JNK3A|PRKM10|SAPK1b|p493F12|p54bSAPK	mitogen-activated protein kinase 10	protein-coding
1-1259	chr20	362520	362933	+	0	NA	intron (NM_001301196, intron 1 of 3)	CpG	739	NM_001301193	57761	Hs.516826	NM_021158	ENSG00000101255	TRIB3	C20orf97|NIPK|SINK|SKIP3|TRB3	tribbles pseudokinase 3	protein-coding
1-6150	chr3	20082693	20083106	+	0	NA	intron (NM_003884, intron 1 of 17)	intron (NM_003884, intron 1 of 17)	961	NM_003884	8850	Hs.533055	NM_003884	ENSG00000114166	KAT2B	CAF|P/CAF|PCAF	lysine acetyltransferase 2B	protein-coding
1-7554	chr14	102946015	102946428	+	0	NA	intron (NM_014844, intron 17 of 19)	intron (NM_014844, intron 17 of 19)	29892	NM_152326	122416	Hs.432945	NM_152326	ENSG00000156381	ANKRD9	-	ankyrin repeat domain 9	protein-coding
1-6394	chr10	95572314	95572727	+	0	NA	Intergenic	Intergenic	54827	NM_005097	9211	Hs.533670	NM_005097	ENSG00000108231	LGI1	ADLTE|ADPAEF|ADPEAF|EPITEMPIN|EPT|ETL1|IB1099	leucine rich glioma inactivated 1	protein-coding
1-6496	chr14	32461392	32461805	+	0	NA	Intergenic	Intergenic	47539	NR_146544	105370439		NR_146544	ENSG00000258474	LINC02313	-	long intergenic non-protein coding RNA 2313	ncRNA
1-6471	chr12	109124117	109124530	+	0	NA	intron (NM_014325, intron 1 of 10)	CpG	296	NM_001276471	23603	Hs.330384	NM_014325	ENSG00000110880	CORO1C	HCRNN4	coronin 1C	protein-coding
1-1313	chr10	102757796	102758209	+	0	NA	promoter-TSS (NM_001318099)	promoter-TSS (NM_001318099)	-34	NM_001318099	84445	Hs.523221	NM_032429	ENSG00000107816	LZTS2	LAPSER1	leucine zipper tumor suppressor 2	protein-coding
1-667	chr1	230340380	230340793	+	0	NA	intron (NM_004481, intron 3 of 15)	intron (NM_004481, intron 3 of 15)	137601	NM_004481	2590	Hs.743964	NM_004481	ENSG00000143641	GALNT2	GalNAc-T2	polypeptide N-acetylgalactosaminyltransferase 2	protein-coding
1-7187	chr2	183903410	183903823	+	0	NA	promoter-TSS (NM_013436)	promoter-TSS (NM_013436)	-431	NM_013436	10787	Hs.603732	NM_013436	ENSG00000061676	NCKAP1	HEM2|NAP1|NAP125|p125Nap1	NCK associated protein 1	protein-coding
1-7737	chr5	141800176	141800589	+	0	NA	intron (NR_120664, intron 3 of 3)	intron (NR_120664, intron 3 of 3)	95524	NR_120664	101926941	Hs.658945	NR_120664	ENSG00000231185	SPRY4-AS1	THCAT68	SPRY4 antisense RNA 1	ncRNA
1-358	chr2	161098313	161098726	+	0	NA	Intergenic	Intergenic	29887	NR_103775	100505984	Hs.729532	NR_103775	ENSG00000285373	LINC02478	-	long intergenic non-protein coding RNA 2478	ncRNA
1-3942	chr16	16041417	16041830	+	0	NA	Intergenic	L2a|LINE|L2	-1850	NM_004996	4363	Hs.391464	NM_004996	ENSG00000103222	ABCC1	ABC29|ABCC|GS-X|MRP|MRP1	ATP binding cassette subfamily C member 1	protein-coding
1-5294	chr11	41806457	41806870	+	0	NA	intron (NR_120584, intron 2 of 5)	MER21C|LTR|ERVL	70545	NR_120584	102723644	Hs.564283	NR_120584	ENSG00000255171	LINC01499	-	long intergenic non-protein coding RNA 1499	ncRNA
1-321	chr2	26829707	26830120	+	0	NA	intron (NM_001029881, intron 3 of 6)	intron (NM_001029881, intron 3 of 6)	34321	NM_001029881	130106	Hs.591579	NM_001029881	ENSG00000157884	CIB4	KIP4	calcium and integrin binding family member 4	protein-coding
1-6024	chr1	2383594	2384007	+	0	NA	Intergenic	Intergenic	-15090	NM_001303012	9651	Hs.170156	NM_014638	ENSG00000149527	PLCH2	PLC-L4|PLC-eta2|PLCL4|PLCeta2	phospholipase C eta 2	protein-coding
1-5851	chr12	78139876	78140289	+	0	NA	Intergenic	MER58B|DNA|hAT-Charlie	-84592	NM_014903	89795	Hs.655301	NM_014903	ENSG00000067798	NAV3	POMFIL1|STEERIN3|unc53H3	neuron navigator 3	protein-coding
1-5584	chr2	17935607	17936020	+	0	NA	promoter-TSS (NM_001142286)	promoter-TSS (NM_001142286)	408	NM_001130009	348654	Hs.467793	NM_182625	ENSG00000178295	GEN1	Gen	GEN1 Holliday junction 5' flap endonuclease	protein-coding
1-7676	chr22	25046570	25046983	+	0	NA	intron (NR_024593, intron 2 of 5)	intron (NR_024593, intron 2 of 5)	8338	NR_024593	646074	Hs.531306	NM_001025230		POM121L10P	-	POM121 transmembrane nucleoporin like 10, pseudogene	pseudo
1-3927	chr15	56537041	56537454	+	0	NA	promoter-TSS (NM_001370561)	promoter-TSS (NM_001370561)	33	NM_001370561	64864	Hs.745089	NM_022841	ENSG00000181827	RFX7	RFXDC2	regulatory factor X7	protein-coding
1-4685	chr7	99751597	99752010	+	0	NA	TTS (NR_134526)	TTS (NR_134526)	2489	NR_039802	100616439		NR_039802	ENSG00000284518	MIR4658	-	microRNA 4658	ncRNA
1-5279	chr10	123778610	123779023	+	0	NA	intron (NM_206861, intron 1 of 19)	intron (NM_206861, intron 1 of 19)	30138	NM_001291877	10579	Hs.501252	NM_006997	ENSG00000138162	TACC2	AZU-1|ECTACC	transforming acidic coiled-coil containing protein 2	protein-coding
1-6591	chr17	74258761	74259174	+	0	NA	Intergenic	Intergenic	-2462	NM_182565	283991	Hs.744981	NM_182565	ENSG00000185262	UBALD2	FAM100B	UBA like domain containing 2	protein-coding
1-2720	chr15	70636934	70637347	+	0	NA	Intergenic	Intergenic	161127	NR_146562	105370880		NR_146562	ENSG00000259473	LINC02205	-	long intergenic non-protein coding RNA 2205	ncRNA
1-3769	chr5	172331997	172332410	+	0	NA	intron (NM_001031711, intron 3 of 9)	intron (NM_001031711, intron 3 of 9)	-9883	NR_162113	113218510		NR_162113		MIR10523	-	microRNA 10523	ncRNA
1-4612	chr4	103273883	103274296	+	0	NA	Intergenic	Intergenic	-7450	NM_001135146	64116	Hs.288034	NM_022154	ENSG00000138821	SLC39A8	BIGM103|CDG2N|LZT-Hs6|PP3105|ZIP8	solute carrier family 39 member 8	protein-coding
1-5925	chr16	81974831	81975244	+	0	NA	intron (NM_002661, intron 30 of 32)	MER5A|DNA|hAT-Charlie	70038	NM_145168	93517	Hs.87779	NM_145168	ENSG00000184860	SDR42E1	HSPC105	short chain dehydrogenase/reductase family 42E, member 1	protein-coding
1-7285	chr4	152225910	152226323	+	0	NA	Intergenic	(CAAAA)n|Simple_repeat|Simple_repeat	27791	NM_001353611	345062	Hs.651266	NM_183375	ENSG00000189099	PRSS48	ESSPL	serine protease 48	protein-coding
1-930	chr4	82791305	82791718	+	0	NA	Intergenic	MER52A|LTR|ERV1	-398450	NM_152545	153020	Hs.591696	NM_152545	ENSG00000138670	RASGEF1B	GPIG4	RasGEF domain family member 1B	protein-coding
1-5506	chr22	32020647	32021060	+	0	NA	intron (NM_001326413, intron 2 of 7)	intron (NM_001326413, intron 2 of 7)	-3336	NR_106959	102465666		NR_106959	ENSG00000284082	MIR7109	hsa-mir-7109	microRNA 7109	ncRNA
1-6703	chr1	229125548	229125961	+	0	NA	Intergenic	Intergenic	184794	NR_039659	100616234		NR_039659	ENSG00000283468	MIR4454	-	microRNA 4454	ncRNA
1-3793	chr6	167150167	167150580	+	0	NA	intron (NM_001006932, intron 2 of 21)	intron (NM_001006932, intron 2 of 21)	-109634	NM_021135	6196	Hs.655277	NM_021135	ENSG00000071242	RPS6KA2	HU-2|MAPKAPK1C|RSK|RSK3|S6K-alpha|S6K-alpha2|p90-RSK3|p90RSK2|pp90RSK3	ribosomal protein S6 kinase A2	protein-coding
1-385	chr5	177551290	177551703	+	0	NA	3' UTR (NM_015111, exon 5 of 5)	3' UTR (NM_015111, exon 5 of 5)	-6466	NM_001288794	64777	Hs.27222	NM_022762	ENSG00000145916	RMND5B	GID2|GID2B	required for meiotic nuclear division 5 homolog B	protein-coding
1-6660	chr22	46846849	46847262	+	0	NA	intron (NM_014246, intron 2 of 34)	intron (NM_014246, intron 2 of 34)	86462	NM_014246	9620	Hs.252387	NM_014246	ENSG00000075275	CELSR1	ADGRC1|CDHF9|FMI2|HFMI2|ME2	cadherin EGF LAG seven-pass G-type receptor 1	protein-coding
1-3284	chr18	5294453	5294866	+	0	NA	intron (NM_001243704, intron 1 of 3)	intron (NM_001243704, intron 1 of 3)	1066	NM_001243702	7541	Hs.592340	NM_003409	ENSG00000198081	ZBTB14	ZF5|ZFP-161|ZFP-5|ZFP161|ZNF478	zinc finger and BTB domain containing 14	protein-coding
1-4785	chr11	75077851	75078264	+	0	NA	Intergenic	LTR3|LTR|ERVK	-15352	NM_004041	408	Hs.503284	NM_004041	ENSG00000137486	ARRB1	ARB1|ARR1	arrestin beta 1	protein-coding
1-1574	chr1	20769383	20769796	+	0	NA	Intergenic	Intergenic	-14302	NR_033887	339505	Hs.633269	NR_033887		LINC01141	-	long intergenic non-protein coding RNA 1141	ncRNA
1-6318	chr7	156685926	156686339	+	0	NA	promoter-TSS (NM_001350956)	promoter-TSS (NM_001350956)	-230	NR_146959	64327	Hs.209989	NM_022458	ENSG00000105983	LMBR1	ACHP|C7orf2|DIF14|LSS|PPD2|THYP|TPT|ZRS	limb development membrane protein 1	protein-coding
1-1929	chr15	45074785	45075198	+	0	NA	Intergenic	Intergenic	46265	NM_001301144	140691	Hs.745248	NM_080745	ENSG00000185880	TRIM69	HSD-34|HSD34|RNF36|Trif	tripartite motif containing 69	protein-coding
1-6331	chr8	124550643	124551056	+	0	NA	intron (NM_001242463, intron 1 of 6)	intron (NM_001242463, intron 1 of 6)	2597	NM_058229	114907	Hs.403933	NM_058229	ENSG00000156804	FBXO32	Fbx32|MAFbx	F-box protein 32	protein-coding
1-558	chr15	69886549	69886962	+	0	NA	intron (NR_126438, intron 1 of 3)	intron (NR_126438, intron 1 of 3)	2216	NR_126437	104472713	Hs.430824	NR_126437	ENSG00000245750	PCAT29	-	prostate cancer associated transcript 29	ncRNA
1-2531	chr20	4148387	4148800	+	0	NA	intron (NM_175839, intron 1 of 6)	intron (NM_175839, intron 1 of 6)	19118	NM_175841	54498	Hs.433337	NM_175839	ENSG00000088826	SMOX	C20orf16|PAO|PAO-1|PAO1|PAOH|PAOH1|SMO	spermine oxidase	protein-coding
1-4053	chr1	33685784	33686197	+	0	NA	Intergenic	MIRb|SINE|MIR	-36103	NM_152493	149076	Hs.743358	NM_152493	ENSG00000160094	ZNF362	RN|lin-29	zinc finger protein 362	protein-coding
1-3622	chr20	34652884	34653297	+	0	NA	Intergenic	CpG	-14208	NR_027451	647979	Hs.743232	NR_027451	ENSG00000260032	NORAD	LINC00657	non-coding RNA activated by DNA damage	ncRNA
1-5169	chr6	34358833	34359246	+	0	NA	intron (NM_001202470, intron 5 of 8)	intron (NM_001202470, intron 5 of 8)	1407	NM_006703	11165	Hs.188882	NM_006703	ENSG00000272325	NUDT3	DIPP|DIPP-1|DIPP1	nudix hydrolase 3	protein-coding
1-3667	chr1	116088636	116089049	+	0	NA	Intergenic	Intergenic	-95749	NM_138959	81839	Hs.515130	NM_138959	ENSG00000173218	VANGL1	KITENIN|LPP2|STB2|STBM2	VANGL planar cell polarity protein 1	protein-coding
1-3549	chr14	105191374	105191787	+	0	NA	intron (NM_152328, intron 1 of 12)	intron (NM_152328, intron 1 of 12)	1046	NM_152328	122622	Hs.592327	NM_152328	ENSG00000185100	ADSSL1	Adss1|MPD5	adenylosuccinate synthase like 1	protein-coding
1-50	chr4	3307179	3307592	+	0	NA	Intergenic	MLT1F2-int|LTR|ERVL-MaLR	-8489	NM_198229	6002	Hs.527061	NM_002926	ENSG00000159788	RGS12	-	regulator of G protein signaling 12	protein-coding
1-1629	chr10	51544440	51544853	+	0	NA	intron (NM_001290117, intron 6 of 6)	MER57B2|LTR|ERV1	-4907	NM_138634	4477	Hs.255462	NM_002443	ENSG00000263639	MSMB	HPC13|IGBF|MSP|MSPB|PN44|PRPS|PSP|PSP-94|PSP57|PSP94	microseminoprotein beta	protein-coding
1-4057	chr1	42356412	42356825	+	0	NA	intron (NR_038261, intron 2 of 3)	intron (NR_038261, intron 2 of 3)	27975	NM_001127714	59269	Hs.403972	NM_024503	ENSG00000127124	HIVEP3	KBP-1|KBP1|KRC|SHN3|Schnurri-3|ZAS3|ZNF40C	human immunodeficiency virus type I enhancer binding protein 3	protein-coding
1-6551	chr16	29831446	29831859	+	0	NA	promoter-TSS (NM_005115)	promoter-TSS (NM_005115)	-63	NM_017458	9961	Hs.632177	NM_005115	ENSG00000013364	MVP	LRP|VAULT1	major vault protein	protein-coding
1-6567	chr17	2147948	2148361	+	0	NA	intron (NM_017575, intron 8 of 18)	intron (NM_017575, intron 8 of 18)	-8013	NM_001256828	23293	Hs.448342	NM_017575	ENSG00000070366	SMG6	C17orf31|EST1A|SMG-6|hSMG5/7a	SMG6 nonsense mediated mRNA decay factor	protein-coding
1-6512	chr14	92338682	92339095	+	0	NA	intron (NM_006329, intron 10 of 10)	intron (NM_006329, intron 10 of 10)	-5008	NM_001128596	123036	Hs.510262	NM_152332	ENSG00000165929	TC2N	C14orf47|C2CD1|MTAC2D1|Tac2-N	tandem C2 domains, nuclear	protein-coding
1-3388	chr3	127535016	127535429	+	0	NA	intron (NM_001003794, intron 2 of 7)	intron (NM_001003794, intron 2 of 7)	6503	NM_007283	11343	Hs.277035	NM_007283	ENSG00000074416	MGLL	HU-K5|HUK5|MAGL|MGL	monoglyceride lipase	protein-coding
