PeakID (cmd=annotatePeaks.pl PDX1_merged_hg19.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
2513	chr10	78404888	78405675	+	0	NA	Intergenic	Intergenic	-242521	NR_120655	101929328	Hs.664552	NR_120655	ENSG00000236467	KCNMA1-AS1	-	KCNMA1 antisense RNA 1	ncRNA
5244	chr13	30969324	30970220	+	0	NA	Intergenic	Intergenic	-21721	NR_024464	100188949	Hs.439791	NR_024464	ENSG00000238121	LINC00426	-	long intergenic non-protein coding RNA 426	ncRNA
5624	chr13	80798406	80799054	+	0	NA	Intergenic	Intergenic	115064	NM_001318537	10253	Hs.18676	NM_005842	ENSG00000136158	SPRY2	IGAN3|hSPRY2	sprouty RTK signaling antagonist 2	protein-coding
12780	chr3	67164023	67164898	+	0	NA	Intergenic	L4|LINE|RTE	-111428	NR_036234	100422941		NR_036234	ENSG00000283298	MIR4272	-	microRNA 4272	ncRNA
16399	chr6	14720932	14721764	+	0	NA	Intergenic	Intergenic	-435663	NR_108096	102216342	Hs.563409	NR_108096	ENSG00000226673	LINC01108	LncRNA-ES1	long intergenic non-protein coding RNA 1108	ncRNA
8339	chr17	68349365	68350237	+	0	NA	Intergenic	Intergenic	184125	NM_000891	3759	Hs.1547	NM_000891	ENSG00000123700	KCNJ2	ATFB9|HHBIRK1|HHIRK1|IRK1|KIR2.1|LQT7|SQT3	potassium voltage-gated channel subfamily J member 2	protein-coding
13420	chr3	152436955	152437560	+	0	NA	Intergenic	Intergenic	-115663	NM_002563	5028	Hs.79881	NM_002563	ENSG00000169860	P2RY1	P2Y1|SARCC	purinergic receptor P2Y1	protein-coding
17728	chr7	3956404	3957256	+	0	NA	intron (NM_152744, intron 5 of 44)	intron (NM_152744, intron 5 of 44)	-212487	NM_001079653	221935	Hs.653013	NM_152744	ENSG00000146555	SDK1	-	sidekick cell adhesion molecule 1	protein-coding
17972	chr7	28966454	28967196	+	0	NA	Intergenic	Intergenic	31121	NM_014817	9865	Hs.744120	NM_014817	ENSG00000255690	TRIL	-	TLR4 interactor with leucine rich repeats	protein-coding
8466	chr18	894167	894772	+	0	NA	Intergenic	Intergenic	-10403	NM_001099733	116	Hs.531719	NM_001117	ENSG00000141433	ADCYAP1	PACAP	adenylate cyclase activating polypeptide 1	protein-coding
16885	chr6	73603535	73604230	+	0	NA	intron (NM_001160134, intron 1 of 11)	intron (NM_001160134, intron 1 of 11)	73594	NR_036244	100423005		NR_036244	ENSG00000266180	MIR4282	-	microRNA 4282	ncRNA
3088	chr11	12339835	12341546	+	0	NA	intron (NM_032867, intron 3 of 8)	intron (NM_032867, intron 3 of 8)	32243	NM_032867	84953	Hs.60371	NM_032867	ENSG00000133816	MICALCL	Ebitein1	MICAL C-terminal like	protein-coding
14546	chr4	124898721	124899265	+	0	NA	Intergenic	Intergenic	203574	NR_027106	285419	Hs.535763	NR_027105	ENSG00000249464	LINC01091	-	long intergenic non-protein coding RNA 1091	ncRNA
2698	chr10	98664407	98664822	+	0	NA	intron (NM_001346516, intron 2 of 7)	intron (NM_001346516, intron 2 of 7)	71912	NM_032440	84458	Hs.427927	NM_015652	ENSG00000196233	LCOR	C10orf12|MLR2	ligand dependent nuclear receptor corepressor	protein-coding
17153	chr6	117866034	117867042	+	0	NA	intron (NM_173674, intron 13 of 14)	intron (NM_173674, intron 13 of 14)	57136	NM_001017408	57120	Hs.191539	NM_020399	ENSG00000047932	GOPC	CAL|FIG|GOPC1|PIST|dJ94G16.2	golgi associated PDZ and coiled-coil motif containing	protein-coding
17490	chr6	150004402	150005312	+	0	NA	non-coding (NR_073033, exon 5 of 9)	non-coding (NR_073033, exon 5 of 9)	32704	NR_073033	9113	Hs.549084	NM_004690	ENSG00000131023	LATS1	WARTS|wts	large tumor suppressor kinase 1	protein-coding
10206	chr2	86181810	86182670	+	0	NA	Intergenic	MIRb|SINE|MIR	65837	NR_110569	101928113	Hs.625888	NR_110569		ST3GAL5-AS1	-	ST3GAL5 antisense RNA 1 (head to head)	ncRNA
8746	chr18	40112690	40113389	+	0	NA	intron (NR_046454, intron 6 of 6)	intron (NR_046454, intron 6 of 6)	346406	NR_046458	284260	Hs.652819	NR_046174	ENSG00000267586	LINC00907	-	long intergenic non-protein coding RNA 907	ncRNA
14867	chr4	177223258	177223961	+	0	NA	Intergenic	Intergenic	-17508	NM_021928	60559	Hs.42194	NM_021928	ENSG00000129128	SPCS3	PRO3567|SPC22/23|SPC3|YLR066W	signal peptidase complex subunit 3	protein-coding
17642	chr6	162097736	162098296	+	0	NA	intron (NM_013987, intron 6 of 10)	intron (NM_013987, intron 6 of 10)	206007	NR_134593	105378098	Hs.691066	NR_134593		LOC105378098	-	uncharacterized LOC105378098	ncRNA
13736	chr3	188664794	188665774	+	0	NA	non-coding (NR_046873, exon 1 of 2)	non-coding (NR_046873, exon 1 of 2)	144	NR_046873	100874043	Hs.616287	NR_046873	ENSG00000234076	TPRG1-AS1	-	TPRG1 antisense RNA 1	ncRNA
5162	chr13	25684697	25685825	+	0	NA	Intergenic	Intergenic	14985	NM_030979	5042	Hs.458280	NM_030979	ENSG00000151846	PABPC3	PABP3|PABPL3|tPABP	poly(A) binding protein cytoplasmic 3	protein-coding
4736	chr12	94245667	94246464	+	0	NA	intron (NM_001320100, intron 2 of 2)	intron (NM_001320100, intron 2 of 2)	91317	NR_135017	105369911	Hs.577495	NR_135017	ENSG00000257283	LOC105369911	-	uncharacterized LOC105369911	ncRNA
14153	chr4	68410854	68411601	+	0	NA	promoter-TSS (NM_001812)	promoter-TSS (NM_001812)	-6	NM_001812	1060	Hs.479867	NM_001812	ENSG00000145241	CENPC	CENP-C|CENPC1|MIF2|hcp-4	centromere protein C	protein-coding
9211	chr19	23456867	23457349	+	0	NA	promoter-TSS (NR_103741)	promoter-TSS (NR_103741)	-55	NR_103741	100132815	Hs.629249	NR_103741		IPO5P1	-	importin 5 pseudogene 1	pseudo
9484	chr2	1522074	1522797	+	0	NA	intron (NM_175722, intron 13 of 14)	intron (NM_175722, intron 13 of 14)	104255	NM_175722	7173	Hs.467554	NM_000547	ENSG00000115705	TPO	MSA|TDH2A|TPX	thyroid peroxidase	protein-coding
14877	chr4	178858030	178858709	+	0	NA	intron (NR_028342, intron 2 of 5)	intron (NR_028342, intron 2 of 5)	-29279	NR_108092	101928656	Hs.508131	NR_108092	ENSG00000251504	LINC01099	-	long intergenic non-protein coding RNA 1099	ncRNA
5636	chr13	91787223	91788427	+	0	NA	intron (NR_047004, intron 2 of 3)	intron (NR_047004, intron 2 of 3)	-44132	NR_104057	101930747	Hs.112745	NR_104057		LINC00380	-	long intergenic non-protein coding RNA 380	ncRNA
15975	chr5	139400309	139401037	+	0	NA	intron (NM_013983, intron 1 of 10)	MIRc|SINE|MIR	22211	NM_013981	9542	Hs.408515	NM_004883	ENSG00000158458	NRG2	DON1|HRG2|NTAK	neuregulin 2	protein-coding
11251	chr20	7907418	7907854	+	0	NA	intron (NM_017545, intron 2 of 7)	intron (NM_017545, intron 2 of 7)	13469	NM_017545	54363	Hs.193640	NM_017545	ENSG00000101323	HAO1	GOX|GOX1|HAOX1	hydroxyacid oxidase 1	protein-coding
11179	chr2	238571140	238571935	+	0	NA	intron (NM_001137550, intron 1 of 23)	MER66B|LTR|ERV1	-29270	NM_001137551	9208	Hs.471779	NM_004735	ENSG00000124831	LRRFIP1	FLAP-1|FLAP1|FLIIAP1|GCF-2|GCF2|HUFI-1|TRIP	LRR binding FLII interacting protein 1	protein-coding
19239	chr8	40028721	40029849	+	0	NA	Intergenic	MIRb|SINE|MIR	18284	NM_020130	56892	Hs.591849	NM_020130	ENSG00000176907	TCIM	C8orf4|TC-1|TC1	transcriptional and immune response regulator	protein-coding
622	chr1	58304689	58305925	+	0	NA	intron (NM_021080, intron 2 of 16)	intron (NM_021080, intron 2 of 16)	-20946	NR_104365	101926890	Hs.662207	NR_104362	ENSG00000226759	DAB1-AS1	-	DAB1 antisense RNA 1	ncRNA
2647	chr10	93180402	93181273	+	0	NA	intron (NM_001284274, intron 1 of 21)	L2|LINE|L2	10795	NR_104291	143279	Hs.596096	NM_173497	ENSG00000165338	HECTD2	-	HECT domain E3 ubiquitin protein ligase 2	protein-coding
2548	chr10	79401280	79402055	+	0	NA	Intergenic	Intergenic	-4101	NM_001322832	3778	Hs.144795	NM_002247	ENSG00000156113	KCNMA1	BKTM|CADEDS|KCa1.1|MaxiK|PNKD3|SAKCA|SLO|SLO-ALPHA|SLO1|bA205K10.1|hSlo|mSLO1	potassium calcium-activated channel subfamily M alpha 1	protein-coding
14023	chr4	40843856	40845806	+	0	NA	intron (NM_001166051, intron 1 of 6)	intron (NM_001166051, intron 1 of 6)	14341	NM_001166051	323	Hs.479602	NM_004307	ENSG00000163697	APBB2	FE65L|FE65L1	amyloid beta precursor protein binding family B member 2	protein-coding
8031	chr17	38463147	38463753	+	0	NA	Intergenic	Intergenic	-1982	NM_000964	5914	Hs.654583	NM_000964	ENSG00000131759	RARA	NR1B1|RAR	retinoic acid receptor alpha	protein-coding
20088	chr9	19663274	19664078	+	0	NA	intron (NM_020344, intron 1 of 9)	intron (NM_020344, intron 1 of 9)	123341	NM_020344	25769	Hs.283014	NM_020344	ENSG00000155886	SLC24A2	NCKX2	solute carrier family 24 member 2	protein-coding
19640	chr8	103119951	103121379	+	0	NA	intron (NM_001040624, intron 1 of 7)	intron (NM_001040624, intron 1 of 7)	15897	NM_001040628	83988	Hs.492427	NM_032041	ENSG00000104490	NCALD	-	neurocalcin delta	protein-coding
2138	chr10	25210268	25211046	+	0	NA	intron (NM_020200, intron 3 of 8)	intron (NM_020200, intron 3 of 8)	30878	NM_020200	56952	Hs.405619	NM_020200	ENSG00000099256	PRTFDC1	HHGP	phosphoribosyl transferase domain containing 1	protein-coding
12679	chr3	57029182	57030216	+	0	NA	intron (NM_001128615, intron 2 of 12)	(GA)n|Simple_repeat|Simple_repeat	55631	NR_046572	100874200	Hs.549631	NR_046572	ENSG00000240198	ARHGEF3-AS1	-	ARHGEF3 antisense RNA 1	ncRNA
7592	chr16	80441075	80442000	+	0	NA	intron (NR_120307, intron 2 of 5)	intron (NR_120307, intron 2 of 5)	-133094	NM_001305017	83657	Hs.98849	NM_130897	ENSG00000168589	DYNLRB2	DNCL2B|DNLC2B|ROBLD2	dynein light chain roadblock-type 2	protein-coding
2319	chr10	61277447	61278459	+	0	NA	Intergenic	Intergenic	-155014	NM_001347840	220965	Hs.607594	NM_198215	ENSG00000148541	FAM13C	FAM13C1	family with sequence similarity 13 member C	protein-coding
609	chr1	56848408	56849150	+	0	NA	Intergenic	Intergenic	-31856	NR_147163	105378744	Hs.183974	NR_147163	ENSG00000223956	LINC01767	-	long intergenic non-protein coding RNA 1767	ncRNA
13071	chr3	112870136	112870970	+	0	NA	intron (NR_110823, intron 3 of 3)	intron (NR_110823, intron 3 of 3)	16025	NR_110823	101929717	Hs.638426	NR_110823	ENSG00000243795	LINC02044	-	long intergenic non-protein coding RNA 2044	ncRNA
20228	chr9	72440416	72440983	+	0	NA	intron (NR_131757, intron 1 of 2)	intron (NR_131757, intron 1 of 2)	4966	NR_131756	138255	Hs.444459	NM_001010940	ENSG00000204711	C9orf135	-	chromosome 9 open reading frame 135	protein-coding
7203	chr16	12093641	12094435	+	0	NA	intron (NM_032167, intron 2 of 20)	intron (NM_032167, intron 2 of 20)	23447	NM_032167	92017	Hs.458401	NM_032167	ENSG00000048471	SNX29	A-388D4.1|RUNDC2A	sorting nexin 29	protein-coding
7093	chr15	99328896	99329797	+	0	NA	intron (NM_000875, intron 2 of 20)	intron (NM_000875, intron 2 of 20)	1691	NR_039864	100616432		NR_039864	ENSG00000264480	MIR4714	-	microRNA 4714	ncRNA
1742	chr1	226297875	226298479	+	0	NA	Intergenic	CpG	26901	NR_146920	105373113	Hs.149726	NR_146920		LINC01703	lncPARP1	long intergenic non-protein coding RNA 1703	ncRNA
102	chr1	9621502	9622067	+	0	NA	intron (NM_032315, intron 2 of 6)	intron (NM_032315, intron 2 of 6)	22260	NM_032315	84275	Hs.568613	NM_032315	ENSG00000171612	SLC25A33	BMSC-MCP|PNC1	solute carrier family 25 member 33	protein-coding
17236	chr6	129684995	129685727	+	0	NA	intron (NM_000426, intron 32 of 64)	intron (NM_000426, intron 32 of 64)	345961	NM_033515	93663	Hs.486458	NM_033515	ENSG00000146376	ARHGAP18	MacGAP|SENEX|bA307O14.2	Rho GTPase activating protein 18	protein-coding
4721	chr12	93712130	93713350	+	0	NA	intron (NR_040096, intron 2 of 4)	intron (NR_040096, intron 2 of 4)	58772	NR_040096	643339	Hs.741299	NR_040096		LOC643339	-	uncharacterized LOC643339	ncRNA
17460	chr6	147459783	147460652	+	0	NA	intron (NR_034115, intron 3 of 10)	intron (NR_034115, intron 3 of 10)	-19844	NR_132442	106182249	Hs.575390	NR_132442	ENSG00000196634	LUADT1	-	lung adenocarcinoma associated transcript 1	ncRNA
12377	chr3	16928086	16928711	+	0	NA	intron (NM_001144382, intron 2 of 6)	intron (NM_001144382, intron 2 of 6)	1950	NM_001144382	23228	Hs.202010	NM_015184	ENSG00000154822	PLCL2	PLCE2	phospholipase C like 2	protein-coding
15864	chr5	124886903	124887436	+	0	NA	intron (NR_109887, intron 3 of 3)	intron (NR_109887, intron 3 of 3)	58215	NR_109887	101927460	Hs.407582	NR_109887	ENSG00000260192	LINC02240	-	long intergenic non-protein coding RNA 2240	ncRNA
13253	chr3	127803107	127803825	+	0	NA	intron (NM_003707, intron 9 of 10)	intron (NM_003707, intron 9 of 10)	8813	NR_046645	100874089	Hs.581603	NR_046645	ENSG00000239608	RUVBL1-AS1	-	RUVBL1 antisense RNA 1	ncRNA
13115	chr3	115342118	115342963	+	0	NA	exon (NM_002045, exon 1 of 3)	exon (NM_002045, exon 1 of 3)	183	NM_001130064	2596	Hs.134974	NM_002045	ENSG00000172020	GAP43	B-50|PP46	growth associated protein 43	protein-coding
6813	chr15	64753512	64754187	+	0	NA	Intergenic	Intergenic	-37770	NM_015042	23060	Hs.595451	NM_015042	ENSG00000180357	ZNF609	-	zinc finger protein 609	protein-coding
11425	chr20	23228771	23229534	+	0	NA	Intergenic	Intergenic	-102276	NM_013248	29107	Hs.516933	NM_013248	ENSG00000132661	NXT1	MTR2|P15	nuclear transport factor 2 like export factor 1	protein-coding
7047	chr15	92071832	92072398	+	0	NA	Intergenic	L1MC5|LINE|L1	65546	NR_110106	101926928	Hs.638788	NR_110106	ENSG00000258551	CRAT37	-	cervical cancer-associated transcript 37	ncRNA
2278	chr10	52268177	52270032	+	0	NA	intron (NM_147156, intron 3 of 10)	intron (NM_147156, intron 3 of 10)	114612	NM_147156	259230	Hs.654698	NM_147156	ENSG00000198964	SGMS1	MOB|MOB1|SMS1|TMEM23|hmob33	sphingomyelin synthase 1	protein-coding
9356	chr19	44952141	44952984	+	0	NA	promoter-TSS (NR_103551)	promoter-TSS (NR_103551)	98	NM_014518	7772	Hs.709348	NM_014518	ENSG00000278318	ZNF229	-	zinc finger protein 229	protein-coding
10211	chr2	86332556	86333453	+	0	NA	promoter-TSS (NM_017952)	promoter-TSS (NM_017952)	5	NM_015425	25885	Hs.531818	NM_015425	ENSG00000068654	POLR1A	A190|AFDCIN|RPA1|RPA194|RPO1-4|RPO14	RNA polymerase I subunit A	protein-coding
16890	chr6	75511960	75512334	+	0	NA	Intergenic	L2a|LINE|L2	326351	NR_145788	109623475		NR_145788		SNORD156	-	small nucleolar RNA, C/D box 156	snoRNA
6937	chr15	77773825	77774624	+	0	NA	intron (NM_018200, intron 10 of 10)	intron (NM_018200, intron 10 of 10)	-43713	NR_135692	101929457	Hs.637111	NR_135692	ENSG00000259362	LOC101929457	-	uncharacterized LOC101929457	ncRNA
15141	chr5	31181564	31182985	+	0	NA	Intergenic	Intergenic	-11519	NM_004932	1004	Hs.124776	NM_004932	ENSG00000113361	CDH6	CAD6|KCAD	cadherin 6	protein-coding
16086	chr5	150518444	150519187	+	0	NA	intron (NM_001193544, intron 3 of 24)	intron (NM_001193544, intron 3 of 24)	2430	NM_001193544	309	Hs.412117	NM_001155	ENSG00000197043	ANXA6	ANX6|CBP68|CPB-II|p68|p70	annexin A6	protein-coding
5213	chr13	29500388	29501106	+	0	NA	intron (NM_001366650, intron 2 of 15)	intron (NM_001366650, intron 2 of 15)	-97847	NM_001033602	23281	Hs.22287	NM_015233	ENSG00000132938	MTUS2	CAZIP|ICIS|KIAA0774|TIP150	microtubule associated scaffold protein 2	protein-coding
18205	chr7	73028285	73029150	+	0	NA	intron (NR_134541, intron 2 of 15)	MIRb|SINE|MIR	10135	NM_032952	51085	Hs.647055	NM_032951	ENSG00000009950	MLXIPL	CHREBP|MIO|MLX|MONDOB|WBSCR14|WS-bHLH|bHLHd14	MLX interacting protein like	protein-coding
6029	chr14	57868705	57869742	+	0	NA	intron (NM_001011713, intron 4 of 4)	intron (NM_001011713, intron 4 of 4)	11919	NM_001011713	122830	Hs.165465	NM_001011713	ENSG00000139977	NAA30	C14orf35|MAK3|Mak3p|NAT12|NAT12P	N(alpha)-acetyltransferase 30, NatC catalytic subunit	protein-coding
7133	chr16	2932620	2933314	+	0	NA	promoter-TSS (NM_001142499)	promoter-TSS (NM_001142499)	-229	NM_001142500	114984	Hs.534525	NM_138439	ENSG00000162076	FLYWCH2	-	FLYWCH family member 2	protein-coding
19557	chr8	95835877	95836806	+	0	NA	intron (NM_017864, intron 1 of 26)	intron (NM_017864, intron 1 of 26)	823	NR_073445	55656	Hs.727669	NM_017864	ENSG00000164941	INTS8	C8orf52|INT8	integrator complex subunit 8	protein-coding
5647	chr13	94864384	94864919	+	0	NA	intron (NM_005708, intron 4 of 8)	intron (NM_005708, intron 4 of 8)	-24406	NR_046535	100873972	Hs.670344	NR_046535	ENSG00000236520	GPC6-AS1	-	GPC6 antisense RNA 1	ncRNA
8631	chr18	30708424	30709012	+	0	NA	intron (NM_001371120, intron 20 of 23)	intron (NM_001371120, intron 20 of 23)	311817	NM_001371121								
5734	chr13	103272488	103273359	+	0	NA	intron (NM_003291, intron 5 of 28)	intron (NM_003291, intron 5 of 28)	23587	NM_001367947	7174	Hs.432424	NM_003291	ENSG00000134900	TPP2	TPP-2|TPP-II|TPPII	tripeptidyl peptidase 2	protein-coding
11243	chr20	5864398	5865023	+	0	NA	Intergenic	Intergenic	-27446	NM_001819	1114	Hs.516874	NM_001819	ENSG00000089199	CHGB	SCG1	chromogranin B	protein-coding
2150	chr10	26241314	26242527	+	0	NA	intron (NM_001368265, intron 3 of 7)	intron (NM_001368265, intron 3 of 7)	18762	NM_017433	53904	Hs.662630	NM_017433	ENSG00000095777	MYO3A	DFNB30	myosin IIIA	protein-coding
14582	chr4	133166430	133166900	+	0	NA	Intergenic	Intergenic	-345579	NR_126401	104355285	Hs.123483	NR_126401	ENSG00000251398	LINC01256	TCONS_l2_00021715	long intergenic non-protein coding RNA 1256	ncRNA
8041	chr17	39620788	39621537	+	0	NA	intron (NM_002278, intron 3 of 6)	intron (NM_002278, intron 3 of 6)	2476	NM_002278	3882	Hs.41752	NM_002278	ENSG00000108759	KRT32	HA2|HKA2|KRTHA2|hHa2	keratin 32	protein-coding
11947	chr21	45440498	45441113	+	0	NA	intron (NM_003274, intron 1 of 22)	MIR3|SINE|MIR	8615	NM_003274	7109	Hs.126221	NM_003274	ENSG00000160218	TRAPPC10	EHOC-1|EHOC1|GT334|TMEM1|TRS130|TRS30	trafficking protein particle complex 10	protein-coding
1620	chr1	211265955	211266730	+	0	NA	intron (NM_002238, intron 3 of 10)	intron (NM_002238, intron 3 of 10)	40374	NR_046784	100874296	Hs.737764	NR_046784		KCNH1-IT1	-	KCNH1 intronic transcript 1	ncRNA
6402	chr14	97472231	97472743	+	0	NA	Intergenic	Intergenic	62571	NR_104113	145249	Hs.592323	NR_104113	ENSG00000225163	LINC00618	C14orf63	long intergenic non-protein coding RNA 618	ncRNA
865	chr1	91429795	91430502	+	0	NA	intron (NM_201269, intron 2 of 5)	intron (NM_201269, intron 2 of 5)	56917	NM_016620	84146	Hs.173001	NM_016620	ENSG00000122482	ZNF644	BM-005|MYP21|NatF|ZEP-2	zinc finger protein 644	protein-coding
18723	chr7	133032694	133033814	+	0	NA	intron (NM_001037126, intron 5 of 9)	intron (NM_001037126, intron 5 of 9)	57619	NR_106749	102465139		NR_106749	ENSG00000276137	MIR6133	hsa-mir-6133	microRNA 6133	ncRNA
11374	chr20	20014831	20015834	+	0	NA	3' UTR (NM_001278626, exon 15 of 15)	3' UTR (NM_001278626, exon 15 of 15)	16893	NM_181527	51126	Hs.368783	NM_016100	ENSG00000173418	NAA20	NAT3|NAT3P|NAT5|NAT5P|dJ1002M8.1	N(alpha)-acetyltransferase 20, NatB catalytic subunit	protein-coding
2972	chr10	128955221	128955757	+	0	NA	intron (NM_001039762, intron 4 of 5)	L2b|LINE|L2	39366	NM_001039762	642938	Hs.613882	NM_001039762	ENSG00000188916	INSYN2A	C10orf141|FAM196A|INSYN2	inhibitory synaptic factor 2A	protein-coding
18059	chr7	38937791	38938451	+	0	NA	intron (NM_014396, intron 1 of 28)	intron (NM_014396, intron 1 of 28)	10670	NM_014396	27072	Hs.592184	NM_014396	ENSG00000006715	VPS41	HVPS41|HVSP41|hVps41p	VPS41 subunit of HOPS complex	protein-coding
5342	chr13	36491129	36491996	+	0	NA	intron (NM_001330072, intron 4 of 16)	intron (NM_001330072, intron 4 of 16)	-61564	NM_001195415	9201	Hs.507755	NM_004734	ENSG00000133083	DCLK1	CL1|CLICK1|DCAMKL1|DCDC3A|DCLK	doublecortin like kinase 1	protein-coding
14463	chr4	109018736	109019435	+	0	NA	intron (NM_001166119, intron 3 of 10)	intron (NM_001166119, intron 3 of 10)	68868	NM_001166119	51176	Hs.743478	NM_016269	ENSG00000138795	LEF1	LEF-1|TCF10|TCF1ALPHA|TCF7L3	lymphoid enhancer binding factor 1	protein-coding
17078	chr6	110157140	110157669	+	0	NA	Intergenic	Intergenic	-142055	NM_001286099	2830	Hs.46332	NM_005284	ENSG00000146360	GPR6	-	G protein-coupled receptor 6	protein-coding
1494	chr1	202239876	202240482	+	0	NA	intron (NM_001017404, intron 4 of 15)	intron (NM_001017404, intron 4 of 15)	56896	NM_001017404	59352	Hs.497402	NM_021636	ENSG00000133067	LGR6	GPCR|VTS20631	leucine rich repeat containing G protein-coupled receptor 6	protein-coding
14635	chr4	141164093	141164759	+	0	NA	Intergenic	Intergenic	-14036	NM_032547	60592	Hs.480815	NM_032547	ENSG00000153130	SCOC	HRIHFB2072|SCOCO|UNC-69	short coiled-coil protein	protein-coding
10030	chr2	64212416	64213108	+	0	NA	intron (NM_016516, intron 1 of 22)	intron (NM_016516, intron 1 of 22)	33800	NM_016516	51542	Hs.48499	NM_016516	ENSG00000143952	VPS54	HCC8|PPP1R164|SLP-8p|VPS54L|WR|hVps54L	VPS54 subunit of GARP complex	protein-coding
17624	chr6	159112182	159112792	+	0	NA	intron (NM_001318745, intron 3 of 14)	intron (NM_001318745, intron 3 of 14)	28052	NM_001318745	94120	Hs.436977	NM_001009991	ENSG00000164674	SYTL3	SLP3	synaptotagmin like 3	protein-coding
6271	chr14	79488781	79489452	+	0	NA	intron (NR_073547, intron 14 of 20)	intron (NR_073547, intron 14 of 20)	-177209	NR_135159	105370586		NR_135159	ENSG00000258419	LOC105370586	-	uncharacterized LOC105370586	ncRNA
19380	chr8	62627074	62627663	+	0	NA	promoter-TSS (NM_032466)	promoter-TSS (NM_032466)	21	NR_039680	100616484		NR_039680	ENSG00000264408	MIR4470	mir-4470	microRNA 4470	ncRNA
1011	chr1	113084626	113085330	+	0	NA	intron (NM_138728, intron 12 of 13)	intron (NM_138728, intron 12 of 13)	33391	NM_024494	7482	Hs.258575	NM_004185	ENSG00000134245	WNT2B	WNT13	Wnt family member 2B	protein-coding
20121	chr9	26099898	26100593	+	0	NA	intron (NM_001004352, intron 3 of 6)	intron (NM_001004352, intron 3 of 6)	33572	NM_001004352	100506422	Hs.533221	NM_001004352		LOC100506422	-	putative deoxyuridine 5'-triphosphate nucleotidohydrolase-like protein FLJ16323	protein-coding
8337	chr17	68180651	68181331	+	0	NA	Intergenic	Intergenic	15315	NM_000891	3759	Hs.1547	NM_000891	ENSG00000123700	KCNJ2	ATFB9|HHBIRK1|HHIRK1|IRK1|KIR2.1|LQT7|SQT3	potassium voltage-gated channel subfamily J member 2	protein-coding
13738	chr3	188789269	188789713	+	0	NA	Intergenic	Intergenic	-100269	NM_198485	285386	Hs.729544	NM_198485	ENSG00000188001	TPRG1	FAM79B	tumor protein p63 regulated 1	protein-coding
18503	chr7	106705272	106705938	+	0	NA	intron (NM_002736, intron 1 of 10)	intron (NM_002736, intron 1 of 10)	20455	NM_002736	5577	Hs.433068	NM_002736	ENSG00000005249	PRKAR2B	PRKAR2|RII-BETA	protein kinase cAMP-dependent type II regulatory subunit beta	protein-coding
19894	chr8	136866637	136867130	+	0	NA	Intergenic	Intergenic	397184	NM_006558	10656	Hs.444558	NM_006558	ENSG00000131773	KHDRBS3	Etle|SALP|SLM-2|SLM2|T-STAR|TSTAR|etoile	KH RNA binding domain containing, signal transduction associated 3	protein-coding
4921	chr12	112450803	112451569	+	0	NA	promoter-TSS (NR_122119)	promoter-TSS (NR_122119)	34	NM_001034025	10961	Hs.75841	NM_006817	ENSG00000089248	ERP29	C12orf8|ERp28|ERp31|HEL-S-107|PDI-DB|PDIA9	endoplasmic reticulum protein 29	protein-coding
11432	chr20	23948110	23949144	+	0	NA	Intergenic	MLT1F-int|LTR|ERVL-MaLR	18885	NM_178312	92086	Hs.355394	NM_080920	ENSG00000149435	GGTLC1	GGTL6|GGTLA3|GGTLA4|dJ831C21.1|dJ831C21.2	gamma-glutamyltransferase light chain 1	protein-coding
1009	chr1	112533726	112534438	+	0	NA	intron (NR_145438, intron 1 of 1)	intron (NR_145438, intron 1 of 1)	924	NR_145438	643355	Hs.279714	NR_145438	ENSG00000231437	LINC01750	-	long intergenic non-protein coding RNA 1750	ncRNA
3355	chr11	43413244	43414045	+	0	NA	intron (NM_001307943, intron 5 of 19)	intron (NM_001307943, intron 5 of 19)	33174	NM_018259	55761	Hs.191186	NM_018259	ENSG00000052841	TTC17	-	tetratricopeptide repeat domain 17	protein-coding
15499	chr5	79087991	79088924	+	0	NA	intron (NM_153610, intron 11 of 12)	intron (NM_153610, intron 11 of 12)	102798	NM_153610	202333	Hs.482625	NM_153610	ENSG00000164309	CMYA5	C5orf10|SPRYD2|TRIM76	cardiomyopathy associated 5	protein-coding
10268	chr2	101243714	101244387	+	0	NA	Intergenic	Intergenic	23849	NR_146956	105373507		NR_146956		LINC01849	-	long intergenic non-protein coding RNA 1849	ncRNA
2787	chr10	108195480	108196509	+	0	NA	Intergenic	Intergenic	296071	NR_134331	105378470	Hs.142910	NR_134329	ENSG00000229775	LINC02624	-	long intergenic non-protein coding RNA 2624	ncRNA
920	chr1	99368037	99368723	+	0	NA	intron (NM_001010861, intron 5 of 5)	intron (NM_001010861, intron 5 of 5)	-101452	NR_033940	100129620	Hs.588631	NR_033940	ENSG00000232825	LOC100129620	-	uncharacterized LOC100129620	ncRNA
20595	chr9	112778248	112779200	+	0	NA	intron (NM_007203, intron 7 of 10)	intron (NM_007203, intron 7 of 10)	-32154	NM_001198656	445815	Hs.591908	NM_007203	ENSG00000157654	PALM2-AKAP2	AKAP-2|AKAP-KL|AKAP2|AKAPKL|MISP2|PALM2|PRKA2	PALM2-AKAP2 fusion	protein-coding
