PeakID (cmd=annotatePeaks.pl 09-17ngn3_30M_peaksfdr0.05.txt hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr3-552	chr3	69509804	69510036	+	5.04	0.779	Intergenic	Intergenic	-74465	NM_015123	23150	Hs.371681	NM_015123	ENSG00000114541	FRMD4B	6030440G05Rik|GRSP1	FERM domain containing 4B	protein-coding
chr20-256	chr20	14382498	14382730	+	5.04	0.778	intron (NM_001351663, intron 3 of 17)	intron (NM_001351663, intron 3 of 17)	-64301	NM_013281	23767	Hs.41296	NM_013281	ENSG00000125848	FLRT3	HH21	fibronectin leucine rich transmembrane protein 3	protein-coding
chr11-397	chr11	118787301	118787533	+	5.04	0.653	Intergenic	Intergenic	-5804	NM_182557	283149	Hs.414740	NM_182557	ENSG00000186174	BCL9L	BCL9-2|DLNB11	B cell CLL/lymphoma 9 like	protein-coding
chr2-731	chr2	220426575	220426807	+	5.04	0.685	exon (NM_001173408, exon 9 of 9)	exon (NM_001173408, exon 9 of 9)	9577	NM_015311	23363	Hs.526594	NM_015311	ENSG00000124006	OBSL1	-	obscurin like 1	protein-coding
chr5-453	chr5	157714963	157715195	+	5.04	0.760	Intergenic	Intergenic	121702	NR_109888	101927697	Hs.483960	NR_109888	ENSG00000276778	LINC02227	-	long intergenic non-protein coding RNA 2227	ncRNA
chr6-522	chr6	53948219	53948451	+	5.04	0.734	intron (NM_138569, intron 1 of 12)	intron (NM_138569, intron 1 of 12)	-27881	NM_001281747	90523	Hs.449276	NM_138569	ENSG00000146147	MLIP	C6orf142|CIP	muscular LMNA interacting protein	protein-coding
chr13-251	chr13	27581472	27581704	+	5.04	0.809	Intergenic	Intergenic	-118082	NR_046547	100874070	Hs.524923	NR_046547		USP12-AS1	-	USP12 antisense RNA 1	ncRNA
chr8-446	chr8	54266017	54266249	+	5.04	0.684	Intergenic	L1M5|LINE|L1	-101876	NM_001282904	4986	Hs.106795	NM_000912	ENSG00000082556	OPRK1	K-OR-1|KOR|KOR-1|OPRK	opioid receptor kappa 1	protein-coding
chr5-401	chr5	145788953	145789185	+	5.04	0.752	Intergenic	Intergenic	-37804	NM_006706	10915	Hs.443465	NM_006706	ENSG00000113649	TCERG1	CA150|TAF2S|Urn1	transcription elongation regulator 1	protein-coding
chr2-770	chr2	180554746	180554978	+	5.04	0.820	intron (NM_152520, intron 3 of 9)	LTR33|LTR|ERVL	-29925	NM_001352812	151126	Hs.655005	NM_152520	ENSG00000144331	ZNF385B	ZNF533	zinc finger protein 385B	protein-coding
chr11-412	chr11	67833337	67833569	+	5.04	0.804	intron (NM_001277, intron 8 of 11)	intron (NM_001277, intron 8 of 11)	21192	NR_106811	102465451		NR_106811	ENSG00000275022	MIR6753	hsa-mir-6753	microRNA 6753	ncRNA
chr1-793	chr1	182260781	182261013	+	5.04	0.747	intron (NR_104175, intron 2 of 2)	intron (NR_104175, intron 2 of 2)	22299	NR_104175	400799	Hs.634884	NR_104175	ENSG00000228918	LINC01344	GS1-122H1.2	long intergenic non-protein coding RNA 1344	ncRNA
chr2-772	chr2	97485091	97485323	+	5.04	0.782	intron (NM_199078, intron 1 of 6)	intron (NM_199078, intron 1 of 6)	3216	NM_017623	26505	Hs.711617	NM_017623	ENSG00000168763	CNNM3	ACDP3	cyclin and CBS domain divalent metal cation transport mediator 3	protein-coding
chr9-427	chr9	91975490	91975722	+	5.04	0.837	TTS (NM_001142287)	TTS (NM_001142287)	41840	NM_001282690	79048	Hs.59804	NM_024077	ENSG00000187742	SECISBP2	SBP2	SECIS binding protein 2	protein-coding
chr8-412	chr8	68880323	68880555	+	5.04	0.745	intron (NM_025170, intron 1 of 23)	intron (NM_025170, intron 1 of 23)	16089	NM_024870	80243	Hs.169943	NM_024870	ENSG00000046889	PREX2	DEP.2|DEPDC2|P-REX2|PPP1R129	phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2	protein-coding
chr9-424	chr9	138868800	138869032	+	5.04	0.713	Intergenic	Intergenic	-15690	NM_016172	10422	Hs.9194	NM_016172	ENSG00000130560	UBAC1	GBDR1|KPC2|UBADC1	UBA domain containing 1	protein-coding
chr4-661	chr4	96196867	96197099	+	5.04	0.745	intron (NM_003728, intron 4 of 15)	intron (NM_003728, intron 4 of 15)	184341	NM_001256794	658	Hs.598475	NM_001203	ENSG00000138696	BMPR1B	ALK-6|ALK6|AMDD|BDA1D|BDA2|CDw293	bone morphogenetic protein receptor type 1B	protein-coding
chr2-753	chr2	175817417	175817649	+	5.04	0.831	intron (NR_038133, intron 1 of 11)	intron (NR_038133, intron 1 of 11)	52448	NM_001822	1123	Hs.380138	NM_001822	ENSG00000128656	CHN1	ARHGAP2|CHN|DURS2|NC|RHOGAP2	chimerin 1	protein-coding
chr18-203	chr18	46415931	46416163	+	5.04	0.734	Intergenic	Intergenic	53130	NM_001190823	4092	Hs.465087	NM_005904	ENSG00000101665	SMAD7	CRCS3|MADH7|MADH8	SMAD family member 7	protein-coding
chr11-419	chr11	117630061	117630293	+	5.04	0.802	intron (NM_020693, intron 3 of 32)	intron (NM_020693, intron 3 of 32)	37799	NM_020693	57453	Hs.659513	NM_020693	ENSG00000177103	DSCAML1	DSCAM2	DS cell adhesion molecule like 1	protein-coding
chr10-423	chr10	52381686	52381918	+	5.04	0.738	intron (NM_147156, intron 1 of 10)	intron (NM_147156, intron 1 of 10)	1935	NM_147156	259230	Hs.654698	NM_147156	ENSG00000198964	SGMS1	MOB|MOB1|SMS1|TMEM23|hmob33	sphingomyelin synthase 1	protein-coding
chr11-396	chr11	58909986	58910218	+	5.04	0.789	promoter-TSS (NM_001312910)	promoter-TSS (NM_001312910)	-117	NM_001142520	63901	Hs.150651	NM_022074	ENSG00000166801	FAM111A	GCLEB|KCS2	family with sequence similarity 111 member A	protein-coding
chr4-595	chr4	171015219	171015451	+	5.04	0.759	Intergenic	Intergenic	-3797	NM_001286683	51166	Hs.529735	NM_016228	ENSG00000109576	AADAT	KAT2|KATII|KYAT2	aminoadipate aminotransferase	protein-coding
chr15-305	chr15	89671416	89671648	+	5.04	0.814	intron (NM_007011, intron 7 of 14)	intron (NM_007011, intron 7 of 14)	40151	NM_007011	11057	Hs.122337	NM_007011	ENSG00000140526	ABHD2	HS1-2|LABH2|PHPS1-2	abhydrolase domain containing 2	protein-coding
chr4-636	chr4	166379216	166379448	+	5.04	0.793	intron (NM_001873, intron 1 of 8)	intron (NM_001873, intron 1 of 8)	71938	NR_030304	693163		NR_030304	ENSG00000207559	MIR578	MIRN578|hsa-mir-578	microRNA 578	ncRNA
chr1-764	chr1	58292142	58292374	+	5.04	0.696	intron (NM_001353980, intron 3 of 5)	intron (NM_001353980, intron 3 of 5)	-33957	NR_104364	101926890	Hs.662207	NR_104362	ENSG00000226759	DAB1-AS1	-	DAB1 antisense RNA 1	ncRNA
chr4-635	chr4	136043745	136043977	+	5.04	0.873	intron (NR_147187, intron 1 of 2)	LTR22|LTR|ERVK	853	NR_147187	105377439	Hs.570727	NR_147187		LINC02485	-	long intergenic non-protein coding RNA 2485	ncRNA
chr17-385	chr17	74167764	74167996	+	5.04	0.755	intron (NM_052916, intron 3 of 18)	intron (NM_052916, intron 3 of 18)	-30500	NM_001454	2302	Hs.651204	NM_001454	ENSG00000129654	FOXJ1	FKHL13|HFH-4|HFH4	forkhead box J1	protein-coding
chr16-457	chr16	85004088	85004320	+	5.04	0.848	Intergenic	Intergenic	40937	NM_017740	55625	Hs.461610	NM_017740	ENSG00000153786	ZDHHC7	DHHC7|SERZ-B|SERZ1|ZNF370	zinc finger DHHC-type containing 7	protein-coding
chr7-450	chr7	7748943	7749175	+	5.04	0.897	intron (NM_002947, intron 2 of 7)	intron (NM_002947, intron 2 of 7)	9179	NM_002947	6119	Hs.487540	NM_002947	ENSG00000106399	RPA3	REPA3|RP-A p14	replication protein A3	protein-coding
chr11-418	chr11	21117956	21118188	+	5.04	0.714	intron (NM_201551, intron 12 of 18)	L2|LINE|L2	426975	NM_001288714	4745	Hs.657172	NM_006157	ENSG00000165973	NELL1	IDH3GL|NRP1	neural EGFL like 1	protein-coding
chr9-420	chr9	11686769	11687001	+	5.04	0.773	Intergenic	L1P4b|LINE|L1	-1006501	NM_000550	7306	Hs.270279	NM_000550	ENSG00000107165	TYRP1	CAS2|CATB|GP75|OCA3|TRP|TRP1|TYRP|b-PROTEIN	tyrosinase related protein 1	protein-coding
chr2-750	chr2	227922155	227922387	+	5.04	0.830	exon (NM_000092, exon 29 of 48)	exon (NM_000092, exon 29 of 48)	107004	NM_000092	1286	Hs.591645	NM_000092	ENSG00000081052	COL4A4	CA44	collagen type IV alpha 4 chain	protein-coding
chr11-448	chr11	106157674	106157906	+	5.04	0.785	Intergenic	MIRc|SINE|MIR	35656	NR_120551	101928535	Hs.409078	NR_120551	ENSG00000254811	LOC101928535	-	uncharacterized LOC101928535	ncRNA
chr11-429	chr11	6344824	6345056	+	5.04	0.755	Intergenic	LTR9|LTR|ERV1	-3200	NM_145040	112464	Hs.434044	NM_145040	ENSG00000170955	CAVIN3	HSRBC|PRKCDBP|SRBC|cavin-3	caveolae associated protein 3	protein-coding
chr11-403	chr11	61891807	61892039	+	5.04	0.800	intron (NM_001040694, intron 1 of 18)	intron (NM_001040694, intron 1 of 18)	478	NM_020238	3619	Hs.142179	NM_020238	ENSG00000149503	INCENP	-	inner centromere protein	protein-coding
chr19-191	chr19	8069222	8069454	+	5.04	0.798	intron (NM_001419, intron 1 of 5)	MER20|DNA|hAT-Charlie	1191	NM_001419	1994	Hs.184492	NM_001419	ENSG00000066044	ELAVL1	ELAV1|HUR|Hua|MelG	ELAV like RNA binding protein 1	protein-coding
chr6-514	chr6	40964754	40964986	+	5.04	0.755	intron (NR_110873, intron 1 of 5)	intron (NR_110873, intron 1 of 5)	26149	NR_110873	101929555	Hs.552555	NR_110873		LOC101929555	-	uncharacterized LOC101929555	ncRNA
chr2-709	chr2	139079108	139079340	+	5.04	0.813	Intergenic	MER1A|DNA|hAT-Charlie	-180126	NM_001001664	339745	Hs.333297	NM_001001664	ENSG00000144228	SPOPL	BTBD33	speckle type BTB/POZ protein like	protein-coding
chr9-409	chr9	72782729	72782961	+	5.04	0.809	intron (NR_040076, intron 2 of 3)	intron (NR_040076, intron 2 of 3)	7959	NR_040076	100507244	Hs.556816	NR_040076	ENSG00000204706	MAMDC2-AS1	-	MAMDC2 antisense RNA 1	ncRNA
chr14-248	chr14	101576354	101576586	+	5.04	0.775	Intergenic	Intergenic	-10723	NR_146490	101929422		NR_146490	ENSG00000259004	LINC02285	-	long intergenic non-protein coding RNA 2285	ncRNA
chr19-207	chr19	8313808	8314040	+	5.04	0.642	intron (NM_024552, intron 2 of 11)	(TGGA)n|Simple_repeat|Simple_repeat	39707	NM_024552	79603	Hs.515111	NM_024552	ENSG00000090661	CERS4	LASS4|Trh1	ceramide synthase 4	protein-coding
chr14-241	chr14	56764796	56765028	+	5.04	0.825	3' UTR (NM_021255, exon 6 of 6)	3' UTR (NM_021255, exon 6 of 6)	179819	NM_021255	57161	Hs.657926	NM_021255	ENSG00000139946	PELI2	-	pellino E3 ubiquitin protein ligase family member 2	protein-coding
chr2-756	chr2	209691876	209692108	+	5.04	0.783	Intergenic	LTR9|LTR|ERV1	284625	NR_136588	101927960	Hs.159960	NR_136588		LOC101927960	-	uncharacterized LOC101927960	ncRNA
chr13-247	chr13	57261360	57261592	+	5.04	0.739	Intergenic	Intergenic	-453576	NM_001130404	729233	Hs.723090	NM_001130404	ENSG00000204918	PRR20B	-	proline rich 20B	protein-coding
chr4-625	chr4	107716755	107716987	+	5.04	0.900	Intergenic	MIR|SINE|MIR	240582	NM_014421	27123	Hs.211869	NM_014421	ENSG00000155011	DKK2	DKK-2	dickkopf WNT signaling pathway inhibitor 2	protein-coding
chr18-199	chr18	5294540	5294772	+	5.04	0.770	intron (NM_001243704, intron 1 of 3)	intron (NM_001243704, intron 1 of 3)	1045	NM_001243702	7541	Hs.592340	NM_003409	ENSG00000198081	ZBTB14	ZF5|ZFP-161|ZFP-5|ZFP161|ZNF478	zinc finger and BTB domain containing 14	protein-coding
chr16-447	chr16	85210160	85210392	+	5.04	0.615	Intergenic	Intergenic	39520	NR_033984	400548	Hs.592054	NR_033984	ENSG00000278214	LINC02139	-	long intergenic non-protein coding RNA 2139	ncRNA
chr7-474	chr7	134096300	134096532	+	5.04	0.579	Intergenic	Intergenic	47528	NR_144376	231	Hs.521212	NM_001628	ENSG00000085662	AKR1B1	ADR|ALDR1|ALR2|AR	aldo-keto reductase family 1 member B	protein-coding
chr20-241	chr20	47211098	47211330	+	5.04	0.812	Intergenic	Intergenic	222560	NR_026958	284749	Hs.299080	NR_026958	ENSG00000235621	LINC00494	-	long intergenic non-protein coding RNA 494	ncRNA
chr19-201	chr19	29437607	29437839	+	5.04	0.717	Intergenic	Intergenic	-18315	NR_027318	148145	Hs.112651	NR_027318	ENSG00000267339	LINC00906	-	long intergenic non-protein coding RNA 906	ncRNA
chrX-77	chrX	80510069	80510301	+	5.04	0.846	intron (NM_003022, intron 1 of 3)	intron (NM_003022, intron 1 of 3)	-52744	NM_030763	79366	Hs.282204	NM_030763	ENSG00000198157	HMGN5	NBP-45|NSBP1	high mobility group nucleosome binding domain 5	protein-coding
chr16-462	chr16	47237508	47237740	+	5.04	0.791	intron (NM_030790, intron 14 of 17)	MER1A|DNA|hAT-Charlie	59645	NR_110904	101927102	Hs.634652	NR_110903		ITFG1-AS1	-	ITFG1 antisense RNA 1	ncRNA
chr5-471	chr5	6902762	6902994	+	5.04	0.767	Intergenic	Intergenic	-74844	NR_036242	100422999		NR_036242	ENSG00000283420	MIR4278	-	microRNA 4278	ncRNA
chrX-69	chrX	124065165	124065397	+	5.04	0.872	intron (NM_014253, intron 1 of 30)	intron (NM_014253, intron 1 of 30)	32385	NM_001163278	10178	Hs.23796	NM_014253	ENSG00000009694	TENM1	ODZ1|ODZ3|TEN-M1|TNM|TNM1	teneurin transmembrane protein 1	protein-coding
chr18-204	chr18	35754676	35754908	+	5.04	0.835	Intergenic	Intergenic	517694	NR_036202	100422857		NR_036202	ENSG00000266530	MIR4318	-	microRNA 4318	ncRNA
chr9-388	chr9	122748591	122748823	+	5.04	0.628	Intergenic	Intergenic	51369	NR_132393	106146149	Hs.638938	NR_132393	ENSG00000261432	LINC01613	n341773	long intergenic non-protein coding RNA 1613	ncRNA
chr8-403	chr8	140388505	140388737	+	5.04	0.622	Intergenic	ERV3-16A3_I-int|LTR|ERVL	326678	NR_104210	51305	Hs.493037	NM_001282534	ENSG00000169427	KCNK9	K2p9.1|KT3.2|TASK-3|TASK3	potassium two pore domain channel subfamily K member 9	protein-coding
chr14-214	chr14	51473654	51473886	+	5.04	0.831	intron (NM_052978, intron 5 of 6)	intron (NM_052978, intron 5 of 6)	-62522	NM_001163940	5836	Hs.282417	NM_002863	ENSG00000100504	PYGL	GSD6	glycogen phosphorylase L	protein-coding
chr14-240	chr14	39174477	39174709	+	5.04	0.728	Intergenic	LTR16A|LTR|ERVL	-177206	NR_135256	105370457	Hs.128254	NR_135256		LOC105370457	-	uncharacterized LOC105370457	ncRNA
chr5-458	chr5	1073921	1074153	+	5.04	0.768	intron (NM_006598, intron 16 of 23)	intron (NM_006598, intron 16 of 23)	-10948	NR_039778	100616479		NR_039778	ENSG00000263834	MIR4635	-	microRNA 4635	ncRNA
chr2-760	chr2	29929213	29929445	+	5.04	0.685	intron (NM_004304, intron 2 of 28)	intron (NM_004304, intron 2 of 28)	215148	NM_004304	238	Hs.654469	NM_004304	ENSG00000171094	ALK	CD246|NBLST3	ALK receptor tyrosine kinase	protein-coding
chr5-472	chr5	121637441	121637673	+	5.04	0.822	Intergenic	Intergenic	-9829	NR_131762	9627	Hs.426463	NM_005460	ENSG00000064692	SNCAIP	SYPH1|Sph1	synuclein alpha interacting protein	protein-coding
chr13-254	chr13	39476722	39476954	+	5.04	0.697	Intergenic	Intergenic	-75110	NR_146963	100874073	Hs.253994	NR_146963		FREM2-AS1	-	FREM2 antisense RNA 1	ncRNA
chr1-820	chr1	236975735	236975967	+	5.04	0.743	intron (NM_000254, intron 5 of 32)	intron (NM_000254, intron 5 of 32)	17270	NM_000254	4548	Hs.498187	NM_000254	ENSG00000116984	MTR	HMAG|MS|cblG	5-methyltetrahydrofolate-homocysteine methyltransferase	protein-coding
chr1-789	chr1	20141221	20141453	+	5.04	0.643	exon (NM_019062, exon 1 of 1)	exon (NM_019062, exon 1 of 1)	434	NM_019062	54546	Hs.124835	NM_019062	ENSG00000178828	RNF186	-	ring finger protein 186	protein-coding
chr9-399	chr9	136836231	136836463	+	5.04	0.636	intron (NM_003371, intron 1 of 26)	intron (NM_003371, intron 1 of 26)	21099	NM_001134398	7410	Hs.369921	NM_003371	ENSG00000160293	VAV2	VAV-2	vav guanine nucleotide exchange factor 2	protein-coding
chr10-417	chr10	77025616	77025848	+	5.04	0.813	Intergenic	Intergenic	-29908	NM_144589	118881	Hs.355333	NM_144589	ENSG00000165644	COMTD1	-	catechol-O-methyltransferase domain containing 1	protein-coding
chr2-715	chr2	223719708	223719940	+	5.04	0.627	Intergenic	MLT1L|LTR|ERVL-MaLR	-5828	NM_203372	2181	Hs.655772	NM_004457	ENSG00000123983	ACSL3	ACS3|FACL3|LACS 3|LACS3|PRO2194	acyl-CoA synthetase long chain family member 3	protein-coding
chr9-421	chr9	127965569	127965801	+	5.04	0.724	intron (NM_005833, intron 2 of 7)	intron (NM_005833, intron 2 of 7)	2823	NM_005833	10244	Hs.19012	NM_005833	ENSG00000136933	RABEPK	RAB9P40|bA65N13.1|p40	Rab9 effector protein with kelch motifs	protein-coding
chr1-796	chr1	104127188	104127420	+	5.04	0.793	Intergenic	Intergenic	15278	NR_024438	648740	Hs.721681	NR_024438		ACTG1P4	ACTGP4	actin gamma 1 pseudogene 4	pseudo
chr16-511	chr16	29836966	29837198	+	5.04	0.787	intron (NM_005115, intron 1 of 14)	intron (NM_005115, intron 1 of 14)	-4754	NM_001293205	9961	Hs.632177	NM_005115	ENSG00000013364	MVP	LRP|VAULT1	major vault protein	protein-coding
chr22-132	chr22	38743194	38743426	+	5.04	0.778	intron (NR_002821, intron 4 of 4)	intron (NR_002821, intron 4 of 4)	-29221	NM_001894	1454	Hs.474833	NM_001894	ENSG00000213923	CSNK1E	CKIepsilon|HCKIE	casein kinase 1 epsilon	protein-coding
chr6-485	chr6	167763531	167763763	+	4.96	0.812	Intergenic	Intergenic	25073	NM_031949	83887	Hs.520554	NM_031949	ENSG00000120440	TTLL2	C6orf104|NYD-TSPG|dJ366N23.3	tubulin tyrosine ligase like 2	protein-coding
chr3-526	chr3	124367468	124367700	+	4.96	0.710	intron (NM_001024660, intron 37 of 59)	intron (NM_001024660, intron 37 of 59)	64078	NM_001322998	8997	Hs.8004	NM_003947	ENSG00000160145	KALRN	ARHGEF24|CHD5|CHDS5|DUET|DUO|HAPIP|TRAD	kalirin RhoGEF kinase	protein-coding
chr2-767	chr2	139148177	139148409	+	4.96	0.811	Intergenic	Intergenic	-111057	NM_001001664	339745	Hs.333297	NM_001001664	ENSG00000144228	SPOPL	BTBD33	speckle type BTB/POZ protein like	protein-coding
chr10-435	chr10	69597816	69598048	+	4.96	0.831	promoter-TSS (NM_021800)	promoter-TSS (NM_021800)	5	NM_201262	56521	Hs.260720	NM_021800	ENSG00000108176	DNAJC12	HPANBH4|JDP1	DnaJ heat shock protein family (Hsp40) member C12	protein-coding
chr4-658	chr4	95890821	95891053	+	4.96	0.736	intron (NM_001203, intron 2 of 12)	L2a|LINE|L2	-26446	NM_001256792	658	Hs.598475	NM_001203	ENSG00000138696	BMPR1B	ALK-6|ALK6|AMDD|BDA1D|BDA2|CDw293	bone morphogenetic protein receptor type 1B	protein-coding
chr2-766	chr2	133236333	133236565	+	4.96	0.753	intron (NM_001508, intron 1 of 1)	intron (NM_001508, intron 1 of 1)	62302	NM_001508	2863	Hs.432395	NM_001508	ENSG00000183840	GPR39	-	G protein-coupled receptor 39	protein-coding
chr12-403	chr12	32851410	32851642	+	4.96	0.822	intron (NM_001330380, intron 1 of 18)	LTR33|LTR|ERVL	19392	NM_001278465	10059	Hs.556296	NM_005690	ENSG00000087470	DNM1L	DLP1|DRP1|DVLP|DYMPLE|EMPF|EMPF1|HDYNIV|OPA5	dynamin 1 like	protein-coding
chr4-655	chr4	41755997	41756229	+	4.96	0.725	Intergenic	Intergenic	-5126	NM_003924	8929	Hs.87202	NM_003924	ENSG00000109132	PHOX2B	CCHS|NBLST2|NBPhox|PMX2B	paired like homeobox 2b	protein-coding
chr11-413	chr11	106120520	106120752	+	4.96	0.743	promoter-TSS (NR_120552)	promoter-TSS (NR_120552)	-110	NR_120552	101928535	Hs.409078	NR_120551	ENSG00000254811	LOC101928535	-	uncharacterized LOC101928535	ncRNA
chrX-79	chrX	50358635	50358867	+	4.96	0.819	intron (NM_020717, intron 5 of 8)	intron (NM_020717, intron 5 of 8)	-145014	NM_001013742	139189	Hs.38132	NM_001013742	ENSG00000274588	DGKK	-	diacylglycerol kinase kappa	protein-coding
chr1-799	chr1	32039672	32039904	+	4.96	0.746	Intergenic	(CAGA)n|Simple_repeat|Simple_repeat	-2298	NM_022164	64129	Hs.199368	NM_022164	ENSG00000142910	TINAGL1	ARG1|LCN7|LIECG3|TINAGRP	tubulointerstitial nephritis antigen like 1	protein-coding
chr18-206	chr18	55194817	55195049	+	4.96	0.766	Intergenic	Intergenic	59036	NM_001012515	2235	Hs.365365	NM_000140	ENSG00000066926	FECH	EPP|FCE	ferrochelatase	protein-coding
chr2-782	chr2	119391892	119392124	+	4.96	0.818	Intergenic	Intergenic	-31466	NR_110272	101927709	Hs.274529	NR_110272		LOC101927709	-	uncharacterized LOC101927709	ncRNA
chr9-389	chr9	16710985	16711217	+	4.96	0.791	intron (NM_001317940, intron 2 of 5)	intron (NM_001317940, intron 2 of 5)	-15711	NR_151723	111216284	Hs.609218	NR_151723	ENSG00000234779	BNC2-AS1	-	BNC2 antisense RNA 1	ncRNA
chr11-434	chr11	74421514	74421746	+	4.96	0.723	intron (NM_001304390, intron 3 of 10)	L2b|LINE|L2	782	NM_001304417	25884	Hs.432379	NM_015424	ENSG00000054938	CHRDL2	BNF1|CHL2	chordin like 2	protein-coding
chr12-415	chr12	52348260	52348492	+	4.96	0.810	intron (NM_020327, intron 1 of 8)	intron (NM_020327, intron 1 of 8)	1212	NM_020327	91	Hs.438918	NM_004302	ENSG00000135503	ACVR1B	ACTRIB|ACVRLK4|ALK4|SKR2	activin A receptor type 1B	protein-coding
chr7-471	chr7	81676647	81676879	+	4.96	0.753	intron (NM_000722, intron 10 of 38)	intron (NM_000722, intron 10 of 38)	38270	NR_110076	101927356	Hs.571348	NR_110076	ENSG00000223770	LOC101927356	-	uncharacterized LOC101927356	ncRNA
chr6-473	chr6	150589373	150589605	+	4.96	0.761	Intergenic	Intergenic	-100539	NR_134655	389434	Hs.310225	NM_203395	ENSG00000009765	IYD	C6orf71|DEHAL1|IYD-1|TDH4	iodotyrosine deiodinase	protein-coding
chr3-540	chr3	17036417	17036649	+	4.96	0.742	intron (NM_015184, intron 1 of 5)	intron (NM_015184, intron 1 of 5)	61845	NR_037465	100500913		NR_037465	ENSG00000283885	MIR3714	-	microRNA 3714	ncRNA
chr9-429	chr9	19571005	19571237	+	4.96	0.737	intron (NM_020344, intron 6 of 9)	intron (NM_020344, intron 6 of 9)	162196	NM_001010887	340485	Hs.41379	NM_001010887	ENSG00000177076	ACER2	ALKCDase2|ASAH3L	alkaline ceramidase 2	protein-coding
chr11-417	chr11	19885796	19886028	+	4.96	0.748	intron (NM_001111018, intron 3 of 37)	intron (NM_001111018, intron 3 of 37)	-104283	NR_039843	100616426		NR_039843	ENSG00000264309	MIR4694	-	microRNA 4694	ncRNA
chr6-501	chr6	140085917	140086149	+	4.96	0.716	Intergenic	Intergenic	-6177	NR_038399	100132735	Hs.62646	NR_038399	ENSG00000231426	FILNC1	-	FOXO induced long non-coding RNA 1	ncRNA
chr18-219	chr18	11956693	11956925	+	4.96	0.763	Intergenic	LTR10A|LTR|ERV1	-24618	NM_014214	3613	Hs.743311	NM_014214	ENSG00000141401	IMPA2	-	inositol monophosphatase 2	protein-coding
chr10-444	chr10	134061604	134061836	+	4.96	0.703	intron (NM_001318878, intron 1 of 11)	intron (NM_001318878, intron 1 of 11)	892	NR_134911	282974	Hs.469002	NM_173575	ENSG00000165752	STK32C	PKE|YANK3	serine/threonine kinase 32C	protein-coding
chr17-404	chr17	28198141	28198373	+	4.96	0.830	intron (NM_001282129, intron 1 of 15)	intron (NM_001282129, intron 1 of 15)	-58617	NM_001145053	374786	Hs.662411	NM_198529	ENSG00000176927	EFCAB5	-	EF-hand calcium binding domain 5	protein-coding
chr4-631	chr4	87919264	87919496	+	4.96	0.774	intron (NM_001166693, intron 2 of 20)	L3|LINE|CR1	-8760	NM_001313960	4299	Hs.480190	NM_005935	ENSG00000172493	AFF1	AF4|MLLT2|PBM1	AF4/FMR2 family member 1	protein-coding
chr12-399	chr12	55461552	55461784	+	4.96	0.769	Intergenic	Intergenic	47939	NM_021191	58158	Hs.591024	NM_021191	ENSG00000123307	NEUROD4	ATH-3|ATH3|Atoh3|MATH-3|MATH3|bHLHa4	neuronal differentiation 4	protein-coding
chr8-433	chr8	91335793	91336025	+	4.96	0.780	intron (NR_051989, intron 2 of 3)	intron (NR_051989, intron 2 of 3)	102193	NR_051989	100874052	Hs.571514	NR_051989	ENSG00000253394	LINC00534	-	long intergenic non-protein coding RNA 534	ncRNA
chr11-414	chr11	134656630	134656862	+	4.96	0.795	Intergenic	Intergenic	50907	NR_147836	729305	Hs.148365	NR_147836	ENSG00000251226	LOC729305	-	uncharacterized LOC729305	ncRNA
chr7-451	chr7	14653411	14653643	+	4.96	0.775	intron (NM_001350718, intron 14 of 24)	intron (NM_001350718, intron 14 of 24)	227548	NM_145695	1607	Hs.567255	NM_004080	ENSG00000136267	DGKB	DAGK2|DGK|DGK-BETA	diacylglycerol kinase beta	protein-coding
chr8-448	chr8	124550814	124551046	+	4.96	0.763	intron (NM_058229, intron 1 of 8)	intron (NM_058229, intron 1 of 8)	2563	NM_058229	114907	Hs.403933	NM_058229	ENSG00000156804	FBXO32	Fbx32|MAFbx	F-box protein 32	protein-coding
chr3-514	chr3	149186397	149186629	+	4.96	0.820	Intergenic	Intergenic	-5855	NM_004617	7104	Hs.133527	NM_004617	ENSG00000169903	TM4SF4	ILTMP|il-TMP	transmembrane 4 L six family member 4	protein-coding
chr4-629	chr4	165720660	165720892	+	4.96	0.835	intron (NM_001352885, intron 2 of 2)	MLT2B4|LTR|ERVL	45493	NM_001352885	100505989	Hs.328236	NM_001352885	ENSG00000248771	SMIM31	LINC01207	small integral membrane protein 31	protein-coding
chr12-400	chr12	4355340	4355572	+	4.96	0.759	Intergenic	Intergenic	-27446	NM_001759	894	Hs.376071	NM_001759	ENSG00000118971	CCND2	KIAK0002|MPPH3	cyclin D2	protein-coding
chr4-670	chr4	18661534	18661766	+	4.96	0.733	Intergenic	Intergenic	-638152	NR_136669	254251	Hs.446201	NM_153686	ENSG00000178177	LCORL	MLR1	ligand dependent nuclear receptor corepressor like	protein-coding
chr11-449	chr11	94110136	94110368	+	4.96	0.784	TTS (NM_016540)	TTS (NM_016540)	24333	NM_016540	10888	Hs.272385	NM_016540	ENSG00000123901	GPR83	GIR|GPR72	G protein-coupled receptor 83	protein-coding
