PeakID (cmd=annotatePeaks.pl GSE106949_XM001-PP_PDX1_CTTGTA_GEM_events_Filtered_Merged.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
12:107168015	chr12	107167916	107168116	+	191	NA	promoter-TSS (NM_001330147)	promoter-TSS (NM_001330147)	-444	NM_001351366	55188	Hs.131306	NM_018157	ENSG00000111785	RIC8B	RIC8|hSyn	RIC8 guanine nucleotide exchange factor B	protein-coding
5:110885179	chr5	110885080	110885280	+	191	NA	intron (NR_040093, intron 1 of 6)	intron (NR_040093, intron 1 of 6)	-36885	NR_131753	134429	Hs.93842	NM_139164	ENSG00000164211	STARD4	-	StAR related lipid transfer domain containing 4	protein-coding
5:179188953	chr5	179188854	179189054	+	191	NA	intron (NM_014757, intron 1 of 4)	intron (NM_014757, intron 1 of 4)	29131	NM_014757	9794	Hs.631951	NM_014757	ENSG00000161021	MAML1	Mam-1|Mam1	mastermind like transcriptional coactivator 1	protein-coding
8:142610462	chr8	142610363	142610563	+	191	NA	Intergenic	Intergenic	-93133	NR_102363	389690	Hs.689547	NM_207414	ENSG00000226807	MROH5	-	maestro heat like repeat family member 5 (gene/pseudogene)	protein-coding
12:84560800	chr12	84560701	84560901	+	191	NA	Intergenic	Intergenic	745777	NM_182767	55117	Hs.44424	NM_018057	ENSG00000072041	SLC6A15	NTT73|SBAT1|V7-3|hv7-3	solute carrier family 6 member 15	protein-coding
10:98910152	chr10	98910053	98910253	+	191	NA	intron (NM_003061, intron 4 of 36)	intron (NM_003061, intron 4 of 36)	35563	NM_003061	6585	Hs.632082	NM_003061	ENSG00000187122	SLIT1	MEGF4|SLIL1|SLIT-1|SLIT3	slit guidance ligand 1	protein-coding
10:110794142	chr10	110794043	110794243	+	191	NA	Intergenic	Intergenic	888861	NM_001324136	7511	Hs.390623	NM_020383	ENSG00000108039	XPNPEP1	APP1|SAMP|XPNPEP|XPNPEPL|XPNPEPL1	X-prolyl aminopeptidase 1	protein-coding
3:30300562	chr3	30300463	30300663	+	191	NA	Intergenic	Intergenic	-259797	NR_147054	101928015	Hs.581534	NR_147054		LINC01985	-	long intergenic non-protein coding RNA 1985	ncRNA
4:105512883	chr4	105512784	105512984	+	191	NA	intron (NR_125926, intron 1 of 9)	intron (NR_125926, intron 1 of 9)	-96833	NR_132741	80319	Hs.12248	NM_025212	ENSG00000168772	CXXC4	IDAX	CXXC finger protein 4	protein-coding
14:101139558	chr14	101139459	101139659	+	191	NA	TTS (NR_024096)	TTS (NR_024096)	15954	NR_024096	283601	Hs.379802	NM_001007560	ENSG00000196273	LINC00523	C14orf70	long intergenic non-protein coding RNA 523	ncRNA
12:52834863	chr12	52834764	52834964	+	191	NA	Intergenic	Intergenic	-6709	NM_004693	9119	Hs.697046	NM_004693	ENSG00000170454	KRT75	K6HF|KB18|PFB	keratin 75	protein-coding
13:27543132	chr13	27543033	27543233	+	191	NA	Intergenic	Intergenic	-156537	NR_046547	100874070	Hs.524923	NR_046547		USP12-AS1	-	USP12 antisense RNA 1	ncRNA
5:113306871	chr5	113306772	113306972	+	191	NA	Intergenic	Intergenic	-390895	NM_021614	3781	Hs.98280	NM_021614	ENSG00000080709	KCNN2	KCa2.2|SK2|SKCA2|SKCa 2|hSK2	potassium calcium-activated channel subfamily N member 2	protein-coding
3:181135785	chr3	181135686	181135886	+	191	NA	intron (NR_075092, intron 3 of 6)	intron (NR_075092, intron 3 of 6)	24488	NR_125407	102724604	Hs.570524	NR_125407	ENSG00000241231	LOC102724604	-	uncharacterized LOC102724604	ncRNA
4:83206236	chr4	83206137	83206337	+	191	NA	Intergenic	CpG	88907	NM_031370	3184	Hs.480073	NM_002138	ENSG00000138668	HNRNPD	AUF1|AUF1A|HNRPD|P37|hnRNPD0	heterogeneous nuclear ribonucleoprotein D	protein-coding
6:122187936	chr6	122187837	122188037	+	191	NA	Intergenic	Intergenic	431145	NM_000165	2697	Hs.74471	NM_000165	ENSG00000152661	GJA1	AVSD3|CMDR|CX43|EKVP|EKVP3|GJAL|HLHS1|HSS|ODDD|PPKCA	gap junction protein alpha 1	protein-coding
3:81144363	chr3	81144264	81144464	+	191	NA	non-coding (NR_132411, exon 2 of 2)	non-coding (NR_132411, exon 2 of 2)	101345	NR_132411	728290	Hs.563132	NR_132411	ENSG00000243694	LINC02027	-	long intergenic non-protein coding RNA 2027	ncRNA
6:100658574	chr6	100658475	100658675	+	191	NA	Intergenic	Intergenic	-216461	NM_032503	84539	Hs.591342	NM_032503	ENSG00000152034	MCHR2	GPR145|GPRv17|MCH-2R|MCH-R2|MCH2|MCH2R|MCHR-2|SLT	melanin concentrating hormone receptor 2	protein-coding
6:140205594	chr6	140205495	140205695	+	191	NA	Intergenic	Intergenic	29608	NR_138541	100132735	Hs.62646	NR_038399	ENSG00000231426	FILNC1	-	FOXO induced long non-coding RNA 1	ncRNA
2:64547164	chr2	64547065	64547265	+	191	NA	Intergenic	LTR16C|LTR|ERVL	-20728	NR_039632	100616265		NR_039632	ENSG00000283222	MIR4433A	MIR4433|hsa-mir-4433a	microRNA 4433a	ncRNA
15:69595924	chr15	69595825	69596025	+	191	NA	intron (NM_017705, intron 1 of 8)	(CAAT)n|Simple_repeat|Simple_repeat	4674	NM_017705	54852	Hs.591096	NM_017705	ENSG00000137819	PAQR5	MPRG	progestin and adipoQ receptor family member 5	protein-coding
2:75303431	chr2	75303332	75303532	+	191	NA	intron (NM_015727, intron 2 of 3)	intron (NM_015727, intron 2 of 3)	-14507	NR_049796	100846995		NR_049796	ENSG00000263909	MIR5000	-	microRNA 5000	ncRNA
17:14418318	chr17	14418219	14418419	+	191	NA	Intergenic	Intergenic	211262	NR_026880	84815	Hs.597458	NM_032729	ENSG00000266709	MGC12916	-	uncharacterized protein MGC12916	ncRNA
8:10191885	chr8	10191786	10191986	+	191	NA	intron (NM_001199729, intron 6 of 6)	intron (NM_001199729, intron 6 of 6)	-140189	NR_120604	101929191	Hs.595262	NR_120604	ENSG00000253641	LINCR-0001	-	uncharacterized LINCR-0001	ncRNA
8:11515695	chr8	11515596	11515796	+	191	NA	Intergenic	Intergenic	-18748	NM_001308094	2626	Hs.243987	NM_002052	ENSG00000136574	GATA4	ASD2|TACHD|TOF|VSD1	GATA binding protein 4	protein-coding
14:31495708	chr14	31495609	31495809	+	191	NA	promoter-TSS (NM_001254728)	promoter-TSS (NM_001254728)	-124	NM_014574	29966	Hs.401843	NM_014574	ENSG00000196792	STRN3	PPP2R6B|S/G2NA|SG2NA	striatin 3	protein-coding
3:159734933	chr3	159734834	159735034	+	191	NA	intron (NR_108088, intron 4 of 9)	intron (NR_108088, intron 4 of 9)	-3502	NR_104132	730109	Hs.99333	NR_104132		LINC01100	-	long intergenic non-protein coding RNA 1100	ncRNA
6:164281694	chr6	164281595	164281795	+	191	NA	Intergenic	Intergenic	-189179	NR_134620	102724152	Hs.738183	NR_134620		LOC102724152	-	uncharacterized LOC102724152	ncRNA
X:16173967	chrX	16173868	16174068	+	191	NA	Intergenic	Intergenic	-11636	NM_001277307	645864	Hs.632792	NM_001277307	ENSG00000182798	MAGEB17	-	MAGE family member B17	protein-coding
X:20848258	chrX	20848159	20848359	+	191	NA	Intergenic	Intergenic	-544277	NM_001330773	22866	Hs.555917	NM_014927	ENSG00000149970	CNKSR2	CNK2|KSR2|MAGUIN|MRXSHG	connector enhancer of kinase suppressor of Ras 2	protein-coding
7:135749003	chr7	135748904	135749104	+	191	NA	Intergenic	Intergenic	-86897	NM_145808	136319	Hs.602015	NM_145808	ENSG00000105887	MTPN	GCDP|V-1	myotrophin	protein-coding
11:115419880	chr11	115419781	115419981	+	191	NA	Intergenic	Intergenic	-44748	NM_001098517	23705	Hs.370510	NM_014333	ENSG00000182985	CADM1	BL2|IGSF4|IGSF4A|NECL2|Necl-2|RA175|ST17|SYNCAM|TSLC1|sTSLC-1|sgIGSF|synCAM1	cell adhesion molecule 1	protein-coding
18:40345472	chr18	40345373	40345573	+	191	NA	intron (NM_002930, intron 4 of 4)	intron (NM_002930, intron 4 of 4)	350177	NM_002930	6014	Hs.464985	NM_002930	ENSG00000152214	RIT2	RIBA|RIN|ROC2	Ras like without CAAX 2	protein-coding
8:38300042	chr8	38299943	38300143	+	191	NA	intron (NM_001174064, intron 2 of 18)	intron (NM_001174064, intron 2 of 18)	25199	NM_001174065	2260	Hs.264887	NM_015850	ENSG00000077782	FGFR1	BFGFR|CD331|CEK|ECCL|FGFBR|FGFR-1|FLG|FLT-2|FLT2|HBGFR|HH2|HRTFDS|KAL2|N-SAM|OGD|bFGF-R-1	fibroblast growth factor receptor 1	protein-coding
7:125280420	chr7	125280321	125280521	+	191	NA	Intergenic	ERVL-E-int|LTR|ERVL	-376076	NR_110182	101928254	Hs.571236	NR_110182	ENSG00000219445	LOC101928254	-	uncharacterized LOC101928254	ncRNA
6:149887284	chr6	149887185	149887385	+	191	NA	promoter-TSS (NM_138785)	promoter-TSS (NM_138785)	-226	NM_138785	116254	Hs.438872	NM_138785	ENSG00000055211	GINM1	C6orf72	glycoprotein integral membrane 1	protein-coding
4:144105612	chr4	144105513	144105713	+	191	NA	promoter-TSS (NM_001290326)	promoter-TSS (NM_001290326)	401	NR_136203	105377623		NR_136203	ENSG00000250326	LOC105377623	-	uncharacterized LOC105377623	ncRNA
3:115997730	chr3	115997631	115997831	+	191	NA	intron (NM_002338, intron 1 of 6)	intron (NM_002338, intron 1 of 6)	-81140	NR_109998	101926903	Hs.26479	NR_109998	ENSG00000240922	LSAMP-AS1	-	LSAMP antisense RNA 1	ncRNA
4:172734848	chr4	172734749	172734949	+	191	NA	promoter-TSS (NR_134656)	promoter-TSS (NR_134656)	-91	NR_134656	441052	Hs.386236	NR_134656		LOC441052	-	uncharacterized LOC441052	ncRNA
13:99563242	chr13	99563143	99563343	+	191	NA	intron (NM_015296, intron 9 of 55)	intron (NM_015296, intron 9 of 55)	67075	NM_001366682	23348	Hs.596105	NM_015296	ENSG00000088387	DOCK9	ZIZ1|ZIZIMIN1	dedicator of cytokinesis 9	protein-coding
10:103227037	chr10	103226938	103227138	+	191	NA	intron (NM_003939, intron 2 of 13)	intron (NM_003939, intron 2 of 13)	113116	NM_033637	8945	Hs.643802	NM_003939	ENSG00000166167	BTRC	BETA-TRCP|FBW1A|FBXW1|FBXW1A|FWD1|bTrCP|bTrCP1|betaTrCP	beta-transducin repeat containing E3 ubiquitin protein ligase	protein-coding
6:14505808	chr6	14505709	14505909	+	191	NA	Intergenic	Intergenic	-220124	NR_108096	102216342	Hs.563409	NR_108096	ENSG00000226673	LINC01108	LncRNA-ES1	long intergenic non-protein coding RNA 1108	ncRNA
9:123505466	chr9	123505367	123505567	+	191	NA	Intergenic	Intergenic	-28719	NM_001080497	1955	Hs.744903	NM_001080497	ENSG00000106780	MEGF9	EGFL5	multiple EGF like domains 9	protein-coding
7:66461628	chr7	66461529	66461729	+	191	NA	promoter-TSS (NM_018264)	promoter-TSS (NM_018264)	-163	NR_134540	55253	Hs.520917	NM_018264	ENSG00000198874	TYW1	RSAFD1|TYW1A|YPL207W	tRNA-yW synthesizing protein 1 homolog	protein-coding
10:78526654	chr10	78526555	78526755	+	191	NA	Intergenic	Intergenic	-121147	NR_120655	101929328	Hs.664552	NR_120655	ENSG00000236467	KCNMA1-AS1	-	KCNMA1 antisense RNA 1	ncRNA
14:37257486	chr14	37257387	37257587	+	191	NA	intron (NM_030631, intron 3 of 9)	intron (NM_030631, intron 3 of 9)	130714	NM_006194	5083	Hs.132576	NM_006194	ENSG00000198807	PAX9	STHAG3	paired box 9	protein-coding
3:5468138	chr3	5468039	5468239	+	191	NA	Intergenic	Intergenic	-176199	NR_039953	100616334		NR_039953	ENSG00000265180	MIR4790	-	microRNA 4790	ncRNA
1:205906463	chr1	205906364	205906564	+	191	NA	intron (NM_052934, intron 1 of 20)	L2a|LINE|L2	6120	NM_052934	115019	Hs.164073	NM_052934	ENSG00000174502	SLC26A9	-	solute carrier family 26 member 9	protein-coding
15:66672234	chr15	66672135	66672335	+	191	NA	Intergenic	Intergenic	-6976	NM_002755	5604	Hs.145442	NM_002755	ENSG00000169032	MAP2K1	CFC3|MAPKK1|MEK1|MKK1|PRKMK1	mitogen-activated protein kinase kinase 1	protein-coding
5:123571490	chr5	123571391	123571591	+	191	NA	intron (NR_125774, intron 4 of 5)	intron (NR_125774, intron 4 of 5)	202722	NR_125774	103724389	Hs.582211	NR_125774		LINC01170	-	long intergenic non-protein coding RNA 1170	ncRNA
1:245337302	chr1	245337203	245337403	+	191	NA	intron (NM_018012, intron 2 of 14)	intron (NM_018012, intron 2 of 14)	19016	NM_018012	55083	Hs.143134	NM_018012	ENSG00000162849	KIF26B	-	kinesin family member 26B	protein-coding
12:14064480	chr12	14064381	14064581	+	191	NA	intron (NM_000834, intron 1 of 12)	intron (NM_000834, intron 1 of 12)	68809	NM_000834	2904	Hs.504844	NM_000834	ENSG00000273079	GRIN2B	EIEE27|GluN2B|MRD6|NMDAR2B|NR2B|NR3|hNR3	glutamate ionotropic receptor NMDA type subunit 2B	protein-coding
1:183280737	chr1	183280638	183280838	+	191	NA	intron (NM_015039, intron 1 of 10)	intron (NM_015039, intron 1 of 10)	-6729	NM_170706	23057	Hs.497123	NM_015039	ENSG00000157064	NMNAT2	C1orf15|PNAT2	nicotinamide nucleotide adenylyltransferase 2	protein-coding
9:111034443	chr9	111034344	111034544	+	191	NA	Intergenic	Intergenic	583822	NM_006686	10880	Hs.534390	NM_006686	ENSG00000148156	ACTL7B	Tact1	actin like 7B	protein-coding
14:66916371	chr14	66916272	66916472	+	191	NA	Intergenic	Intergenic	-36717	NR_110308	440184	Hs.412138	NM_001004331	ENSG00000196553	CCDC196	C14orf53|LINC00238|NCRNA00238	coiled-coil domain containing 196	protein-coding
1:3265851	chr1	3265752	3265952	+	191	NA	intron (NM_199454, intron 3 of 16)	intron (NM_199454, intron 3 of 16)	-105377	NM_014448	27237	Hs.87435	NM_014448	ENSG00000130762	ARHGEF16	GEF16|NBR	Rho guanine nucleotide exchange factor 16	protein-coding
9:123811427	chr9	123811328	123811528	+	191	NA	intron (NM_001317163, intron 1 of 40)	intron (NM_001317163, intron 1 of 40)	1125	NM_001317164	727	Hs.494997	NM_001735	ENSG00000106804	C5	C5D|C5a|C5b|CPAMD4|ECLZB	complement C5	protein-coding
1:35644836	chr1	35644737	35644937	+	191	NA	intron (NR_136702, intron 9 of 11)	intron (NR_136702, intron 9 of 11)	13909	NR_136703	6421	Hs.355934	NM_005066	ENSG00000116560	SFPQ	POMP100|PPP1R140|PSF	splicing factor proline and glutamine rich	protein-coding
6:8180205	chr6	8180106	8180306	+	191	NA	Intergenic	Intergenic	-77378	NR_037618	100526837	Hs.719272	NR_037618		EEF1E1-BLOC1S5	EEF1E1-MUTED	EEF1E1-BLOC1S5 readthrough (NMD candidate)	ncRNA
17:14277658	chr17	14277559	14277759	+	191	NA	Intergenic	Intergenic	70602	NR_026880	84815	Hs.597458	NM_032729	ENSG00000266709	MGC12916	-	uncharacterized protein MGC12916	ncRNA
1:11514419	chr1	11514320	11514520	+	191	NA	Intergenic	Intergenic	-24792	NM_020780	57540	Hs.202355	NM_020780	ENSG00000204624	DISP3	PTCHD2	dispatched RND transporter family member 3	protein-coding
5:162210087	chr5	162209988	162210188	+	191	NA	Intergenic	Intergenic	-654489	NM_001364021	900	Hs.79101	NM_004060	ENSG00000113328	CCNG1	CCNG	cyclin G1	protein-coding
15:89693146	chr15	89693047	89693247	+	191	NA	intron (NM_007011, intron 7 of 14)	intron (NM_007011, intron 7 of 14)	61460	NM_007011	11057	Hs.122337	NM_007011	ENSG00000140526	ABHD2	HS1-2|LABH2|PHPS1-2	abhydrolase domain containing 2	protein-coding
6:152562728	chr6	152562629	152562829	+	191	NA	intron (NM_033071, intron 106 of 145)	intron (NM_033071, intron 106 of 145)	-56216	NM_001347701	23345	Hs.12967	NM_015293	ENSG00000131018	SYNE1	8B|ARCA1|C6orf98|CPG2|EDMD4|KASH1|MYNE1|Nesp1|SCAR8|dJ45H2.2	spectrin repeat containing nuclear envelope protein 1	protein-coding
4:142018440	chr4	142018341	142018541	+	191	NA	intron (NM_020724, intron 1 of 6)	L2a|LINE|L2	36182	NM_020724	57484	Hs.659104	NM_020724	ENSG00000170153	RNF150	-	ring finger protein 150	protein-coding
7:36527622	chr7	36527523	36527723	+	191	NA	Intergenic	Intergenic	-97657	NM_001100425	23366	Hs.6224	NM_015314	ENSG00000164542	KIAA0895	-	KIAA0895	protein-coding
4:87353925	chr4	87353826	87354026	+	191	NA	intron (NM_002753, intron 1 of 13)	HERV16-int|LTR|ERVL	20422	NM_002753	5602	Hs.13438	NM_002753	ENSG00000109339	MAPK10	JNK3|JNK3A|PRKM10|SAPK1b|p493F12|p54bSAPK	mitogen-activated protein kinase 10	protein-coding
14:68658502	chr14	68658403	68658603	+	191	NA	intron (NM_001321817, intron 8 of 11)	intron (NM_001321817, intron 8 of 11)	368194	NM_001321815	5890	Hs.172587	NM_002877	ENSG00000182185	RAD51B	R51H2|RAD51L1|REC2	RAD51 paralog B	protein-coding
11:57566213	chr11	57566114	57566314	+	191	NA	intron (NM_001085461, intron 6 of 18)	MER58C|DNA|hAT-Charlie	36940	NM_001206888	1500	Hs.166011	NM_001331	ENSG00000198561	CTNND1	BCDS2|CAS|CTNND|P120CAS|P120CTN|p120|p120(CAS)|p120(CTN)	catenin delta 1	protein-coding
5:169213362	chr5	169213263	169213463	+	191	NA	intron (NR_156756, intron 25 of 52)	intron (NR_156756, intron 25 of 52)	149084	NR_156756	1794	Hs.586174	NM_004946	ENSG00000134516	DOCK2	IMD40	dedicator of cytokinesis 2	protein-coding
18:21693272	chr18	21693173	21693373	+	191	NA	promoter-TSS (NM_001292030)	promoter-TSS (NM_001292030)	-18	NM_001292030	125488	Hs.128576	NM_153211	ENSG00000168234	TTC39C	C18orf17|HsT2697	tetratricopeptide repeat domain 39C	protein-coding
14:77385246	chr14	77385147	77385347	+	191	NA	Intergenic	Intergenic	-40734	NR_133913	105370578	Hs.574184	NR_133913	ENSG00000258602	LINC01629	linc-KIAA1737-2	long intergenic non-protein coding RNA 1629	ncRNA
17:39706013	chr17	39705914	39706114	+	191	NA	non-coding (NR_038442, exon 3 of 3)	non-coding (NR_038442, exon 3 of 3)	4733	NR_038442	147093	Hs.680576	NR_038442	ENSG00000226629	LINC00974	-	long intergenic non-protein coding RNA 974	ncRNA
9:132175824	chr9	132175725	132175925	+	191	NA	Intergenic	CpG	-75114	NR_038955	100506190	Hs.529860	NR_038955		LINC00963	MetaLnc9	long intergenic non-protein coding RNA 963	ncRNA
4:148735578	chr4	148735479	148735679	+	191	NA	intron (NM_024605, intron 1 of 22)	intron (NM_024605, intron 1 of 22)	31833	NR_039962	100616246		NR_039962	ENSG00000264274	MIR4799	-	microRNA 4799	ncRNA
9:82297482	chr9	82297383	82297583	+	191	NA	intron (NR_104239, intron 9 of 20)	intron (NR_104239, intron 9 of 20)	109391	NM_001351560	7091	Hs.444213	NM_007005	ENSG00000106829	TLE4	BCE-1|BCE1|E(spI)|E(spl)|ESG|ESG4|GRG4|Grg-4	TLE family member 4, transcriptional corepressor	protein-coding
9:9250474	chr9	9250375	9250575	+	191	NA	intron (NM_002839, intron 9 of 45)	intron (NM_002839, intron 9 of 45)	392457	NR_121600	101929407	Hs.649971	NR_121599		PTPRD-AS1	-	PTPRD antisense RNA 1	ncRNA
9:35161898	chr9	35161799	35161999	+	191	NA	promoter-TSS (NM_001330653)	promoter-TSS (NM_001330653)	-107	NM_001371189								
14:23790476	chr14	23790377	23790577	+	191	NA	promoter-TSS (NM_001360552)	promoter-TSS (NM_001360552)	-189	NM_001360551	8106	Hs.707712	NM_004643	ENSG00000100836	PABPN1	OPMD|PAB2|PABII|PABP-2|PABP2	poly(A) binding protein nuclear 1	protein-coding
10:5883176	chr10	5883077	5883277	+	191	NA	Intergenic	Intergenic	-27665	NM_001115156	2665	Hs.299055	NM_001494	ENSG00000057608	GDI2	HEL-S-46e|RABGDIB	GDP dissociation inhibitor 2	protein-coding
18:39983845	chr18	39983746	39983946	+	191	NA	intron (NR_046174, intron 4 of 9)	intron (NR_046174, intron 4 of 9)	217213	NR_046456	284260	Hs.652819	NR_046174	ENSG00000267586	LINC00907	-	long intergenic non-protein coding RNA 907	ncRNA
17:27468219	chr17	27468120	27468320	+	191	NA	promoter-TSS (NM_001346768)	promoter-TSS (NM_001346768)	-813	NM_001346768	399687	Hs.462590	NM_078471	ENSG00000196535	MYO18A	MAJN|MYSPDZ|SP-R210|SPR210	myosin XVIIIA	protein-coding
17:8869065	chr17	8868966	8869166	+	191	NA	promoter-TSS (NM_001251851)	promoter-TSS (NM_001251851)	-37	NM_001251853	23533	Hs.278901	NM_014308	ENSG00000141506	PIK3R5	F730038I15Rik|FOAP-2|P101-PI3K|p101	phosphoinositide-3-kinase regulatory subunit 5	protein-coding
1:246841385	chr1	246841286	246841486	+	191	NA	Intergenic	Intergenic	-46325	NM_016002	51097	Hs.498397	NM_016002	ENSG00000143653	SCCPDH	CGI-49|NET11	saccharopine dehydrogenase (putative)	protein-coding
17:61920110	chr17	61920011	61920211	+	191	NA	promoter-TSS (NM_001098426)	promoter-TSS (NM_001098426)	-66	NM_001098426	6603	Hs.250581	NM_003077	ENSG00000108604	SMARCD2	BAF60B|CRACD2|PRO2451|Rsc6p|SGD2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2	protein-coding
2:18697471	chr2	18697372	18697572	+	191	NA	Intergenic	Intergenic	44447	NM_020905	57665	Hs.120319	NM_020905	ENSG00000240857	RDH14	PAN2|SDR7C4	retinol dehydrogenase 14	protein-coding
5:92941864	chr5	92941765	92941965	+	191	NA	Intergenic	Intergenic	14629	NR_031754	100313887		NR_031754	ENSG00000284336	MIR2277	mir-2277	microRNA 2277	ncRNA
11:114042325	chr11	114042226	114042426	+	191	NA	intron (NM_001354752, intron 2 of 4)	intron (NM_001354752, intron 2 of 4)	108393	NM_001354752	7704	Hs.591945	NM_006006	ENSG00000109906	ZBTB16	PLZF|ZNF145	zinc finger and BTB domain containing 16	protein-coding
11:8350533	chr11	8350434	8350634	+	191	NA	Intergenic	Intergenic	-60200	NM_001270428	4004	Hs.654426	NM_002315	ENSG00000166407	LMO1	RBTN1|RHOM1|TTG1	LIM domain only 1	protein-coding
9:88656348	chr9	88656249	88656449	+	191	NA	intron (NM_177937, intron 5 of 9)	MER21C|LTR|ERVL	58124	NM_016548	51280	Hs.494337	NM_016548	ENSG00000135052	GOLM1	C9orf155|GOLPH2|GP73|HEL46|PSEC0257|bA379P1.3	golgi membrane protein 1	protein-coding
4:40725243	chr4	40725144	40725344	+	191	NA	Intergenic	L1MB7|LINE|L1	-26728	NM_001330648	79730	Hs.479602	NM_024677	ENSG00000179299	NSUN7	-	NOP2/Sun RNA methyltransferase family member 7	protein-coding
6:111136668	chr6	111136569	111136769	+	191	NA	promoter-TSS (NM_015076)	promoter-TSS (NM_015076)	3	NM_001300960	23097	Hs.744895	NM_015076	ENSG00000155111	CDK19	CDC2L6|CDK11|bA346C16.3	cyclin dependent kinase 19	protein-coding
5:7607411	chr5	7607312	7607512	+	191	NA	intron (NM_020546, intron 3 of 24)	intron (NM_020546, intron 3 of 24)	211161	NM_020546	108	Hs.481545	NM_020546	ENSG00000078295	ADCY2	AC2|HBAC2	adenylate cyclase 2	protein-coding
5:39716821	chr5	39716722	39716922	+	191	NA	Intergenic	LTR33|LTR|ERVL	196289	NR_104632	101926940	Hs.436359	NR_104632	ENSG00000271334	LINC02104	-	long intergenic non-protein coding RNA 2104	ncRNA
6:90893483	chr6	90893384	90893584	+	191	NA	intron (NM_021813, intron 4 of 8)	intron (NM_021813, intron 4 of 8)	113078	NM_021813	60468	Hs.269764	NM_021813	ENSG00000112182	BACH2	BTBD25|IMD60	BTB domain and CNC homolog 2	protein-coding
12:95611058	chr12	95610959	95611159	+	191	NA	promoter-TSS (NM_017599)	promoter-TSS (NM_017599)	184	NM_018351	55785	Hs.506381	NM_018351	ENSG00000180263	FGD6	ZFYVE24	FYVE, RhoGEF and PH domain containing 6	protein-coding
12:46824369	chr12	46824270	46824470	+	191	NA	intron (NR_125381, intron 2 of 2)	intron (NR_125381, intron 2 of 2)	46480	NR_125381	100288798	Hs.525922	NR_125377		LOC100288798	-	uncharacterized LOC100288798	ncRNA
3:193886979	chr3	193886880	193887080	+	191	NA	Intergenic	MIRb|SINE|MIR	33043	NM_005524	3280	Hs.250666	NM_005524	ENSG00000114315	HES1	HES-1|HHL|HRY|bHLHb39	hes family bHLH transcription factor 1	protein-coding
6:137744765	chr6	137744666	137744866	+	191	NA	Intergenic	Intergenic	70765	NM_175747	167826	Hs.195398	NM_175747	ENSG00000177468	OLIG3	Bhlhb7|bHLHe20	oligodendrocyte transcription factor 3	protein-coding
7:7464289	chr7	7464190	7464390	+	191	NA	intron (NM_001037763, intron 25 of 34)	intron (NM_001037763, intron 25 of 34)	111214	NM_001037763	340267	Hs.491104	NM_001037763	ENSG00000215018	COL28A1	COL28	collagen type XXVIII alpha 1 chain	protein-coding
14:68604602	chr14	68604503	68604703	+	191	NA	intron (NM_001321817, intron 8 of 11)	Eulor6D|DNA?|DNA?	314294	NM_001321815	5890	Hs.172587	NM_002877	ENSG00000182185	RAD51B	R51H2|RAD51L1|REC2	RAD51 paralog B	protein-coding
11:57092588	chr11	57092489	57092689	+	191	NA	promoter-TSS (NM_033396)	promoter-TSS (NM_033396)	-163	NM_033396	85456	Hs.530730	NM_033396	ENSG00000149115	TNKS1BP1	TAB182	tankyrase 1 binding protein 1	protein-coding
2:8334030	chr2	8333931	8334131	+	191	NA	intron (NR_034135, intron 7 of 8)	intron (NR_034135, intron 7 of 8)	134518	NR_152741	339789	Hs.565619	NR_034135	ENSG00000236790	LINC00299	C2orf46|NCRNA00299	long intergenic non-protein coding RNA 299	ncRNA
5:167715550	chr5	167715451	167715651	+	191	NA	Intergenic	Intergenic	-3099	NM_015238	23286	Hs.484047	NM_015238	ENSG00000113645	WWC1	HBEBP3|HBEBP36|KIBRA|MEMRYQTL|PPP1R168	WW and C2 domain containing 1	protein-coding
16:69221004	chr16	69220905	69221105	+	191	NA	promoter-TSS (NM_006750)	promoter-TSS (NM_006750)	-45	NM_006750	6645	Hs.461117	NM_006750	ENSG00000168807	SNTB2	D16S2531E|EST25263|SNT2B2|SNT3|SNTL	syntrophin beta 2	protein-coding
5:156120330	chr5	156120231	156120431	+	191	NA	intron (NM_172244, intron 7 of 7)	MIRc|SINE|MIR	-156975	NM_206858	153743	Hs.567727	NM_206858	ENSG00000231989	PPP1R2B	PPP1R2P3	PPP1R2 family member B	protein-coding
17:42408938	chr17	42408839	42409039	+	191	NA	Intergenic	MER20B|DNA|hAT-Charlie	-6701	NM_001321240	51629	Hs.744880	NM_016016	ENSG00000013306	SLC25A39	CGI-69|CGI69	solute carrier family 25 member 39	protein-coding
10:109563495	chr10	109563396	109563596	+	191	NA	Intergenic	MLT1H1|LTR|ERVL-MaLR	265555	NR_125760	103695365	Hs.648991	NR_125760	ENSG00000229981	LINC01435	TCONS_00018040	long intergenic non-protein coding RNA 1435	ncRNA
7:39447502	chr7	39447403	39447603	+	191	NA	intron (NM_001370959, intron 6 of 9)	intron (NM_001370959, intron 6 of 9)	-1558	NR_046711	100861520	Hs.571292	NR_046711	ENSG00000224122	POU6F2-AS1	-	POU6F2 antisense RNA 1	ncRNA
